股票代码,股票简称,国家队持股比例,国家队机构名称
603060.SH,国检集团,0.821,易方达基金-中央汇金资产管理有限责任公司-易方达基金
603000.SH,人民网,0.6531,华夏基金-中央汇金资产管理有限责任公司-华夏基金-汇金资管单一资产管理计划
601995.SH,中金公司,66.2264,中央汇金投资有限责任公司
601801.SH,皖新传媒,0.8001,中央汇金资产管理有限责任公司
601666.SH,平煤股份,1.2862,中央汇金资产管理有限责任公司
601139.SH,深圳燃气,0.9545,中央汇金资产管理有限责任公司
601066.SH,中信建投,62.6037,中央汇金投资有限责任公司
601012.SH,隆基绿能,1.1909,中央汇金资产管理有限责任公司
601010.SH,文峰股份,1.1878,中央汇金资产管理有限责任公司
601000.SH,唐山港,1.5491,中央汇金资产管理有限责任公司
600895.SH,张江高科,2.5906,中央汇金资产管理有限责任公司
600894.SH,广日股份,1.8931,中央汇金资产管理有限责任公司
600874.SH,创业环保,1.1271,中央汇金资产管理有限责任公司
600863.SH,内蒙华电,0.6381,中央汇金资产管理有限责任公司
600851.SH,海欣股份,3.0611,中央汇金资产管理有限责任公司
600826.SH,兰生股份,2.42,中央汇金资产管理有限责任公司
600812.SH,华北制药,3.2008,中央汇金资产管理有限责任公司
600808.SH,马钢股份,2.3321,中央汇金资产管理有限责任公司
600787.SH,中储股份,0.9509,中央汇金资产管理有限责任公司
600780.SH,通宝能源,0.7707,中央汇金资产管理有限责任公司
600750.SH,江中药业,2.4859,中央汇金资产管理有限责任公司
600743.SH,华远地产,1.8507,中央汇金资产管理有限责任公司
600736.SH,苏州高新,1.3047,中央汇金资产管理有限责任公司
600729.SH,重庆百货,2.319,中央汇金资产管理有限责任公司
600717.SH,天津港,1.2209,中央汇金资产管理有限责任公司
600694.SH,大商股份,3.0001,中央汇金资产管理有限责任公司
600657.SH,信达地产,1.0461,中央汇金资产管理有限责任公司
600642.SH,申能股份,1.0258,中央汇金资产管理有限责任公司
600637.SH,东方明珠,1.0039,中央汇金资产管理有限责任公司
600636.SH,国新文化,2.7315,中央汇金资产管理有限责任公司
600633.SH,浙数文化,1.3867,中央汇金资产管理有限责任公司
600628.SH,新世界,1.9683,中央汇金资产管理有限责任公司
600578.SH,京能电力,0.3893,中央汇金资产管理有限责任公司
600557.SH,康缘药业,3.0919,中央汇金资产管理有限责任公司
600528.SH,中铁工业,1.2498,易方达基金-中央汇金资产管理有限责任公司-易方达基金
600522.SH,中天科技,1.786,中央汇金资产管理有限责任公司
600510.SH,黑牡丹,0.416,中央汇金资产管理有限责任公司
600435.SH,北方导航,2.2257,中央汇金资产管理有限责任公司
600425.SH,青松建化,2.4717,易方达基金-中央汇金资产管理有限责任公司-易方达基金
600376.SH,首开股份,1.489,中央汇金资产管理有限责任公司
600325.SH,华发股份,2.5212,中央汇金资产管理有限责任公司
600284.SH,浦东建设,2.044,中央汇金资产管理有限责任公司
600261.SH,阳光照明,2.2647,中央汇金资产管理有限责任公司
600252.SH,中恒集团,1.4534,中央汇金资产管理有限责任公司
600170.SH,上海建工,0.5942,中央汇金资产管理有限责任公司
600120.SH,浙江东方,0.8821,中央汇金资产管理有限责任公司
600064.SH,南京高科,2.6689,中央汇金资产管理有限责任公司
600056.SH,中国医药,2.0406,中央汇金资产管理有限责任公司
600037.SH,歌华有线,2.146,中央汇金资产管理有限责任公司
600030.SH,中信证券,1.6848,中央汇金资产管理有限责任公司
600026.SH,中远海能,2.6115,中央汇金资产管理有限责任公司
600021.SH,上海电力,1.2943,中央汇金资产管理有限责任公司
600017.SH,日照港,1.8425,中央汇金资产管理有限责任公司
300396.SZ,迪瑞医疗,1.003,中央汇金资产管理有限责任公司
300341.SZ,麦克奥迪,0.2175,中央汇金资产管理有限责任公司
300321.SZ,同大股份,1.7923,中央汇金资产管理有限责任公司
300059.SZ,东方财富,1.1359,中央汇金资产管理有限责任公司
002724.SZ,海洋王,0.9888,中央汇金资产管理有限责任公司
002594.SZ,比亚迪,1.0303,中央汇金资产管理有限责任公司
002500.SZ,山西证券,1.4401,中央汇金资产管理有限责任公司
002462.SZ,嘉事堂,1.4962,中央汇金资产管理有限责任公司
