证券代码,股票简称,所属同花顺行业,沪深指数,公司亮点,所属概念,机构持股占流通股比例,最终控制人持股比例,最终控制人类型,最终控制人,三级行业,二级行业,一级行业,主营产品,投资逻辑,国家队持股比例,国家队机构名称
600007.SH,中国国贸,房地产-房地产-商业地产,中证1000,中国乃至全球规模最大、功能最齐全的高档商务服务综合体之一,"同花顺中特估100,APEC会议,北京自贸区,国企改革,高股息精选",86.7418,53.4306,"央企,境外","中国人寿保险公司,香格里拉(亚洲)",商业地产,房地产,金融,物业租赁及管理,中国规模最大的综合性高档商务服务企业之一,,
301516.SZ,中远通,电力设备-其他电源设备-其他电源设备Ⅲ,中证2000,中国广核集团旗下，主营通信电源、新能源电源和工控电源,"国企改革,5G,粤港澳大湾区,氢能源,充电桩,储能,比亚迪,新能源汽车,光伏,燃料电池,新型工业化,换电",3.8483,69.1093,"央企,个人","张学军,吉学龙,中国广核",电源设备,电气设备,电力设备,通信电源,,,
002230.SZ,科大讯飞,计算机-软件开发-横向通用软件,沪深300,世界领先的智能语音技术企业,"华为,量子科技,国企改革,智慧城市,ChatGPT,智能医疗,智能终端,无线耳机,车联网(车路协同),消费电子,机器学习,央视财经50,人工智能,家庭医生,蔚来汽车,智能穿戴,商汤科技,机器视觉,多模态AI,高校,大数据反恐,智能家居,智能汽车,服务机器人,华为昇腾,AIGC,智能电视,AI语料,元宇宙,智慧党建,人脸识别,智能音箱,同花顺漂亮100,互联网医疗,智慧政务,京东,雄安新区,电子书,寒武纪,数字孪生,工业互联网,语音技术,数字中国,虚拟数字人,机器人,在线教育,虚拟机器人,独角兽,东数西算(算力)",26.9842,8.8,"央企,个人","刘庆峰,中科大资产经营",人工智能,计算机,科技,语音系统,我国智能语音及人工智能领域的技术引领者和龙头企业,,
601818.SH,光大银行,银行-银行-股份制银行,沪深300,一流财富管理银行，在投行、电子银行、信用卡等业务行业领先,"央企国企改革,国企改革,证金持股,优先股,高股息精选",19.0001,31.2026,央企,中央汇金投资,股份制银行,银行,金融,股份银行,国内首家全国性股份制银行之一,,
000166.SZ,申万宏源,非银金融-证券-证券Ⅲ,沪深300,布局完善、能力突出的投资银行集团,"央企国企改革,国企改革,证金持股,新疆振兴,西部大开发,金控平台,期货",75.5302,49.7001,央企,中央汇金投资,证券,非银金融,金融,AA级券商,一家中国领先的以证券业务为核心的投资控股集团,2.132,证金公司
601881.SH,中国银河,非银金融-证券-证券Ⅲ,沪深300,国内分支机构最多的证券公司,"同花顺中特估100,央企国企改革,北京自贸区,国企改革,证金持股,互联网券商",5.9082,32.7599,央企,中央汇金投资,证券,非银金融,金融,证券业务,国内分支机构最多的证券公司,22.2786,中央汇金
600622.SH,光大嘉宝,房地产-房地产-住宅开发,中证2000,以不动产资产管理、不动产投资和房地产开发业务为核心主业,"央企国企改革,稀有金属,统一大市场,核电,国企改革,住房租赁,物业管理,小金属,化债(AMC)",53.8887,3.1077,央企,中央汇金投资,住宅,房地产,金融,上海地产,不动产资产管理及房地产开发业务提供商,1.1608,证金公司
600088.SH,中视传媒,传媒-影视院线-影视院线Ⅲ,中证2000,中央电视台旗下唯一上市公司，已形成影视、广告、旅游三大主营业务,"国企改革,动漫,旅游,文化传媒,广播电视,乡村振兴,央企国企改革,网络视频,虚拟数字人,影视娱乐,TMT,数字电视,新媒体,网络电视",58.1631,55.49,央企,中央广播电视总台,影视,传媒,科技,旅游+影视,中央电视台旗下上市公司，影视、广告、旅游三大主营,,
600084.SH,中信尼雅,食品饮料-饮料制造-其他酒类,,国内领先的集葡萄种植、加工、贸易一体的大型葡萄酒上市企业,"白酒,国企改革,新疆旅游,农业种植,新疆振兴,西部大开发,化债(AMC),乡村振兴",46.7605,14.2293,央企,中国中信,其他酒,饮料,必需消费,葡萄酒,国内规模较大的葡萄酒生产企业之一,,
601061.SH,中信金属,商贸零售-贸易-贸易Ⅲ,,全球最大的铌产品供应商CBMM在中国的独家分销商，在国内铌产品市场约占80%的市场份额。铁矿石产品贸稳居行业前列,"同花顺中特估100,金属锌,超导,金属铜,国企改革,小金属,金属镍,铁矿石,黄金,一带一路",4.2809,47.6859,央企,中国中信,贸易,零售,可选消费,金属及矿产品贸易,公司控制着全球超过70%的铌资源储量,,
