证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,市盈率,市净率,EPS,ROE,每股净资产,股息率,资产负债率,ths名称,明星股,高分红,中概股,中概种类,SEC摘牌,SPAC,空壳公司,所属概念,三级行业,二级行业,一级行业,上市板块,异动值
BDRX,Biodexa,0.06,0.06,1.3,79.36,82.78,0.95,1615.05,-0.66,1.0,-1.971072914,-180.5867346939,1.302539778,-,0.556251185733,Biodexa,,,,,,,,纳米,制药,制药,医疗保健,Nasdaq Capital Market,160.21911067574504
IBRX,ImmunityBio,49.76,49.76,7.35,43.84,55.18,2.71,5.95,-8.53,-8.48,-0.861437314,112.76962315120001,-0.86703699,-,2.161531721551,ImmunityBio,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Select Market,60.13649932279889
AGEN,艾吉纳斯,2.45,2.45,11.69,40.84,45.54,0.37,16.08,-1.0,-1.53,-11.733073287,221.7969486799,-7.654491043,-,1.47268510702,艾吉纳斯,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Capital Market,14.295111455931647
ULH,环球物流控股,12.06,12.06,45.84,39.37,27.52,0.22,1.84,12.98,2.27,3.531119106,18.9762727652,20.228571555,0.92,0.575438185019,环球物流控股,,,,,,,,,地面货运,运输,工业,Nasdaq Global Select Market,4.456525842726937
KPLT,Katapult ,0.52,0.52,12.76,35.74,36.17,0.01,1.14,-1.42,-1.86,-8.973212516,243.96832789939998,-6.850438137,-,1.27752771113,Katapult ,,,,,,,,,应用软件,软件,科技,Nasdaq Capital Market,0.4590053780706947
NUZE,NuZee,0.02,0.02,1.63,33.61,68.03,0.07,307.5,-0.24,1.25,-6.826262975,-153.2687650059,1.30631971,-,0.622977312757,NuZee,,,,,,,,,包装食品与肉类,食品饮料,日常消费品,Nasdaq Capital Market,9.673110148025506
MOBX,Mobix Labs,0.9,0.9,3.5,33.59,47.71,0.02,2.36,-46.92,20.72,-0.074602394,21.4154832799,0.168918847,-,0.894683519876,Mobix Labs,,,,,,SPAC（特殊目的收购公司）,空壳公司,,半导体产品,半导体,科技,Nasdaq Global Market,1.1152518488926966
IFBD,讯鸟软件,0.07,0.07,4.9,32.79,48.78,0.2,307.84,-0.54,0.95,-9.03161696,-67.8165373473,5.180600631,-,0.800910956974,讯鸟软件,,,中概股,,,,,,应用软件,软件,科技,Nasdaq Capital Market,17.622035482796452
ANVS,Annovis Bio,1.98,1.98,18.01,32.43,33.01,0.17,9.62,-3.53,-25.59,-5.104240017,-546.3974754096,-0.703899331,-,1.759271703788,Annovis Bio,,,,,,,,阿尔茨海默病,制药,制药,医疗保健,主板,4.724865066284411
CGEM,Cullinan Oncology,10.9,10.9,25.3,31.43,33.48,1.16,11.02,-7.11,2.4,-3.556477559,-30.9814995368,10.535149305,-,0.062552924314,Cullinan Oncology,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Select Market,19.74342400584181
