股票代码,股票简称,流通市值,总市值,最新价,涨跌幅
301313.SZ,凡拓数创,11.9,47.6,46.48,20.01
300964.SZ,本川智能,16.7,39.3,50.83,20.0
301085.SZ,亚康股份,18.0,45.4,56.72,19.99
688786.SH,悦安新材,28.2,45.8,53.6,19.99
300913.SZ,兆龙互连,19.5,77.9,42.38,19.99
300025.SZ,华星创业,58.8,69.1,13.72,14.24
301326.SZ,捷邦科技,7.5,32.2,44.6,13.78
300081.SZ,恒信东方,56.2,69.1,11.42,11.96
300291.SZ,百纳千成,65.6,75.1,7.97,10.69
002175.SZ,东方智造,41.8,41.8,3.27,10.1
600758.SH,辽宁能源,63.4,63.5,4.8,10.09
600892.SH,大晟文化,32.4,32.4,5.79,10.08
000802.SZ,北京文化,54.0,54.1,7.55,10.06
002217.SZ,合力泰,122.7,122.8,3.94,10.06
600250.SH,南纺股份,19.3,21.1,6.79,10.05
600679.SH,上海凤凰,28.5,49.1,9.53,10.05
600822.SH,上海物贸,39.9,50.0,10.08,10.04
600225.SH,卓朗科技,175.6,175.7,5.15,10.04
601133.SH,柏诚股份,20.6,85.4,16.34,10.03
603889.SH,新澳股份,47.9,47.9,6.69,10.03
605180.SH,华生科技,6.6,23.0,17.67,10.02
002015.SZ,协鑫能科,242.4,242.4,14.93,10.02
603322.SH,超讯通信,54.0,54.4,34.49,10.02
603097.SH,江苏华辰,8.8,35.2,21.97,10.02
002995.SZ,天地在线,26.9,59.1,33.29,10.01
605011.SH,杭州热电,51.4,169.7,42.41,10.01
603000.SH,人民网,233.3,233.3,21.1,10.01
605588.SH,冠石科技,12.9,40.7,55.73,10.01
600137.SH,浪莎股份,16.7,16.7,17.15,10.01
600345.SH,长江通信,44.8,44.8,22.65,10.0
605118.SH,力鼎光电,9.1,89.2,21.89,10.0
003031.SZ,中瓷电子,87.1,262.2,125.4,10.0
002229.SZ,鸿博股份,176.8,178.7,35.86,10.0
000888.SZ,峨眉山A,66.7,66.7,12.65,10.0
603163.SH,圣晖集成,10.9,43.5,54.35,10.0
001308.SZ,康冠科技,22.3,211.1,31.03,10.0
002902.SZ,铭普光磁,36.0,51.0,24.11,9.99
601595.SH,上海电影,155.4,155.4,34.68,9.99
603629.SH,利通电子,54.1,54.1,29.73,9.99
605028.SH,世茂能源,8.5,34.0,21.26,9.98
001298.SZ,好上好,9.5,38.0,27.32,9.98
000680.SZ,山推股份,58.6,82.7,5.51,9.98
002395.SZ,双象股份,41.4,41.4,15.43,9.98
603721.SH,中广天择,25.8,25.8,19.84,9.98
601949.SH,中国出版,253.1,253.1,13.89,9.98
000989.SZ,九芝堂,93.6,121.8,14.23,9.97
600415.SH,小商品城,500.4,503.1,9.17,9.95
002638.SZ,勤上股份,36.8,48.2,3.33,9.9
002323.SZ,雅博股份,61.5,61.5,2.9,9.85
688570.SH,N天玛,18.0,143.5,33.13,9.48
600781.SH,退市辅仁,2.6,4.4,0.7,9.38
002880.SZ,卫光生物,83.1,83.1,36.65,9.31
300252.SZ,金信诺,47.5,71.0,10.73,9.27
300860.SZ,锋尚文化,28.2,92.2,67.16,8.96
688383.SH,新益昌,45.6,148.0,144.9,8.95
600557.SH,康缘药业,171.3,173.7,29.71,8.35
601599.SH,浙文影业,37.7,49.0,4.22,8.21
002009.SZ,天奇股份,51.3,52.5,13.78,8.16
300638.SZ,广和通,123.6,190.0,25.08,7.87
300786.SZ,国林科技,25.3,34.0,18.47,7.82
300168.SZ,万达信息,170.4,207.8,14.4,7.62
300928.SZ,华安鑫创,17.2,32.2,40.22,7.57
002262.SZ,恩华药业,278.6,318.4,31.6,7.56
001223.SZ,欧克科技,12.0,48.0,71.97,7.55
300880.SZ,迦南智能,21.4,48.5,25.1,7.49
603099.SH,长白山,31.5,31.5,11.81,7.36
603519.SH,立霸股份,42.5,42.5,15.97,7.33
688103.SH,国力股份,39.6,60.0,62.94,7.2
600532.SH,退市未来,3.9,3.9,0.75,7.14
002697.SZ,红旗连锁,64.9,81.9,6.02,7.12
688182.SH,灿勤科技,22.5,93.6,23.4,7.0
603280.SH,南方路机,7.2,28.7,26.51,6.98
600640.SH,国脉文化,105.4,105.4,13.24,6.95
600105.SH,永鼎股份,89.3,90.9,6.47,6.94
002044.SZ,美年健康,274.6,277.5,7.09,6.94
002292.SZ,奥飞娱乐,108.8,165.0,11.16,6.9
601801.SH,皖新传媒,204.9,204.9,10.3,6.85
301317.SZ,鑫磊股份,9.4,39.6,25.2,6.82
002919.SZ,名臣健康,88.8,89.8,40.4,6.79
002252.SZ,上海莱士,477.7,477.9,7.09,6.78
300937.SZ,药易购,14.2,33.0,34.51,6.71
300299.SZ,富春股份,56.0,59.9,8.66,6.65
301428.SZ,世纪恒通,10.1,42.7,43.29,6.63
688426.SH,康为世纪,8.1,36.2,38.72,6.61
000656.SZ,金科股份,51.5,51.8,0.97,6.59
301013.SZ,利和兴,26.1,36.7,15.72,6.58
300859.SZ,*ST西域,25.8,41.8,26.98,6.56
300166.SZ,东方国信,116.6,146.1,12.68,6.55
300713.SZ,英可瑞,24.4,45.1,28.61,6.48
600079.SH,人福医药,396.6,444.3,27.21,6.46
688319.SH,欧林生物,68.3,96.8,23.88,6.37
300866.SZ,安克创新,127.3,342.2,84.2,6.33
002371.SZ,北方华创,1673.6,1678.7,317.0,6.31
300413.SZ,芒果超媒,326.4,597.7,31.95,6.29
300781.SZ,因赛集团,23.0,31.1,28.32,6.23
688420.SH,美腾科技,9.5,39.7,44.89,6.22
300788.SZ,中信出版,75.1,75.1,39.5,6.21
300005.SZ,探路者,75.6,75.6,8.56,6.2
601138.SH,工业富联,3747.9,3760.0,18.93,6.17
300280.SZ,紫天科技,81.2,82.0,50.6,6.17
600452.SH,涪陵电力,184.2,184.2,20.14,6.17
601360.SH,三六零,1107.5,1107.5,15.5,6.16
300756.SZ,金马游乐,18.0,27.7,19.56,6.13
000028.SZ,国药一致,213.6,248.7,44.68,6.13
600386.SH,北巴传媒,36.4,36.4,4.51,6.12
000719.SZ,中原传媒,88.0,135.0,13.19,6.11
688035.SH,德邦科技,17.6,81.4,57.26,6.1
600833.SH,第一医药,31.1,31.1,13.93,6.09
002605.SZ,姚记科技,139.0,174.0,42.25,6.08
300002.SZ,神州泰岳,247.8,267.1,13.62,6.07
300029.SZ,ST天龙,14.0,14.1,7.01,6.05
300807.SZ,天迈科技,13.1,18.3,27.0,6.05
601999.SH,出版传媒,41.7,41.7,7.57,6.02
688037.SH,芯源微,268.8,268.8,289.4,6.01
000950.SZ,重药控股,131.3,132.5,7.6,6.0
301103.SZ,何氏眼科,39.4,75.0,47.46,5.98
688076.SH,诺泰生物,52.2,76.1,35.69,5.94
301165.SZ,锐捷网络,34.6,320.3,56.37,5.9
601858.SH,中国科传,335.9,335.9,42.49,5.88
301045.SZ,天禄科技,15.1,30.0,29.1,5.86
688027.SH,国盾量子,80.6,137.7,171.6,5.85
301289.SZ,国缆检测,7.2,28.9,37.0,5.84
603055.SH,台华新材,90.2,90.7,10.16,5.83
600203.SH,福日电子,36.0,37.8,6.37,5.81
688191.SH,智洋创新,12.5,26.3,17.11,5.81
601811.SH,XD新华文,130.0,202.5,16.41,5.8
300475.SZ,香农芯创,125.7,130.1,28.44,5.76
688036.SH,传音控股,1088.1,1088.1,135.35,5.74
603199.SH,九华旅游,39.8,39.8,35.95,5.74
300430.SZ,诚益通,44.5,47.4,17.35,5.73
000607.SZ,华媒控股,54.3,62.5,6.14,5.68
688328.SH,深科达,11.8,19.9,24.57,5.68
603108.SH,润达医疗,72.6,72.6,12.52,5.65
300275.SZ,梅安森,36.9,45.0,23.94,5.65
688668.SH,鼎通科技,19.5,58.1,58.75,5.65
600587.SH,新华医疗,143.7,166.3,35.61,5.64
603613.SH,国联股份,259.5,259.5,52.04,5.6
603268.SH,松发股份,22.1,22.1,17.76,5.59
688147.SH,微导纳米,21.6,245.1,53.94,5.56
300947.SZ,德必集团,14.5,23.4,15.22,5.55
000158.SZ,常山北明,124.9,126.3,7.9,5.47
300010.SZ,*ST豆神,17.5,18.6,2.14,5.42
002478.SZ,常宝股份,47.7,64.4,7.23,5.39
300079.SZ,数码视讯,91.6,103.6,7.25,5.38
300334.SZ,津膜科技,25.0,25.0,8.27,5.35
002858.SZ,力盛体育,36.8,42.0,26.23,5.34
300994.SZ,久祺股份,12.8,38.4,19.79,5.32
605158.SH,华达新材,11.1,39.5,7.72,5.32
000589.SZ,贵州轮胎,61.8,63.7,5.55,5.31
688159.SH,有方科技,26.0,26.1,28.36,5.31
600469.SH,风神股份,34.5,44.9,6.15,5.31
301285.SZ,鸿日达,7.6,30.4,14.69,5.3
300148.SZ,天舟文化,43.1,46.4,5.56,5.3
002005.SZ,ST德豪,24.4,24.4,1.39,5.3
002699.SZ,*ST美盛,14.5,14.5,1.59,5.3
000889.SZ,ST中嘉,13.8,14.9,1.59,5.3
300948.SZ,冠中生态,11.5,23.1,16.53,5.29
002849.SZ,威星智能,27.0,31.7,14.35,5.28
300770.SZ,新媒股份,107.8,107.8,46.67,5.28
002905.SZ,金逸影视,33.5,36.1,9.59,5.27
688153.SH,唯捷创芯,66.7,303.4,74.13,5.27
002195.SZ,二三四五,181.6,183.8,3.21,5.25
603888.SH,新华网,160.6,160.6,30.95,5.2
603236.SH,移远通信,170.1,170.1,90.02,5.2
002261.SZ,拓维信息,168.1,188.2,14.99,5.19
603729.SH,龙韵股份,14.6,14.6,15.66,5.17
301302.SZ,华如科技,18.9,75.7,47.85,5.16
600823.SH,ST世茂,46.1,46.1,1.23,5.13
600136.SH,*ST明诚,13.9,16.7,2.87,5.13
688109.SH,品茗科技,10.3,21.1,26.74,5.11
000971.SZ,ST高升,12.1,15.1,1.44,5.11
000976.SZ,ST华铁,32.8,32.9,2.06,5.1
002433.SZ,*ST太安,13.8,14.3,1.86,5.08
600551.SH,时代出版,61.3,61.3,12.65,5.07
300743.SZ,天地数码,16.8,23.0,16.62,5.06
600303.SH,ST曙光,32.3,32.3,4.78,5.05
002289.SZ,ST宇顺,15.4,16.3,5.83,5.05
603555.SH,ST贵人,26.2,26.2,1.67,5.03
000620.SZ,*ST新联,31.7,31.7,1.67,5.03
002502.SZ,ST鼎龙,15.7,17.3,1.88,5.03
002291.SZ,遥望科技,163.0,173.3,19.02,5.02
688338.SH,赛科希德,26.7,44.5,54.46,5.01
603728.SH,鸣志电器,219.6,220.9,52.59,5.01
301062.SZ,上海艾录,23.6,39.5,9.86,5.01
600070.SH,ST富润,17.0,17.0,3.36,5.0
603929.SH,亚翔集成,35.0,35.0,16.39,5.0
002463.SZ,沪电股份,408.2,408.4,21.44,5.0
688387.SH,信科移动-U,38.7,273.8,8.01,4.98
002808.SZ,ST恒久,10.9,17.0,6.33,4.98
000004.SZ,ST国华,17.3,19.3,14.56,4.97
000416.SZ,*ST民控,10.1,10.1,1.9,4.97
300449.SZ,汉邦高科,21.9,22.0,7.39,4.97
301369.SZ,联动科技,16.3,65.1,93.57,4.97
000046.SZ,*ST泛海,55.1,55.1,1.06,4.95
000005.SZ,ST星源,11.2,11.2,1.06,4.95
603679.SH,华体科技,23.9,23.9,14.67,4.94
301325.SZ,曼恩斯特,26.7,129.0,107.54,4.92
300493.SZ,润欣科技,48.2,48.6,9.62,4.91
000993.SZ,闽东电力,50.9,53.0,11.57,4.9
688484.SH,南芯科技,24.7,191.0,45.1,4.88
002792.SZ,通宇通讯,37.9,63.0,15.68,4.88
002482.SZ,*ST广田,26.3,26.4,1.72,4.88
002843.SZ,泰嘉股份,48.3,48.8,22.8,4.88
603633.SH,徕木股份,43.8,43.8,13.35,4.87
000615.SZ,*ST美谷,18.0,18.1,2.37,4.87
