证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,所属概念,沪深指数
688603.SH,N天承,10.5,50.6,87.11,58.38,电子-电子化学品-电子化学品Ⅲ,PCB,半导体,科技,平沉铜专业化学品、电镀专业化学品,我国最早从事PCB专用电子化学品和生产的企业之一,主营PCB所需要的专用电子化学品,PCB,
301261.SZ,N恒工,9.9,43.9,50.0,35.5,机械设备-通用设备-金属制品,精密模具,机械设备,机械,精密机加工件、连续铸铁件,公司产能在国内连续铸造工艺竞争对手中位居前列,国家级专精特新“小巨人”，产能在国内连续铸造工艺竞争对手中居前,,
301488.SZ,C豪恩,22.5,104.0,113.0,25.7,交运设备-汽车零部件-汽车零部件Ⅲ,汽车电子,汽车零部件,汽车,汽车智能驾驶感知系统,汽车智能驾驶感知系统一站式解决方案供应商,国家级专精特新“小巨人”，主营汽车智能驾驶感知系统,"无人驾驶,比亚迪,专精特新,毫米波雷达,汽车电子",
837592.BJ,N永道,1.9,7.7,12.8,23.31,计算机-计算机应用-软件开发,电子政务,计算机,科技,软件定制与开发,深耕住房公积金行业信息化领域，服务的缴存人数及客户数量市占率行业居前,深耕住房公积金行业信息化领域，服务的缴存人数及客户数量市占率行业居前,,
300528.SZ,幸福蓝海,40.4,40.4,10.84,20.04,传媒-传媒-影视院线,影视,传媒,科技,院线+发行,国有控股电视剧投资制作和电影全产业链经营的公司,国有控股电视剧投资制作和电影全产业链经营的公司,"影视娱乐,国企改革,文化传媒,地方国企改革,江苏国企改革",
300807.SZ,天迈科技,18.2,25.4,37.5,20.0,计算机-计算机设备-计算机设备Ⅲ,智慧城市,计算机,科技,智能调度系统,智能交通（ITS）解决方案的领先企业,基于车联网技术为城市公交运营、管理及服务提供综合解决方案,"物联网,智能交通,国产替代,东数西算（算力）,网约车,数据中心,乡村振兴,车联网,疫情监测,华为,ERP,数字乡村,大数据,无人驾驶,比亚迪,充电桩,百度,冷链物流,新能源汽车,卫星导航,人脸识别,EDR,云计算,人工智能",
300342.SZ,天银机电,54.9,56.1,13.2,20.0,家用电器-白色家电-其他白色家电,制冷电器,家电,可选消费,压缩机启动器,全球独家能够大批量生产和销售无功耗类起动器的厂商,国内领先的节能节材型冰箱压缩机零部件的研发、生产和销售企业,"军工,太空经济,元器件,航空航天,太赫兹,国企改革,家用电器,华为,无人驾驶,雷达,广东国企改革,军用无人机,无人机,卫星导航,节能环保,地方国企改革",
300343.SZ,联创股份,89.5,95.6,8.39,17.34,基础化工-化学制品-氟化工,氟,化工原料,化工,氟化工、聚氨酯,知名氟化工生产企业,聚氨酯新材料技术具有领先优势，锂电池级PVDF向宁德时代供货,"新材料,氟化工,节能减排,宁德时代,消毒剂,VR设备,PVDF,锂电原料,虚拟现实,钠离子电池,制冷剂,风电,锂电池",中证1000
300939.SZ,秋田微,29.2,53.2,44.31,14.76,电子-光学光电子-面板,显示面板,消费电子,科技,液晶显示模组,国内领先的液晶显示及触控产品厂商,公司具备在短期内设计出触控显示一体化解决方案的能力,"无人驾驶,智能汽车,雷达,电子纸,比亚迪,充电桩,新能源汽车,人民币贬值受益,5G,人工智能,汽车电子",
301022.SZ,海泰科,13.3,26.0,31.26,12.45,交运设备-汽车零部件-汽车零部件Ⅲ,精密模具,机械设备,机械,车用注塑模具,国内外知名汽车内外饰件企业的模具供应商,国内外重要的汽车注塑模具生产厂家之一,"汽车制造,新能源汽车,蔚来汽车,比亚迪,理想汽车",
