isin,euronext_code,stock_name,degiro_symbol,symbol,category,currency,exchangeId,exchange_degiro,exchange_mic_code,exchange_name,market,isShortable,feedQuality,feedQualitySecondary,icb_industry,name,description,logoid,type,close,Value.Traded,market_cap_basic,fundamental_currency_code,sector,industry,is_primary,exchange,country,currency_id,forex_rate,market_cap_USD,Traded_USD,turnover_rate,plate,证券代码,证券名称,en_description,dr_name,code,correct_industry,exchange_code,trade_currency,last_price,change,last_traded_at,close_price,trading_date
FR0000045072,FR0000045072-BGEM,Credit Agricole SA,1ACA,1ACA,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Banks,1ACA,农业信贷银行-X,credit-agricole,stock,11.156,1316.408,35418835965.68218,USD,Finance,Regional Banks,False,MIL,France,EUR,1.11261,354.18835965682183,1.46464870488e-05,0.0,欧洲,,,CREDIT AGRICOLE,农业信贷银行,,,,,,,,,
NL0011794037,NL0011794037-BGEM,Koninklijke Ahold Delhaize NV,1AD,1AD,A,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Food Retailers and Wholesalers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR0000031122,FR0000031122-BGEM,Air France KLM SA,1AF,1AF,B,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Airlines,1AF,AIR FRANCE-KLM,air-france-klm,stock,1.6205,318645.397,4528106385.72446,USD,Transportation,Airlines,False,MIL,France,EUR,1.11261,45.2810638572446,0.0035452805515617,0.0001,欧洲,,,AIR FRANCE-KLM,,,,,,,,,,
NL0000303709,NL0000303709-BGEM,Aegon NV,1AGN,1AGN,B,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Life Insurance,1AGN,荷兰全球保险-X,aegon,stock,4.727,15098.038,10669281621.91485,USD,Finance,Multi-Line Insurance,False,MIL,Netherlands,EUR,1.11261,106.6928162191485,0.0001679822805918,0.0,欧洲,,,AEGON,荷兰全球保险,,,,,,,,,
BE0974264930,BE0974264930-BGEM,Ageas SA,1AGS,1AGS,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Life Insurance,1AGS,AGEAS,ageas,stock,37.65,4593.3,7726809559.85015,USD,Finance,Multi-Line Insurance,False,MIL,Belgium,EUR,1.11261,77.2680955985015,5.110551513e-05,0.0,欧洲,,,AGEAS,,,,,,,,,,
NL0000235190,NL0000235190-BGEM,Airbus SE,1AIR,1AIR,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Aerospace,1AIR,空客-X,airbus,stock,135.3,38425.2,118324980020.16164,USD,Electronic Technology,Aerospace & Defense,False,MIL,France,EUR,1.11261,1183.2498002016164,0.00042752261772,0.0,欧洲,,,AIRBUS,空客,,,,,,,,,
NL0010273215,NL0010273215-BGEM,ASML Holding NV,1ASML,1ASML,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Production Technology Equipment,1ASML,ASML-X,asml,stock,619.1,170252.5,276252259550.6549,USD,Electronic Technology,Semiconductors,False,MIL,Netherlands,EUR,1.11261,2762.522595506549,0.00189424634025,0.0,欧洲,,,ASML,ASML,,,,,,,,,
DE000BASF111,DE000BASF111-BGEM,BASF SE,1BAS,1BAS,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Chemicals: Diversified,1BAS,巴斯夫-X,basf,stock,47.71,19370.26,46160631295.45681,USD,Process Industries,Chemicals: Major Diversified,False,MIL,Germany,EUR,1.11261,461.6063129545681,0.000215515449786,0.0,欧洲,,,BASF,巴斯夫,,,,,,,,,
DE0005190003,DE0005190003-BGEM,Bayerische Motoren Werke AG,1BMW,1BMW,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Automobiles,1BMW,BMW-X,bmw,stock,108.6,81015.6,78766942750.68553,USD,Consumer Durables,Motor Vehicles,False,MIL,Germany,EUR,1.11261,787.6694275068553,0.00090138766716,0.0,欧洲,,,BMW,BMW,,,,,,,,,
US19260Q1076,US19260Q1076-BGEM,COINBASE GLOBAL,1COIN,1COIN,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,,1COIN,Coinbase Global-X,coinbase,stock,91.39,98609.81,23757788460.999996,USD,Finance,Investment Banks/Brokers,False,MIL,United States,EUR,1.11261,237.57788460999996,0.001097142607041,0.0,欧洲,,,COINBASE GLOBAL,Coinbase Global,,,,,,,,,
