isin,name,symbol,证券名称,industry,xetr_industry,category,currency,exchangeId,exchange_degiro,exchange_mic_code,exchange,isShortable,feedQuality,feedQualitySecondary,slug,name.originalValue,name.translations.others,name.translations.en,overview.lastPrice,changeToPrevDay,turnover,marketCapitalisation,overview.dateTimeLastPrice
DE0007164600,SAP,SAP,SAP,Packaged Software,Software,D,EUR,194,XET,XETR,Xetra,False,D15,,sap-se,SAP SE O.N.,SAP SE,,125.64,1.9639668884,140043225.34,154348740000.0,2023-08-10T17:26:54+02:00
DE0008404005,Allianz,ALV,安联保险,Multi-Line Insurance,Insurance,D,EUR,194,XET,XETR,Xetra,False,D15,,allianz-se,ALLIANZ SE NA O.N.,Allianz SE,,224.75,4.7785547785,390743267.85,90643922500.0,2023-08-10T17:26:48+02:00
DE0007236101,Siemens,SIE,西门子,Industrial Machinery,"Industrial, Diversified",C,EUR,194,XET,XETR,Xetra,False,CX,D15,siemens-ag,SIEMENS AG NA O.N.,Siemens AG,,139.36,-4.8607318406,442764733.02,111488000000.0,2023-08-10T17:26:56+02:00
DE0007100000,Mercedes-Benz Group,MBG,梅赛德斯奔驰,Motor Vehicles,Automobile Manufacturers,D,EUR,194,XET,XETR,Xetra,False,D15,,mercedes-benz-group,MERCEDES-BENZ GRP NA O.N.,,Mercedes Benz Group AG (former Daimler),70.29,1.1366906474,87244837.36,75199053600.0,2023-08-10T17:26:55+02:00
DE0006231004,Infineon Technologies,IFX,英飞凌,Semiconductors,Semiconductors,D,EUR,194,XET,XETR,Xetra,False,D15,,infineon-technologies-ag,INFINEON TECH.AG NA O.N.,Infineon Technologies AG,,34.465,1.3378418112,94811102.47,45008532800.0,2023-08-10T17:26:54+02:00
DE0005140008,Deutsche Bank,DBK,德意志银行,Investment Banks/Brokers,Credit Banks,C,EUR,194,XET,XETR,Xetra,False,D15,,deutsche-bank-ag,DEUTSCHE BANK AG NA O.N.,Deutsche Bank AG,,10.026,1.621731198,62253000.14,20455446240.0,2023-08-10T17:26:56+02:00
DE000A1ML7J1,Vonovia,VNA,福诺菲亚,Real Estate Development,Real Estate,C,EUR,194,XET,XETR,Xetra,False,D15,,vonovia-se,VONOVIA SE NA O.N.,Vonovia SE,,21.38,3.3849129593,71810229.4,17417003200.0,2023-08-10T17:26:33+02:00
DE0005557508,Deutsche Telekom,DTE,德国电信,Major Telecommunications,Fixed-Line Telecommunication,A,EUR,194,XET,XETR,Xetra,False,D15,,deutsche-telekom-ag,DT.TELEKOM AG NA,Deutsche Telekom AG,,18.892,0.0529604914,122628680.81,94204202320.0,2023-08-10T17:26:56+02:00
DE000BAY0017,Bayer,BAYN,拜耳,Pharmaceuticals: Major,Pharmaceuticals,D,EUR,194,XET,XETR,Xetra,False,D15,,bayer-ag,BAYER AG NA O.N.,Bayer AG,,52.64,1.1918492887,64141326.84,51714588800.0,2023-08-10T17:26:46+02:00
DE000BASF111,BASF,BAS,巴斯夫,Chemicals: Major Diversified,"Chemicals, Specialty",A,EUR,194,XET,XETR,Xetra,False,CX,D15,basf-se,BASF SE NA O.N.,BASF SE,,47.38,1.7611683848,47014718.22,42287597600.0,2023-08-10T17:26:56+02:00
DE0005785604,Fresenius,FRE,费森尤斯,Medical Specialties,Health Care,D,EUR,194,XET,XETR,Xetra,False,D15,,fresenius-se-co-kgaa,FRESENIUS SE+CO.KGAA O.N.,Fresenius SE & Co. KGaA,,29.92,4.3599581444,36919236.97,16852140800.0,2023-08-10T17:26:56+02:00
DE0005552004,Deutsche Post,DHL,德国邮政,Air Freight/Couriers,Logistics,A,EUR,194,XET,XETR,Xetra,True,CX,D15,deutsche-post-ag,DEUTSCHE POST AG NA O.N.,Deutsche Post AG,,44.355,1.9303688383,40848637.09,54958506300.0,2023-08-10T17:26:41+02:00
DE0007664039,Volkswagen Vz,VOW3,大众 VZ,Motor Vehicles,Automobile Manufacturers,D,EUR,194,XET,XETR,Xetra,False,D15,,volkswagen-ag-vz,VOLKSWAGEN AG VZO O.N.,Volkswagen AG Vz,,117.94,0.9069130732,63538913.12,59123322000.0,2023-08-10T17:26:48+02:00
DE0008430026,Muenchener Rueckversicherungs Gesellschaft in Muenchen,MUV2,慕尼黑再保险,Life/Health Insurance,Re-Insurance,C,EUR,194,XET,XETR,Xetra,False,CX,D15,muenchener-rueck-ag,MUENCH.RUECKVERS.VNA O.N.,Münchener Rück AG,,353.6,2.4630541871,111776703.2,48255792000.0,2023-08-10T17:26:56+02:00
DE000A1EWWW0,Adidas,ADS,阿迪达斯,Apparel/Footwear,Footwear,A,EUR,194,XET,XETR,Xetra,True,CX,D15,adidas-ag,ADIDAS AG NA O.N.,adidas AG,,182.48,2.991308274,42915099.42,32846400000.0,2023-08-10T17:26:58+02:00
DE0005190003,Bayerische Motoren Werke,BMW,BMW,Motor Vehicles,Automobile Manufacturers,D,EUR,194,XET,XETR,Xetra,False,D15,,bmw-ag-st,BAY.MOTOREN WERKE AG ST,BMW AG St,,102.14,0.769534333,40459052.8,59220772000.0,2023-08-10T17:26:51+02:00
DE000CBK1001,Commerzbank,CBK,德国商业银行,Regional Banks,Credit Banks,D,EUR,194,XET,XETR,Xetra,False,D15,,commerzbank-ag,COMMERZBANK AG,Commerzbank AG,,10.065,0.7305844675,37295369.44,12605003400.0,2023-08-10T17:26:58+02:00
US88160R1014,Tesla,TL0,特斯拉,Motor Vehicles,Automobile Manufacturers,D,EUR,194,XET,XETR,Xetra,False,D15,,tesla-inc,"TESLA INC. DL -,001",Tesla Inc.,,224.1,0.8097165991,19588472.0,709052400000.0,2023-08-10T17:26:28+02:00
DE000A161408,Hellofresh,HFG,HelloFresh,Internet Retail,"Retail, Internet",D,EUR,194,XET,XETR,Xetra,False,D15,,hellofresh-se,HELLOFRESH SE INH O.N.,HelloFresh SE,,24.45,2.1730045967,9439655.3,4210290000.0,2023-08-10T17:26:57+02:00
DE000ENAG999,E.ON,EOAN,,Electric Utilities,Multi-Utilities,B,EUR,194,XET,XETR,Xetra,True,CX,D15,e-on-se,E.ON SE NA O.N.,E.ON SE,,11.115,1.5532206486,33141727.62,29358271800.0,2023-08-10T17:26:31+02:00
DE000DTR0CK8,Daimler Truck Holding,DTG,戴姆勒卡车,Motor Vehicles,Heavy Machinery,D,EUR,194,XET,XETR,Xetra,False,D15,,daimler-truck-holding-ag,DAIMLER TRUCK HLDG NA ON,Daimler Truck Holding AG,,34.15,0.9459060005,40620750.76,28103742500.0,2023-08-10T17:25:42+02:00
DE0005810055,Deutsche Boerse,DB1,德意志交易所,Investment Banks/Brokers,Securities Brokers,D,EUR,194,XET,XETR,Xetra,False,D15,,deutsche-boerse-ag,DEUTSCHE BOERSE NA O.N.,Deutsche Börse AG,,171.65,1.2385726924,17129640.85,32613500000.0,2023-08-10T17:26:39+02:00
DE0006599905,Merck,MRK,默克集团,Pharmaceuticals: Major,Pharmatceuticals,D,EUR,194,XET,XETR,Xetra,False,D15,,merck-kgaa,MERCK KGAA O.N.,Merck KGaA,,165.55,2.0968239284,24387893.95,71977829000.0,2023-08-10T17:26:57+02:00
DE0007037129,RWE,RWE,,Electric Utilities,Multi-Utilities,D,EUR,194,XET,XETR,Xetra,False,D15,,rwe-ag-st,RWE AG INH O.N.,RWE AG St,,38.54,-1.2301383906,85947798.32,28667593600.0,2023-08-10T17:26:43+02:00
DE000ZAL1111,Zalando,ZAL,Zalando,Internet Retail,"Retail,Internet",C,EUR,194,XET,XETR,Xetra,False,D15,,zalando-se,ZALANDO SE,Zalando SE,,29.46,2.1497919556,22275634.34,7766539800.0,2023-08-10T17:26:57+02:00
DE000A1DAHH0,Brenntag,BNR,步朗德,Wholesale Distributors,Industrial Products & Services,D,EUR,194,XET,XETR,Xetra,False,D15,,brenntag-se,BRENNTAG SE NA O.N.,Brenntag SE,,70.7,1.4347202295,23053926.72,10923150000.0,2023-08-10T17:26:45+02:00
NL0000235190,Airbus,AIR,空客,Aerospace & Defense,Aerospace,C,EUR,194,XET,XETR,Xetra,True,CX,D15,airbus-se,AIRBUS SE,Airbus SE,,131.76,0.0911577028,23073224.72,104143104000.0,2023-08-10T17:26:37+02:00
DE0006062144,Covestro,1COV,,Chemicals: Specialty,"Chemicals, Specialty",C,EUR,194,XET,XETR,Xetra,True,CX,D15,covestro-ag,COVESTRO AG O.N.,Covestro AG,,46.86,0.064061499,8378173.94,9053352000.0,2023-08-10T17:25:44+02:00
DE000WCH8881,Wacker Chemie,WCH,瓦克尔化学,Chemicals: Major Diversified,"Chemicals, Specialty",C,EUR,194,XET,XETR,Xetra,False,CX,D15,wacker-chemie-ag,WACKER CHEMIE O.N.,Wacker Chemie AG,,140.45,1.8861080885,5926600.55,7324467500.0,2023-08-10T17:26:31+02:00
