logoid,dr_name
3i-group,3I集团
3m,3M
abb,ABB
abbott,雅培
abbvie,艾伯维
accenture,埃森哲
activision-blizzard,动视暴雪
adidas,阿迪达斯
adnoc-drilling-company-pjsc,ADNOC Gas
adobe,奥多比
advanced-info-service-public-company,AIS通信
advanced-micro-devices,超威半导体
advantech-co-ltd,研华
advantest,爱德万测试
adyen,Adyen
aecom,AECOM
aegon,荷兰全球保险
aena,AENA
aeon,永旺株式会社
aercap,AerCap飞机租赁
aes,爱依斯电力
aflac,美国家庭人寿保险
agco,爱科集团
agilent-technologies,安捷伦
agnico-eagle-mines,伊格尔矿业
agricultural-bank-of-china,农业银行
ahold-delhaize,Ahold Delhaize
aia,友邦保险
aier-eye-hospital,爱尔眼科
airbnb,爱彼迎
airbus,空客
air-china-limited,中国国航
air-products-and-chemicals,空气化工
ajinomoto,味之素
akamai,阿卡迈
aker-bp-asa,Aker BP
akzo-nobel,AkzoNobel
albemarle,美国雅保
albertsons,艾伯森
alcon,爱尔康
alexandria-real-estate-equities,亚历山大房地产
alibaba,阿里巴巴
align-technology,艾利科技
allegion-plc,安朗杰
allegro-microsystems,Allegro MicroSystems
alliant-energy,美国联合能源
allianz,安联保险
allstate,好事达保险
alnylam-pharmaceuticals,Alnylam Pharmaceuticals
alphabet,谷歌
alpha-metallurgical-resources,Coterra Energy
al-rajhi-bank,拉杰赫银行
altria,奥驰亚集团
aluminum-of-china,中国铝业
amadeus,Amadeus
amazon,亚马逊
ambev,Ambev SA
amcor,Amcor
amdocs,Amdocs
amerco,U-Haul Holding
ameren,阿曼瑞恩
america-movil,美洲电信
american-airlines-group,美国航空
american-electric-power,美国电力
american-express,美国运通
american-homes-4-rent,American Homes 4 Rent
american-international-group,美国国际集团
american-tower,美国电塔
american-water-works,美国水业
ameriprise-financial,阿默普莱斯金融
amerisourcebergen,美源伯根
ametek,阿美特克
amgen,安进
amphenol,安费诺
amundi,东方汇理
ana-holdings,ANA控股
analog-devices,亚德诺
anglo-american,英美资源
anheuser-busch-inbev,百威英博
ansys,安西斯
anta-sports,安踏体育
anthem,Elevance Health
antofagasta,安托法加斯塔
aon,怡安保险
apa-corporation,阿帕奇石油
a-p-moller-maersk,马士基
apollo,阿波罗全球管理
apple,苹果
applied-materials,应用材料
applovin,Applovin
aptiv,Aptiv
aramark,Aramark
arcelormittal,ArcelorMittal
arch-capital,艾奇资本
archer-daniels-midland,阿彻丹尼尔斯米德兰
ares-capital,阿瑞斯资本
ares-management,Ares Management
argenx,argenx
arista-networks,Arista Networks
asahi,朝日啤酒
ase-technology-holding,日月光半导体
asian-paints,亚洲涂料
asm-international,ASM
asml,ASML
aspen-technology,艾斯本科技
associated-british-foods,英联食品
astellas-pharma,安斯泰来制药
astrazeneca,阿斯利康
at-and-t,美国电话电报
atlassian,Atlassian
atmos-energy,Atmos Energy
