证券代码,证券名称
HE1,HELIUM ONE GLOBAL LTD ORD NPV (
DWF,DWF GROUP PLC ORD 1P
HRN,霍恩比
ARK,ARKLE RESOURCES PLC ORD EUR0.00
KGH,KNIGHTS GROUP HOLDINGS PLC ORD
ONDO,ONDO INSURTECH PLC ORD GBP0.05
BMV,BLUEBIRD MERCHANT VENTURES LTD
MAST,MAST ENERGY DEVELOPMENTS PLC OR
UVEL,联视工程
LOOP,LOOPUP GROUP PLC ORD 0.5P
SPMU,SPIRITUS MUNDI PLC ORD 1P
NGAS,WISDOMTREE COMMODITY SECURITIES
PREM,PREMIER AFRICAN MINERALS LIMITE
AMGO,AMIGO HOLDINGS PLC ORD 0.25P
RBGP,ROSENBLATT GROUP PLC ORD GBP0.0
SSIF,SECURED INCOME FUND PLC ORD 1P
0QSS,ERYTECH PHARMA SA ERYTECH PHARM
SPEC,INSPECS GROUP PLC ORD 1P
ARV,ARTEMIS RESOURCES LIMITED ORD N
HARL,HARLAND & WOLFF GROUP HOLDINGS
BSFA,BSF ENTERPRISE PLC ORD 1P
IX.,I(X) NET ZERO PLC ORD NPV
MMAG,MUSICMAGPIE PLC ORD 1P
MXCT,MAXCYTE INC COM STK USD0.01 (DI
OHG,ONE HERITAGE GROUP PLC ORD 1P
ECR,ECR MINERALS PLC ORD 0.001P
RBW,RAINBOW RARE EARTHS LIMITED ORD
0QSU,OREGE ORD SHS
TPX,TPXIMPACT HOLDINGS PLC ORD 1P
STAF,STAFFLINE GROUP PLC ORD 10P
CRU,CORAL PRODUCTS PLC ORD 1P
HELD,HELLENIC DYNAMICS PLC ORD 0.1P
INOV,SCHRODERS CAPITAL GLOBAL INNOVA
OSB,OSB GROUP PLC ORD 1P
SCIR,SCIROCCO ENERGY PLC ORD 0.20P
RGP,ROSS GROUP PLC ORD 0.1P
UOG,UNITED OIL & GAS PLC ORD GBP0.0
0Y71,MALIN CORPORATION PLC MALIN COR
JET,JUST EAT TAKEAWAY.COM N.V. ORD
0QAU,INSIDE SECURE ORD SHS
ZEN,ZENITH ENERGY LTD. COM SHS NPV
QTX,QUARTIX TECHNOLOGIES PLC ORD 1P
RENX,RENALYTIX PLC ORD 0.25P
MAC,玛夏资本
FUTR,FUTURE PLC ORD 15P
MTL,METALS EXPLORATION PLC ORD GBP0
DOCS,DR. MARTENS PLC ORD GBP0.01
EAH,ECO ANIMAL HEALTH GROUP PLC ORD
SYME,SUPPLY@ME CAPITAL PLC ORD 0.002
COPL,CANADIAN OVERSEAS PETROLEUM LIM
CAL,CAPITAL & REGIONAL PLC ORD 10P
NXR,NORCROS PLC ORD 10P
0ABT,KALRAY SA KALRAY ORD SHS
CNE,CAPRICORN ENERGY PLC ORD 490/14
TMOR,MORE ACQUISITIONS PLC ORD GBP0.
IGE,IMAGE SCAN HOLDINGS PLC ORD 1P
0J4L,HERC HOLDINGS ORD SHS
GENF,GENFLOW BIOSCIENCES PLC ORD GBP
ANP,ANPARIO PLC ORD 23P
RBD,REABOLD RESOURCES PLC ORD 0.1P
IDS,INTERNATIONAL DISTRIBUTIONS SER
HAYD,HAYDALE GRAPHENE INDUSTRIES PLC
RKH,洛克霍普勘探
WEN,WENTWORTH RESOURCES PLC ORD NPV
GATC,GATTACA PLC ORD 1P
HEMO,HEMOGENYX PHARMACEUTICALS PLC O
PYX,PYX RESOURCES LIMITED ORD NPV (
AGL,ANGLE PLC ORD 10P
0NYT,MEM SC AP ORD SHS
WPS,W.A.G PAYMENT SOLUTIONS PLC ORD
GSCU,GREAT SOUTHERN COPPER PLC ORD G
EUA,EURASIA MINING PLC ORD 0.1P
PANR,PANTHEON RESOURCES PLC ORD 1P
GPH,GLOBAL PORTS HOLDING PLC ORD GB
CNIC,CENTRALNIC GROUP PLC ORD 0.1P
B90,B90 HOLDINGS PLC ORD NPV
SOYO,WISDOMTREE COMMODITY SECURITIES
PSDL,PHOENIX SPREE DEUTSCHLAND LIMIT
0J72,HUNTINGTON BANCSHARES ORD SHS
PHAR,PHAROS ENERGY PLC ORD 5P
0Q98,K.R.ENERGY ORD SHS
0XHS,LIBERTY GLOBAL ORD SHS CLASS C
MSMN,MOSMAN OIL AND GAS LIMITED ORD
BIRD,BLACKBIRD PLC ORD 0.8P
0K05,MEDIFAST ORD SHS
0U96,EVEREST RE GROUP ORD SHS
SAAS,MICROLISE GROUP PLC ORD GBP0.00
0QQF,MIKRON HOLDING ORD SHS
PET,PETREL RESOURCES PLC ORD EUR0.0
GRX,GREENX METALS LIMITED ORD NPV (
0QZF,WESTERN DIGITAL ORD SHS
SOLI,SOLID STATE PLC ORD 5P
CTPE,CT PRIVATE EQUITY TRUST PLC ORD
0HO6,BLACKROCK CAPITAL INVESTMENT OR
WBI,WOODBOIS LTD ORD 0.01P
MSI,MS INTERNATIONAL PLC ORD 10P
DAL,DALATA HOTEL GROUP PLC ORD EUR0
JARA,JPMORGAN GLOBAL CORE REAL ASSET
THG,THG PLC ORD GBP0.005
0G8X,IMMUNOVIA ORD SHS
ZTF,ZOTEFOAMS PLC ORD 5P
SOU,SOUND ENERGY PLC ORD 1P
0KPH,PROSHARES ULTRA TECHNOLOGY
TRD,TRIAD GROUP PLC ORD 1P
0RBL,BERENTZEN GRUPPE AG BERENTZEN G
0A6Y,XEROX HOLDINGS CORP XEROX HOLDI
DELT,DELTIC ENERGY PLC ORD 10P
RIGD,印度瑞来斯实业
IPO,IP GROUP PLC ORD 2P
KSPI,JOINT STOCK COMPANY KASPI.KZ GD
FLTR,FLUTTER ENTERTAINMENT PLC ORD E
BRES,BLENCOWE RESOURCES PLC ORD 0.5P
0L8Z,CONTEXTVISION AB CONTEXT VISION
TYM,TERTIARY MINERALS PLC ORD 0.01P
RIII,RIGHTS & ISSUES INVESTMENT TRUS
BOIL,BARON OIL PLC ORD 0.025P
LMS,LMS CAPITAL PLC ORD 10P
NTBR,NORTHERN BEAR PLC ORD 1P
0O6Z,NELLY GROUP AB NPV
0A54,NIU TECHNOLOGIES NIU TECHNOLOGI
TRX,TISSUE REGENIX GROUP PLC ORD 0.
CREO,CREO MEDICAL GROUP PLC ORD GBP0
LPLA,WISDOMTREE COMMODITY SECURITIES
SED,SAIETTA GROUP PLC ORD GBP0.0011
TUI,途易集团
AET,AFENTRA PLC ORD 10P
NGHT,NIGHTCAP PLC ORD 1P
OIL2,WISDOMTREE WISDOMTREE WTI CRUDE
EPIC,EDISTON PROPERTY INVESTMENT COM
ALT,ALTITUDE GROUP PLC ORD 0.4P
TPT,TOPPS TILES PLC ORD 3 1/3P
EST,EAST STAR RESOURCES PLC ORD GBP
BREE,BREEDON GROUP PLC ORD GBP1.40
0QLL,GOODYEAR TIRE & RUBBER CO GOODY
GNOG,GLOBAL X ETFS ICAV GLOBAL X GEN
