股票代码,股票简称,港股@最新价,港股@最新涨跌幅,港股@所属恒生行业(二级),港股@所属概念,港股@总市值[20240308],港股@流通市值[20240308],港股@所属恒生行业,market_code,code
2535.HK,泓基集团,0.590,136.000,建筑,次新股[HK],1180000000.0,1180000000.0,地产建筑业,177,HK2535
8267.HK,蓝港互动,1.000,66.667,软件服务,"人工智能[HK],区块链概念[HK],手机游戏[HK],网络游戏[HK]",367974964.0,367974964.0,资讯科技业,178,HK8267
1132.HK,橙天嘉禾,0.066,57.143,媒体及娱乐,影视娱乐[HK],184778157.3,184778157.3,非必需性消费,177,HK1132
8519.HK,佳民集团,0.495,54.688,旅游及消闲设施,餐饮连锁[HK],574091100.0,574091100.0,非必需性消费,178,HK8519
8362.HK,运兴泰集团,0.104,44.444,食物饮品,,145600000.0,145600000.0,必需性消费,178,HK8362
8098.HK,昌利控股,0.108,40.260,其他金融,财产管理[HK],237600000.0,237600000.0,金融业,178,HK8098
2540.HK,乐思集团,1.500,36.364,媒体及娱乐,次新股[HK],750000000.0,750000000.0,非必需性消费,177,HK2540
1613.HK,协同通信,0.650,34.021,软件服务,"5G[HK],卫星导航[HK],智能家居[HK]",195203216.0,195203216.0,资讯科技业,177,HK1613
8112.HK,基石金融,0.495,33.784,媒体及娱乐,文化传媒[HK],113562131.76,113562131.76,非必需性消费,178,HK8112
8507.HK,爱世纪集团,0.120,30.435,纺织及服饰,,48000000.0,48000000.0,非必需性消费,178,HK8507
0434.HK,博雅互动,1.730,30.075,软件服务,"手机游戏[HK],网络游戏[HK]",1227567000.73,1227567000.73,资讯科技业,177,HK0434
1442.HK,鹰辉物流,0.430,28.358,工用运输,,887520000.0,887520000.0,工业,177,HK1442
3683.HK,荣丰亿控股,0.275,27.907,工用运输,融资租赁[HK],261968716.075,261968716.075,工业,177,HK3683
1395.HK,强泰环保,0.074,27.586,公用事业,节能环保[HK],81940200.0,81940200.0,公用事业,177,HK1395
1871.HK,向中国际,0.370,27.586,支援服务,教育服务[HK],222000000.0,222000000.0,非必需性消费,177,HK1871
2442.HK,怡俊集团控股,2.150,26.471,建筑,次新股[HK],877200000.0,877200000.0,地产建筑业,177,HK2442
0755.HK,上海证大,0.015,25.000,地产,香港房地产[HK],223190272.725,223190272.725,地产建筑业,177,HK0755
1094.HK,承辉国际,0.560,24.444,软件服务,移动互联网[HK],276505979.68,276505979.68,资讯科技业,177,HK1094
0139.HK,中达集团控股,0.031,24.000,其他金融,集成电路[HK],519474764.291,519474764.291,金融业,177,HK0139
0348.HK,中国智能健康,0.063,23.529,药品及生物科技,"中医药[HK],健康产业[HK],玩具及消闲用品[HK]",48540292.668,48540292.668,医疗保健业,177,HK0348
0254.HK,国家联合资源,0.110,20.879,旅游及消闲设施,"文化传媒[HK],旅游及观光[HK]",482639124.99,482639124.99,非必需性消费,177,HK0254
1611.HK,新火科技控股,3.560,20.270,软件服务,"SaaS概念[HK],区块链概念[HK],数据中心[HK]",1658819967.4,1658819967.4,资讯科技业,177,HK1611
8496.HK,环球友饮智能,0.475,18.750,食物饮品,,114000000.0,114000000.0,必需性消费,178,HK8496
0080.HK,中国新经济投资,0.157,18.045,其他金融,"创投概念[HK],现代服务业[HK]",207192943.018,207192943.018,金融业,177,HK0080
1173.HK,威高国际,0.059,18.000,消费者主要零售商,品牌服饰[HK],148562078.706,148562078.706,必需性消费,177,HK1173
3330.HK,灵宝黄金,2.310,17.857,黄金及贵金属,"国企改革[HK],贸易战概念股[HK]",2810251879.05,1500539418.84,原材料业,177,HK3330
8020.HK,宏海控股集团,0.047,17.500,工用运输,财产管理[HK],122809088.651,122809088.651,工业,178,HK8020
0279.HK,裕承科金,0.027,17.391,其他金融,"现代服务业[HK],金融科技[HK]",516865856.76,516865856.76,金融业,177,HK0279
0312.HK,岁宝百货,0.041,17.143,专业零售,"百货业[HK],阿里巴巴概念[HK],零售股[HK]",102295000.0,102295000.0,非必需性消费,177,HK0312
1246.HK,保集健康,0.089,17.105,地产,"现代服务业[HK],香港房地产[HK]",120862000.0,120862000.0,地产建筑业,177,HK1246
0582.HK,神话世界,0.050,16.279,旅游及消闲设施,"博彩概念[HK],连锁酒店[HK]",211312615.5,211312615.5,非必需性消费,177,HK0582
2252.HK,微创机器人-B,15.220,16.006,医疗保健设备和服务,生物医药B类[HK],14589798107.82,14489353063.36,医疗保健业,177,HK2252
1913.HK,普拉达,63.900,14.825,纺织及服饰,"外国公司[HK],奢侈品股[HK]",163508853600.0,163508853600.0,非必需性消费,177,HK1913
6998.HK,嘉和生物-B,1.100,14.583,药品及生物科技,生物医药B类[HK],558642287.5,558642287.5,医疗保健业,177,HK6998
1253.HK,中国绿地博大绿泽,0.080,14.286,建筑,"土壤修复[HK],节能环保[HK]",465744796.56,465744796.56,地产建筑业,177,HK1253
1308.HK,海丰国际,14.000,14.007,工用运输,"物流[HK],高股息概念[HK]",37556727040.0,37556727040.0,工业,177,HK1308
6860.HK,指尖悦动,0.099,13.793,软件服务,"手机游戏[HK],新经济概念[HK]",189890712.0,189890712.0,资讯科技业,177,HK6860
1293.HK,广汇宝信,0.185,13.497,专业零售,"汽车零售[HK],现代服务业[HK],电子商务[HK]",524939614.365,524939614.365,非必需性消费,177,HK1293
0021.HK,大中华控股,0.059,13.462,地产,香港房地产[HK],234538770.954,234538770.954,地产建筑业,177,HK0021
1357.HK,美图公司,3.050,13.383,软件服务,"AIGC概念[HK],MSCI概念[HK],互联网出海[HK],人工智能[HK],区块链概念[HK],新经济[HK],新经济概念[HK],知名公司[HK],芯片替代[HK]",13657179242.3,13657179242.3,资讯科技业,177,HK1357
0936.HK,佳兆业资本,0.300,13.208,工业工程,"融资租赁[HK],重型机械股[HK]",318000000.0,318000000.0,工业,177,HK0936
8057.HK,麦迪森控股,0.095,13.095,综合企业,芯片替代[HK],59197086.565,59197086.565,综合企业,178,HK8057
1121.HK,金阳新能源,4.630,12.927,纺织及服饰,"品牌服饰[HK],钙钛矿电池[HK]",8406503985.04,8406503985.04,非必需性消费,177,HK1121
1182.HK,胜龙国际,0.350,12.903,黄金及贵金属,网络游戏[HK],122331848.45,122331848.45,原材料业,177,HK1182
8635.HK,连成科技集团,0.079,12.857,软件服务,,31600000.0,31600000.0,资讯科技业,178,HK8635
8379.HK,懒猪科技,0.150,12.782,资讯科技器材,,120000000.0,120000000.0,资讯科技业,178,HK8379
1647.HK,雄岸科技,0.080,12.676,建筑,区块链概念[HK],95603200.0,95603200.0,地产建筑业,177,HK1647
1102.HK,环能国际,0.116,12.621,建筑,天然气[HK],62917496.012,62917496.012,地产建筑业,177,HK1102
1581.HK,进升集团控股,0.125,12.613,建筑,,51875000.0,51875000.0,地产建筑业,177,HK1581
0239.HK,白花油,2.000,12.360,药品及生物科技,物业投资[HK],623280000.0,623280000.0,医疗保健业,177,HK0239
6955.HK,博安生物,12.040,12.313,药品及生物科技,生物医药B类[HK],6131708251.76,6131708251.76,医疗保健业,177,HK6955
9885.HK,药师帮,9.950,12.303,药品及生物科技,次新股[HK],6373041684.9,6373041684.9,医疗保健业,177,HK9885
6865.HK,福莱特玻璃,18.540,12.228,工业工程,"光伏太阳能[HK],碳中和[HK],绿色电力[HK]",64336386675.855,8343000000.0,工业,177,HK6865
3699.HK,光大永年,0.420,12.000,地产,财产管理[HK],185388000.0,185388000.0,地产建筑业,177,HK3699
1758.HK,博骏教育,0.197,11.932,支援服务,"K12教育[HK],教育服务[HK]",177918276.62,177918276.62,非必需性消费,177,HK1758
8293.HK,星亚控股,0.134,11.667,支援服务,,9648000.0,9648000.0,非必需性消费,178,HK8293
1351.HK,辉煌明天,0.221,11.616,媒体及娱乐,短视频[HK],132600000.0,132600000.0,非必需性消费,177,HK1351
6959.HK,长久股份,22.100,11.616,支援服务,次新股[HK],4467736000.0,4467736000.0,非必需性消费,177,HK6959
6978.HK,永泰生物-B,3.570,11.563,药品及生物科技,生物医药B类[HK],1837064880.0,1837064880.0,医疗保健业,177,HK6978
1490.HK,车市科技,0.137,11.382,媒体及娱乐,SaaS概念[HK],169140200.0,169140200.0,非必需性消费,177,HK1490
0915.HK,道和环球,0.089,11.250,工用支援,现代服务业[HK],134353750.389,134353750.389,工业,177,HK0915
8326.HK,同景新能源,0.149,11.194,工业工程,连锁酒店[HK],121882000.0,121882000.0,工业,178,HK8326
