证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,沪深指数,所属概念,异动值
300050.SZ,世纪鼎利,18.84,18.85,3.46,20.14,21.53,2.34,12.99,通信-通信服务-通信服务Ⅲ,通信基建,通信,科技,通信网络优化,国内领先的移动通信网络优化方案综合供应商,"深耕""通信及物联网、职业教育""双主营业务",,"5G,澳交所,华为,大数据,工业机器人,工业互联网,融资租赁,机器人,人力资源服务,物联网感知层,边缘计算,华为海思,物联网,苹果,在线教育,横琴新区,云计算,职业教育,通信基站",19.95804762952217
300191.SZ,潜能恒信,34.29,49.86,15.58,20.03,17.72,2.61,7.97,石油石化-油气开采及服务-油服工程,油服工程,石油,资源,石油勘探技术,油气勘探过程中地震数据处理解释服务的行业龙头,提供油气勘探过程中的地震数据处理解释服务的高新技术企业,,"天然气,油页岩,页岩气,地震,油气开采,可燃冰,俄乌冲突,油品升级",17.74701612583405
300243.SZ,瑞丰高材,22.41,29.42,11.75,20.02,21.96,4.56,22.28,基础化工-化工合成材料-其他塑料制品,塑料制品,合成材料,化工,PVC助剂,国内最大的PVC加工助剂和抗冲改性剂供应商之一,国内PVC加工助剂和除CPE之外的抗冲改性剂综合产能最高的企业之一,,"可降解塑料,新材料,PVC,供应链金融",38.29061110882056
301033.SZ,迈普医学,12.87,22.26,33.7,20.01,15.74,0.74,5.97,医药生物-医疗器械-医疗耗材,医疗耗材,医疗器械,生物医药,植入医疗器械,规模化出口能力的神经外科高性能植入医疗器械生产企业,公司在国内率先推进生物增材制造技术的产业化，实现可吸收硬脑（脊）膜补片等主要产品的开发,中证2000,"医疗器械,牙科医疗,国产替代,3D打印,医美",6.318266170347879
301091.SZ,深城交,73.18,154.07,49.38,20.0,20.7,22.39,33.49,建筑装饰-建筑装饰-工程咨询服务,工程设计,工程设计,建筑业,规划咨询、工程设计,公司在国内城市交通专业研究机构中处于领先地位,公司在国内城市交通专业研究机构中处于领先地位,中证2000,"新型城镇化,智能交通,多模态AI,腾讯,国企改革,华为,大数据,智慧停车,新基建,粤港澳大湾区,地方国企改革,信创,广东国企改革,数据要素,车联网,智慧城市,国资云,联想,深圳国企改革,雄安新区,无人驾驶,智慧政务,水利,智慧灯杆,时空大数据,低空经济,数据确权,数字孪生,百度",136.52281831614226
300960.SZ,通业科技,17.52,19.35,18.9,20.0,13.78,2.28,13.37,交运设备-非汽车交运-轨交设备,高铁,铁路,交通运输,机车车辆电气产品,公司为行业前列的轨道交通配套电气装备制造商,公司为行业前列的轨道交通配套电气装备制造商,,"轨道交通,高铁,充电桩,储能,超级电容",18.019391740374
300875.SZ,捷强装备,19.11,28.93,28.98,20.0,21.12,2.74,15.37,国防军工-国防军工-地面兵装,陆军装备,军工,公共事业,液压动力系统,国内军方核化生洗消车辆液压动力系统核心供应商,荣获国家科学技术进步奖二等奖、中国人民解放军科技进步奖二等奖,中证2000,"高端装备,军工,低空经济,体外诊断,核电,核污染防治,机器人,专精特新,无人机",22.7296435840392
300845.SZ,捷安高科,11.07,15.76,14.1,20.0,9.11,0.3,2.75,计算机-计算机设备-计算机设备Ⅲ,交通管理,计算机,科技,仿真实训系统,国际领先的系统虚拟仿真培训解决方案服务商,轨道交通仿真实训系统行业的主要供应商之一,,"国产软件,军工,轨道交通,虚拟现实,数字孪生,人工智能,一带一路,职业教育",2.661766282910227
300505.SZ,川金诺,30.52,38.59,14.04,20.0,21.11,5.09,17.64,基础化工-化学制品-磷肥及磷化工,化肥,化学制品,化工,磷酸氢钙,国内领先的湿法磷化工企业,“最具行业竞争优势”的磷酸盐生产企业，专业从事磷化工产业,中证2000,"化肥,正极材料,锂电池,磷化工",37.937633717307634
300164.SZ,通源石油,26.87,29.43,4.98,20.0,15.66,6.41,24.66,石油石化-油气开采及服务-油服工程,油服工程,石油,资源,油田增产技术,我国复合射孔领域的领军企业,公司美国控股子公司TWG是北美射孔领域龙头企,中证2000,"天然气,碳中和,页岩气,人民币贬值受益,油气开采,俄乌冲突,油气装备,一带一路,年报预增",45.875404578991265
301077.SZ,星华新材,8.72,24.42,20.35,19.99,20.81,2.97,35.51,基础化工-化学制品-其他化学制品,化学制品,化学制品,化工,反光布,公司是国内反光布细分行业的领军企业,国内反光布细分领域中的领先企业,,"储能,专精特新,露营经济",29.548496684595502
300989.SZ,蕾奥规划,8.08,32.48,19.94,19.98,22.2,2.26,31.24,建筑装饰-建筑装饰-工程咨询服务,工程设计,工程设计,建筑业,规划设计,公司的规划设计业务占比远高于同行业可比公司,致力于提供精准有效并兼具操作性的建设规划解决方案的全国性规划设计咨询机构,中证2000,"新型城镇化,空间计算,旅游,乡村振兴,人工智能,一带一路,横琴新区,粤港澳大湾区,智慧城市,海绵城市",24.924012107974292
300719.SZ,安达维尔,33.98,48.29,18.92,19.97,17.12,10.9,34.17,国防军工-国防军工-航空装备,飞机,军工,公共事业,航空机载设备维修,公司为国内军用直升机抗坠毁座椅核心供应商,有潜力成为国内航空工业领域重要的一级供应商,中证2000,"高端装备,航空航天,军工,国产软件,成飞,信创,碳纤维,虚拟现实,军民融合,通用航空,大飞机",73.9765137655878
300237.SZ,美晨生态,20.14,20.19,1.4,19.66,14.53,1.66,8.32,交运设备-汽车零部件-汽车零部件Ⅲ,园林景观,家居装修,建筑业,非轮胎橡胶、园林工程,橡塑管领域行业十强、城市园林绿化标杆企业,市政园林业务与地产景观业务协调发展,中证2000,"新型城镇化,军工,国企改革,乡村振兴,橡胶,新能源汽车,固废处理,工业大麻,长安汽车,园林开发,比亚迪,垃圾分类,PPP,土壤修复,节能环保,美丽中国,氢能源,农业种植,地方国企改革,小鹏汽车,特色小镇,北汽新能源,污水处理,一元股,汽车热管理,旅游",12.416865257711882
300839.SZ,博汇股份,20.49,20.94,8.53,16.53,17.76,1.71,8.77,石油石化-石油加工贸易-石油加工,石油化工,石油,资源,石油加工产品,全球高端特种油品原料供应商,全球高端特种油品原料供应商,中证2000,"氢能源,锂电原料,新材料,专精特新,智能制造",11.188468415385927
301212.SZ,联盛化学,5.72,22.87,21.18,15.49,22.41,0.91,16.18,基础化工-化学制品-其他化学制品,化学制品,化学制品,化工,医/农药中间体,特种精细化工领域的高新技术企业,国内仅有的两家ABL(α-乙酰基-γ-丁内酯)产量达到年产5000吨以上的生产企业之一,中证2000,"可降解塑料,锂电池,共同富裕示范区,人民币贬值受益,草地贪夜蛾防治,抗艾滋病,外贸受益,专精特新,消毒剂",11.208288246322123
300107.SZ,建新股份,33.77,55.08,9.91,14.97,14.62,10.36,32.31,基础化工-化学制品-纺织化学用品,纺织原料,纺织,可选消费,苯系中间体,二五酸和间羟基，两种产品市场占有率全球第一,二五酸和间羟基，两种产品市场占有率全球第一,,"染料,雄安新区,航空航天,人民币贬值受益",48.64928523341544
301505.SZ,苏州规划,6.38,26.93,30.6,13.5,22.85,2.44,41.16,建筑装饰-建筑装饰-工程咨询服务,工程设计,工程设计,建筑业,规划设计,在江苏省内特别是苏南地区具有很高的品牌知名度,在江苏省内特别是苏南地区具有很高的品牌知名度,中证2000,"新型城镇化,水利,空间计算,污水处理,智慧城市",29.838791026728316
300084.SZ,海默科技,20.91,24.97,6.34,13.21,15.54,1.75,8.52,机械设备-专用设备-能源及重型设备,油气设备,机械设备,机械,油气开采设备,油田设备制造业务提供商,国内油田多相计量领域领先企业,,"天然气,高端装备,军工,油页岩,页岩气,国产替代,兰新白试验区,油气开采,可燃冰,俄乌冲突,核电,年报预增",9.598648926164605
300922.SZ,天秦装备,15.1,23.44,14.95,13.0,20.71,2.93,20.55,国防军工-国防军工-地面兵装,陆军装备,军工,公共事业,防护装置,国内防务装备防护领域最具竞争力的企业之一,军品防护领域的核心供应商,中证2000,"高端装备,军工,专精特新",25.103646404654086
300696.SZ,爱乐达,25.32,41.83,14.27,12.81,19.6,2.33,9.43,国防军工-国防军工-航空装备,飞机,军工,公共事业,飞机零部件精加工,航空零件加工龙头，参与了30余型号、上万项产品的研产,曾获获得中航工业下属飞机制造单位“优秀供应商”荣誉,中证1000,"军工,贸易战受益股,成飞,军民融合,大飞机,无人机",16.46977819746781
300778.SZ,新城市,23.82,23.92,11.7,12.72,18.3,2.19,9.71,建筑装饰-建筑装饰-工程咨询服务,工程设计,工程设计,建筑业,城乡规划设计,专业规划设计综合服务提供商,主营提供城乡规划、工程设计、工程咨询综合服务，与华为有合作,中证2000,"新型城镇化,水利,乡村振兴,华为,地下管网,智慧停车,换电,垃圾分类,粤港澳大湾区,智慧城市,海绵城市",14.379645811579543
300437.SZ,清水源,17.23,25.1,9.69,11.76,19.84,1.37,8.1,基础化工-化学制品-其他化学制品,水务,环保,公共事业,水处理剂,国内最大的水处理剂专业生产、研发、服务的厂家之一,水处理剂厂家，拥有三氯化磷生产、销售许可资质，三氯化磷设计产能16万吨,中证2000,"新型城镇化,PPP,碳中和,三氯化磷,土壤修复,锂电池,智能制造,磷化工,工业互联网,污水处理,消毒剂,六氟磷酸锂",10.76065113453557
300483.SZ,首华燃气,23.93,24.57,9.15,11.59,15.24,1.36,5.75,石油石化-油气开采及服务-油气开采,燃气,石油,资源,天然气开采及销售,山西省天然气产业中迅速成长公司之一,中国园艺用品业内第一个国际品牌,中证2000,"天然气,美丽中国,露营经济,室外经济,俄乌冲突",7.051354686661594
831526.BJ,凯华材料,5.06,16.96,20.51,11.29,21.65,1.79,38.87,电子-电子化学品-电子化学品Ⅲ,电子材料,消费电子,科技,元器件用环氧粉末,电子元器件用环氧粉末包封料市占率位居国内前列,国家级专精特新“小巨人”，电子元器件用环氧粉末包封料市占率国内居前,,芯片,21.88336768415907
688700.SH,东威科技,49.82,77.96,33.95,11.09,16.1,2.42,5.13,机械设备-专用设备-其他专用设备,设备,半导体,科技,PCB电镀设备,产品已覆盖国内多数PCB制造商,公司自主创新的垂直连续的电镀方法已经成为目前国产PCB专用电镀设备中的主流,中证1000,"PCB,PET铜箔,专精特新,芯片,光伏",11.521431503337308
300779.SZ,惠城环保,57.74,75.82,54.37,10.98,13.45,3.25,5.83,环保-环保-固废治理,垃圾处理,环保,公共事业,资源综合利用产品,国内领先以资源化综合利用处置方式进行危废处置的企业,专业从事为石油化工行业提供危险废物处理处置服务,中证2000,"年报预增,稀土永磁,固废处理",11.909827831463613
300301.SZ,*ST长方,9.24,9.24,1.17,10.38,10.38,0.11,1.27,电子-光学光电子-LED,照明设备,消费电子,科技,移动照明LED灯具,LED封装和照明领域知名企业,我国LED照明光源器件封装领域的龙头企业之一,,"PPP,元器件,储能,节能照明,一元股",0.43765601158693174
002278.SZ,神开股份,15.59,16.63,4.57,10.12,10.36,0.57,3.74,机械设备-专用设备-能源及重型设备,油气设备,机械设备,机械,钻采设备,国内石油化工装备制造业的骨干企业之一,我国石油化工装备制造业的骨干企业之一,,"中俄贸易,页岩气,一带一路,专精特新,海洋经济,可燃冰,俄乌冲突",1.9755166099469146
002246.SZ,北化股份,45.68,45.68,8.32,10.05,10.85,1.95,4.44,基础化工-化学制品-民爆用品,民爆,建筑材料,建筑业,硝化棉,全球生产规模最大的硝化棉生产企业,兵工集团旗下企业，拥有硝化棉、特种工业泵、防化器材三大业务,中证2000,"军工,国企改革,军民融合,核污染防治,证金持股,垃圾分类,TDI",5.649272700071769
601068.SH,中铝国际,126.19,145.88,4.93,10.04,0.0,0.86,0.68,建筑装饰-建筑装饰-专业工程,建筑工程,基建,建筑业,有色金属领域工程,在有色金属领域工程设计以及工程承包业务位于行业前列,中国铝业集团旗下，中国有色金属行业领先的技术、工程服务设备提供商,中证1000,"PPP,国企改革,央企国企改革,盐湖提锂,一带一路",1.8630104124031024
001299.SZ,美能能源,6.46,23.64,12.6,10.04,11.18,0.48,7.64,公用事业-燃气-燃气Ⅲ,燃气,石油,资源,燃气,陕西省排名前列的民营股份制城市燃气企业,城市燃气综合运营服务商,中证2000,"天然气,西安自贸区,村镇银行,陕西自贸区,西气东输,天然气管道,LNG加气站",2.327997053274005
