isin,euronext_code,证券名称,degiro_symbol,证券代码,category,currency,exchangeId,exchange_degiro,exchange_mic_code,exchange_name,market,isShortable,feedQuality,feedQualitySecondary,icb_industry,full_symbol,isin_tv,logoid,type,Value.Traded,market_cap_basic,fundamental_currency_code,sector,industry,is_primary,exchange,country,currency_id,forex_rate,总市值,成交额,换手率,地区,is_primary_listing,primary_symbol,ticker_title,code,correct_industry,名称翻译,en_name,dr_name,一级行业,二级行业,三级行业,市场,异动值,exchange_code,trade_currency,最新价,涨跌幅,last_traded_at,close_price,trading_date
FR0000045072,FR0000045072-BGEM,(农业信贷银行),1ACA,1ACA,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Banks,MIL:1ACA,FR0000045072,credit-agricole,stock,18727.8,44407269897.0178,USD,Finance,Regional Banks,False,MIL,France,EUR,1.07119,444.072698970178,0.00020061032082,0.0,欧洲,False,EURONEXT:ACA,CREDIT AGRICOLE,,,,Credit Agricole SA,农业信贷银行,金融,银行,地区银行,意大利,2.1396587378391744e-05,,,,,,,
NL0011794037,NL0011794037-BGEM,Koninklijke Ahold Delhaize,1AD,1AD,A,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Food Retailers and Wholesalers,,,,,,,,,,,,,,,,,,,,,,,,,Koninklijke Ahold Delhaize,,,,,,,,,,,,,
FR0000031122,FR0000031122-BGEM,Air France KLM SA,1AF,1AF,B,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Airlines,MIL:1AF,FR001400J770,air-france-klm,stock,77863.5,2718794948.9735,USD,Transportation,Airlines,False,MIL,France,EUR,1.07119,27.187949489734997,0.00083406602565,0.0,欧洲,False,EURONEXT:AF,AIR FRANCE -KLM,,,,Air France KLM SA,,制造业,运输,航空公司,意大利,0.0002605325172046,,,,,,,
NL0000303709,NL0000303709-BGEM,Aegon,1AGN,1AGN,B,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Life Insurance,,,,,,,,,,,,,,,,,,,,,,,,,Aegon,,,,,,,,,,,,,
BE0974264930,BE0974264930-BGEM,Ageas SA,1AGS,1AGS,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Life Insurance,MIL:1AGS,BE0974264930,ageas,stock,34345.22,8573342555.9949,USD,Finance,Multi-Line Insurance,False,MIL,Belgium,EUR,1.07119,85.733425559949,0.000367902562118,0.0,欧洲,False,EURONEXT:AGS,AGEAS,,,,Ageas SA,,金融,保险,多险种保险,意大利,2.2555627148881557e-06,,,,,,,
NL0000235190,NL0000235190-BGEM,(空客),1AIR,1AIR,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Aerospace,MIL:1AIR,NL0000235190,airbus,stock,75514.68,134590626812.95148,USD,Electronic Technology,Aerospace & Defense,False,MIL,France,EUR,1.07119,1345.906268129515,0.0008089057006919,0.0,欧洲,False,EURONEXT:AIR,Airbus,,,,Airbus SE,空客,制造业,机械,航空航天与国防,意大利,3.6897905866219096e-06,,,,,,,
NL0010273215,NL0010273215-BGEM,(ASML),1ASML,1ASML,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Production Technology Equipment,MIL:1ASML,NL0010273215,asml,stock,155191.4,351840981787.2879,USD,Electronic Technology,Semiconductors,False,MIL,Netherlands,EUR,1.07119,3518.409817872879,0.00166239475766,0.0,欧洲,False,EURONEXT:ASML,ASML Holding,,,,ASML Holding,ASML,科技,电子,半导体,意大利,0.0003068608704724,,,,,,,
DE000BASF111,DE000BASF111-BGEM,(巴斯夫),1BAS,1BAS,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Chemicals: Diversified,MIL:1BAS,DE000BASF111,basf,stock,370273.5,48818265201.5091,USD,Process Industries,Chemicals: Major Diversified,False,MIL,Germany,EUR,1.07119,488.18265201509104,0.00396633270465,0.0,欧洲,False,XETR:BAS,BASF SE NA O.N.,,,,BASF SE,巴斯夫,制造业,化工,化学原料,意大利,0.0031453325729013,,,,,,,
DE0005190003,DE0005190003-BGEM,(BMW),1BMW,1BMW,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Automobiles,MIL:1BMW,DE0005190003,bmw,stock,52395.75,71545305072.4476,USD,Consumer Durables,Motor Vehicles,False,MIL,Germany,EUR,1.07119,715.453050724476,0.000561258034425,0.0,欧洲,False,XETR:BMW,BMW,,,,Bayerische Motoren Werke AG,BMW,制造业,汽车,汽车整车,意大利,2.050332405479588e-05,,,,,,,
US19260Q1076,US19260Q1076-BGEM,(Coinbase Global),1COIN,1COIN,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,,MIL:1COIN,US19260Q1076,coinbase,stock,379317.6,54175153803.0,USD,Finance,Investment Banks/Brokers,False,MIL,United States,EUR,1.07119,541.75153803,0.00406321219944,0.0,欧洲,False,NASDAQ:COIN,Coinbase Global,,,,COINBASE GLOBAL,Coinbase Global,金融,资产管理,投资银行,意大利,9.360792179904712e-07,,,,,,,
