stock-id,name,trading-status,industry,business,child-business,market-cap,update-date,一级行业,二级行业,三级行业,证券名称,证券代码,总市值,asset_subtype,sym,mktcap,ls,am,ric,product_subtype,am_u,yld,pc,pe,nc,ccy,nm,mktcap_u,suspend,涨跌幅,最新价,成交额,股票代码,所属概念,异动值
00001,長和,N,綜合企業,綜合企業,綜合企業,147073708800.0,2024-04-26T16:02:11,综合企业,综合企业,综合企业,长和,00001.HK,1470.7,ODSH,1,147.83,38.600,240.5,0001.HK,,1000000.0,6.56,+1.05,6.29,+0.400,HKD,長和,B,,1.05,38.600,2.4,0001.HK,"小米,知名公司,长和系,香港",0.13605660084820578
00002,中電控股,N,公用事業,公用事業,傳統電力,158029483153.5,2024-04-26T16:02:11,公用事业,公用事业,传统电力,中电控股,00002.HK,1580.3,ODSH,2,158.78,62.850,109.08,0002.HK,,1000000.0,4.93,+0.32,23.86,+0.200,HKD,中電控股,B,,0.32,62.850,1.1,0002.HK,天然气,0.008006449996429143
00003,香港中華煤氣,N,公用事業,公用事業,燃氣,111399424485.06,2024-04-26T16:02:11,公用事业,公用事业,燃气,香港中华煤气,00003.HK,1114.0,ODSH,3,111.95,6.000,107.16,0003.HK,,1000000.0,5.83,-0.33,18.44,-0.020,HKD,香港中華煤氣,B,,-0.33,6.000,1.1,0003.HK,"天然气,宁德时代,生物质能发电,节能环保",0.008833330896694991
00004,九龍倉集團,N,地產建築,地產,地產發展商,77011888640.4,2024-04-26T16:02:11,地产建筑,地产,地产发展商,九龙仓集团,00004.HK,770.1,ODSH,4,76.85,25.150,25.2,0004.HK,,1000000.0,1.59,+0.20,81.34,+0.050,HKD,九龍倉集團,B,,0.2,25.150,0.3,0004.HK,"知名公司,租赁,香港房地产,香港",0.001006469135590214
00005,滙豐控股,N,金融,銀行,銀行,1224661704482.7,2024-04-26T16:02:11,金融,银行,银行,汇丰控股,00005.HK,12246.6,ODSH,5,"1,224.25",64.850,1.47,0005.HK,,1000000000.0,7.36,+0.15,7.23,+0.100,HKD,匯豐控股,B,,0.15,64.850,14.7,0005.HK,"知名公司,财产管理,香港,香港银行股",0.021088812850139742
00006,電能實業,N,公用事業,公用事業,傳統電力,96219397703.1,2024-04-26T16:02:11,公用事业,公用事业,传统电力,电能实业,00006.HK,962.2,ODSH,6,96.85,45.450,81.51,0006.HK,,1000000.0,6.20,0.00,16.14,0.000,HKD,電能實業,B,,0.0,45.450,0.8,0006.HK,"知名公司,长和系",0.0
00007,智富資源投資,S,非必需性消費,家庭電器及用品,消費電子產品,101124502.304,2024-04-26T16:02:09,非必需性消费,家庭电器及用品,消费电子产品,智富资源投资,00007.HK,1.0,ODSH,7,101.12,0.032,,0007.HK,,,,0.00,0.34,0.000,HKD,智富資源投資,M,True,0.0,0.032,0.0,0007.HK,天然气,0.0
00008,電訊盈科,N,電訊,電訊,電訊服務,30494174701.06,2024-04-26T16:02:11,科技,电讯,电讯服务,电讯盈科,00008.HK,304.9,ODSH,8,30.49,3.940,11.0,0008.HK,,1000000.0,9.71,+0.25,,+0.010,HKD,電訊盈科,B,,0.25,3.940,0.1,0008.HK,"数字经济,新经济,电信股,移动互联网,长和系",0.0005771218315968526
00009,金奧國際,S,地產建築,地產,地產發展商,46394278.177,2024-04-26T16:02:11,地产建筑,地产,地产发展商,金奥国际,00009.HK,0.5,ODSH,9,46.39,0.013,,0009.HK,,,,0.00,,0.000,HKD,金奧國際,M,True,0.0,0.013,0.0,0009.HK,"文化传媒,香港房地产",0.0
00010,恒隆集團,N,地產建築,地產,地產投資,12526887826.4,2024-04-26T16:02:11,地产建筑,地产,地产投资,恒隆集团,00010.HK,125.3,ODSH,10,12.51,9.190,12.81,0010.HK,,1000000.0,9.36,+0.55,4.45,+0.050,HKD,恒隆集團,B,,0.55,9.190,0.1,0010.HK,,0.002721729598316272
