证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,market,一级行业,二级行业,三级行业,sector,industry,en_name,异动值
XLM,XLMEDIA,33.87,0.3387,12.9,106.4,6.4,0.0322,10.58,uk,消费,商业服务,广告营销,Commercial Services,Advertising/Marketing Services,XLMEDIA,6.006068574987456
ORCP,ORACLE POWER,1.99,0.0199,0.042,40.0,30.0,0.0004,2.67,uk,资源,能源,煤炭,Energy Minerals,Coal,ORACLE POWER,0.028924888635675744
GENI,GENINCODE,8.49,0.0849,4.8,37.14,2.86,0.0014000000000000002,1.67,uk,科技,IT技术,软件开发,Technology Services,Packaged Software,GENINCODE,0.08710275922547638
GDR,GENEDRIVE,6.02,0.0602,4.35,28.89,28.89,0.0009,1.52,uk,医药,医疗,医疗器械,Health Technology,Medical Specialties,GENEDRIVE,0.04187111605036729
POLN,POLLEN STREET,385.26,3.8526,600.0,12.36,11.24,0.011000000000000001,0.28,uk,金融,资产管理,投资经理,Finance,Investment Managers,POLLEN STREET,0.07100213140966817
AAU,ARIANA RESOURCES,26.29,0.26289999999999997,2.3,12.2,12.2,0.0005,0.18,uk,资源,矿产,贵金属,Non-Energy Minerals,Precious Metals,ARIANA RESOURCES,0.006635522131686203
HZM,HORIZONTE MINERALS,9.78,0.0978,3.625,11.54,11.54,0.0007000000000000001,0.72,uk,资源,矿产,其他金属,Non-Energy Minerals,Other Metals/Minerals,HORIZONTE MINERALS,0.009743088960560071
CORO,CORO ENERGY,5.88,0.0588,0.205,10.81,10.81,0.0005,0.78,uk,资源,能源,油气生产,Energy Minerals,Oil & Gas Production,CORO ENERGY,0.006604260970809065
CTG,CHRISTIE,19.45,0.1945,77.0,10.0,10.0,0.0003,0.14,uk,消费,商业服务,综合商业,Commercial Services,Miscellaneous Commercial Services,CHRISTIE,0.0032087074412012204
STAR,STAR ENERGY,10.75,0.1075,8.355,9.93,7.96,0.001,1.01,uk,资源,能源,油气生产,Energy Minerals,Oil & Gas Production,STAR ENERGY,0.011323613296359442
PRIM,PRIMORUS INVESTMENTS,8.04,0.08039999999999999,5.75,9.52,9.52,0.0025,3.08,uk,资源,矿产,贵金属,Non-Energy Minerals,Precious Metals,PRIMORUS INVESTMENTS,0.027382585945150032
XPF,XP FACTORY,25.31,0.2531,14.5,9.43,9.43,0.0004,0.17,uk,消费,可选消费,电影娱乐,Consumer Services,Movies/Entertainment,XP FACTORY,0.0038027570025566592
EKF,EKF DIAGNOSTICS,117.06,1.1706,25.8,9.32,5.93,0.0013,0.12,uk,医药,医疗,医疗器械,Health Technology,Medical Specialties,EKF DIAGNOSTICS,0.008401430867655248
CHAR,CHARIOT LIMITED,95.22,0.9521999999999999,8.9,9.07,8.7,0.0064,0.68,uk,资源,能源,油气生产,Energy Minerals,Oil & Gas Production,CHARIOT LIMITED,0.04242276284139605
III,3I集团,26748.05,267.4805,2748.0,8.7,7.71,0.7625,0.29,uk,金融,资产管理,投资经理,Finance,Investment Managers,3I,1.2102094304015518
INHC,INDUCTION HEALTHCARE,5.82,0.0582,16.3,8.67,0.0,0.0001,0.11,uk,科技,IT技术,软件开发,Technology Services,Packaged Software,INDUCTION HEALTHCARE,0.0009857868573331814
HOC,HOCHSCHILD MINING,641.53,6.415299999999999,124.7,8.06,6.85,0.0329,0.52,uk,资源,矿产,贵金属,Non-Energy Minerals,Precious Metals,HOCHSCHILD MINING,0.10344653293993715
RSG,RESOLUTE MINING LIMITED,229.62,2.2962000000000002,20.8,8.05,6.23,0.0013,0.06,uk,资源,矿产,贵金属,Non-Energy Minerals,Precious Metals,RESOLUTE MINING,0.005589576250937353
PYC,PHYSIOMICS,1.32,0.0132,1.35,8.0,8.0,0.0002,1.33,uk,消费,商业服务,综合商业,Commercial Services,Miscellaneous Commercial Services,PHYSIOMICS,0.0018456870914517432
WIL,WILMINGTON,318.87,3.1887,356.0,7.88,7.27,0.0015,0.05,uk,消费,可选消费,出版：书籍/杂志,Consumer Services,Publishing: Books/Magazines,WILMINGTON,0.005649394366154832
KAV,KAVANGO RESOURCES,7.27,0.0727,0.86,7.5,0.0,0.0002,0.28,uk,资源,矿产,贵金属,Non-Energy Minerals,Precious Metals,KAVANGO RESOURCES,0.0016015248406187745
MYX,MYCELX TECHNOLOGIES CORPORATION,10.0,0.1,51.5,7.29,7.29,0.0002,0.22,uk,制造业,机械,机械加工设备,Producer Manufacturing,Industrial Machinery,MYCELX TECHNOLOGIES CORP COM SHS USD0.025 (DI),0.0015057449867153425
CVSG,CVS,738.64,7.3864,1030.0,7.29,8.85,0.12480000000000001,1.76,uk,医药,健康服务,健康服务,Health Services,Hospital/Nursing Management,CVS,0.4273272638261096
DIA,DIALIGHT,74.08,0.7408,186.0,7.2,0.58,0.0001,0.02,uk,制造业,机械,电力设备,Producer Manufacturing,Electrical Products,DIALIGHT,0.0005216685028868067
