证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,明星股,高分红,中概股,中概种类,SEC摘牌,SPAC,空壳公司,所属概念,三级行业,二级行业,一级行业,上市板块,异动值
KAVL,Kaival Brands Innovations Group,0.08,0.08,2.91,118.8,125.56,2.97,3423.7,,,,,,,,,贸易公司与经销商,资本品,工业,Nasdaq Capital Market,808.8575714029364
YTEN,Yield10 Bioscience,0.05,0.05,0.43,79.17,137.5,0.64,972.78,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Capital Market,199.29664646820135
CURI,CuriosityStream,0.51,0.51,0.96,65.52,55.17,0.31,63.23,,,,,,,,,电影和娱乐,媒体娱乐,科技,Nasdaq Capital Market,29.562710635751998
FFIE,法拉第未来,0.06,0.06,0.14,55.56,66.67,0.13,239.51,,,,,,,,"新能源汽车,美股",汽车制造商,汽车,可选消费,Nasdaq Capital Market,16.89408900317077
LU,陆金所控股,28.14,28.14,4.91,45.7,12.46,2.59,9.53,,,热门中概股,,,,,,其它综合性金融服务,综合金融,金融,主板,51.45102345213817
AMTX,Aemetis,2.01,2.01,5.1,39.73,31.51,1.18,62.15,,,,,,,,生物质能,煤与消费用燃料,石油,能源,Nasdaq Global Market,41.0509097293813
MGRM,Monogram Orthopaedics,0.72,0.72,2.28,36.53,36.53,0.01,1.1,,,,,,,,,医疗保健设备,医疗保健设备与服务,医疗保健,Nasdaq Capital Market,0.42742209482211324
RETO,瑞图生态,0.07,0.07,1.87,35.51,50.72,0.01,12.57,,,中概股,回港中概股,,,,,建筑材料,建筑材料,原材料,Nasdaq Capital Market,0.9240967558303379
CZOO,Cazoo Group,0.23,0.23,4.7,34.67,50.43,0.41,176.41,,,,,,,,,汽车零售,零售业,可选消费,主板,33.27982805528273
SWVL,Swvl,0.98,0.98,14.5,32.42,32.97,0.05,5.86,,,,,,,,,应用软件,软件,科技,Nasdaq Capital Market,1.7246181822739963
LASE,Laser Photonics,0.19,0.19,2.03,31.82,33.12,0.18,106.84,,,,,,,,,电气部件与设备,资本品,工业,Nasdaq Capital Market,8.951641409627168
ARBE,Arbe Robotics,1.94,1.94,2.5,29.53,31.61,0.02,0.92,,,,,,,,机器人,信息科技咨询与其它服务,信息技术服务,科技,Nasdaq Capital Market,0.530128781586293
XFOR,X4制药,2.19,2.19,1.31,28.43,28.43,0.16,7.91,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Market,3.575136262784822
ASST,Asset Entities,0.09,0.09,0.65,27.45,47.06,0.19,193.35,,,,,,,,,应用软件,软件,科技,Nasdaq Capital Market,15.748482825858062
SLNA,Selina Hospitality Plc,0.31,0.31,0.28,27.27,31.82,0.01,4.03,,,,,,,,,休闲设施,酒店餐饮,可选消费,Nasdaq Capital Market,0.4373693080875074
GOEV,Canoo,2.47,2.47,4.34,27.27,32.55,2.02,81.47,,,,,,,,,汽车制造商,汽车,可选消费,Nasdaq Capital Market,51.42937806612834
NSYS,Nortech Systems,0.37,0.37,13.4,25.35,7.95,0.01,2.7,,,,,,,,电子元件,电子设备和仪器,计算机设备,科技,Nasdaq Capital Market,0.3179193380696907
VRM,Vroom,0.25,0.25,13.72,23.49,25.83,0.04,18.09,,,,,,,,,汽车零售,零售业,可选消费,Nasdaq Global Select Market,1.3995938784792434
NVFY,诺华家具,0.03,0.03,1.85,21.71,24.34,0.04,154.13,,,,,SEC确定摘牌名单,,,"区块链,",家庭装饰零售,零售业,可选消费,Nasdaq Global Market,1.5429916289170862
GES,Guess,16.82,16.82,31.32,20.69,6.4,2.22,13.1,,,,,,,,,服装零售,零售业,可选消费,主板,18.500249225974017
MTC,海川证券,4.58,4.58,2.3,20.42,31.94,0.01,0.32,,,中概股,回港中概股,,,,,应用软件,软件,科技,Nasdaq Capital Market,0.20523711637460082
NOVA,Sunnova Energy International In,6.96,6.96,5.68,19.33,22.69,1.39,20.65,,,,,,,,,独立电力生产商与能源贸易商,电力,公用事业,主板,16.433411539278435
NXTC,NextCure,0.47,0.47,1.68,19.15,30.5,0.04,8.9,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Market,1.5214992429289136
TCON,TRACON Pharmaceuticals,0.2,0.2,0.44,18.92,24.32,0.03,13.72,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Market,1.0066779738095522
CDIO,Cardio Diagnostics,0.3,0.3,1.47,18.55,29.84,0.01,4.36,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Capital Market,0.4061706367442185
SGMO,Sangamo Therapeutics,1.74,1.74,0.97,18.29,17.07,0.02,1.42,,,,,,,,基因编辑,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.27525055522510966
MAIA,MAIA Biotechnology,0.39,0.39,1.94,17.58,18.79,0.01,2.56,,,,,,,,,制药,制药,医疗保健,主板,0.21517596775427977
NN,NextNav,6.29,6.29,5.66,17.43,17.63,0.11,1.85,,,,,,,,,电子设备和仪器,计算机设备,科技,Nasdaq Capital Market,0.9710783922279487
VLD,Velo3D,1.42,1.42,0.55,17.02,25.53,0.06,4.77,,,,,,,,3D打印,工业机械,资本品,工业,主板,1.343282901059615
NUVB,Nuvation Bio,4.91,4.91,2.24,16.67,16.15,0.04,0.79,,,,,,,,,制药,制药,医疗保健,主板,0.35347867809218947
STEM,Stem,3.55,3.55,2.25,16.58,16.58,0.23,6.7,,,,,,,,,电气部件与设备,资本品,工业,主板,2.228280094210549
BDTX,Black Diamond Therapeutics,2.8,2.8,5.41,16.34,18.06,0.06,2.14,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.6986949175564537
SXTC,苏轩堂,0.02,0.02,1.96,15.98,18.34,0.01,77.17,,,中概股,回港中概股,,,,,制药,制药,医疗保健,Nasdaq Capital Market,0.2719270982291802
CIO,City Office REIT,2.01,2.01,5.0,15.47,16.4,0.04,2.01,,,,,,,,,办公REIT,股权房地产投资信托 (REITs),房地产,主板,0.45724148862373487
DTST,Data Storage,0.52,0.52,7.54,15.11,19.54,0.03,5.78,,,,,,,,,数据处理和外包服务,信息技术服务,科技,Nasdaq Capital Market,0.6358056636490028
CMAX,CareMax,0.24,0.24,6.27,14.63,19.2,0.01,4.51,,,,,,,,,保健护理服务,医疗保健设备与服务,医疗保健,Nasdaq Global Select Market,0.2419711550311577
MU,美光科技,1216.44,1216.44,109.85,14.13,4.9,99.26,8.08,明星股,,,,,,,"人工智能,半导体,机器人,苹果股,芯片,科技股,移动互联网,华为海外供应商,信息技术",半导体产品,半导体,科技,Nasdaq Global Select Market,242.75878810429154
XELA,Exela Technologies,0.18,0.18,2.75,14.11,21.58,0.01,7.83,,,,,,,,,调查和咨询服务,商业服务,工业,Nasdaq Capital Market,0.2926739237997331
STI,Solidion Technology,2.52,2.52,3.08,14.07,19.63,0.05,2.25,,,,,,SPAC（特殊目的收购公司）,,,电子元件,计算机设备,科技,Nasdaq Global Market,0.6695710859528914
ANGH,Anghami,0.5,0.5,1.81,13.84,44.65,0.06,10.72,,,,,,,,,互动媒体与服务,媒体娱乐,科技,Nasdaq Global Market,3.603616010391073
PBYI,Puma Biotechnology,2.58,2.58,5.35,13.83,16.38,0.06,2.42,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.6325937299770132
GPCR,Structure Therapeutics,20.45,20.45,43.88,13.59,17.29,0.71,3.54,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Market,4.490599437592953
LIDR,AEye,0.11,0.11,1.69,13.42,54.36,0.05,45.74,,,,,,,,,应用软件,软件,科技,Nasdaq Capital Market,4.860775771997719
UP,Wheels Up Experience,21.83,21.83,3.13,13.41,13.77,0.03,0.14,,,,,,,,,航空公司,运输,工业,主板,0.13929922863374747
HOTH,Hoth Therapeutics,0.07,0.07,1.65,13.01,19.18,0.01,14.71,,,,,,,,,制药,制药,医疗保健,Nasdaq Capital Market,0.27502364476569485
DSGN,Design Therapeutics,1.84,1.84,3.26,12.41,13.1,0.02,1.25,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Market,0.17578286408813348
RMAX,RE/MAX,1.59,1.59,8.71,11.95,13.5,0.06,3.82,,,,,,,,房地产服务,房地产服务,房地产管理和开发,房地产,主板,0.574303523813285
CATX,Perspective Therapeutics,5.53,5.53,1.34,11.67,14.17,0.09,1.73,,,,,,,,,医疗保健设备,医疗保健设备与服务,医疗保健,主板,0.6224608002686947
LCTX,Lineage Cell Therapeutics,2.56,2.56,1.36,11.48,14.75,0.01,0.59,,,,,,,,,生物科技,生物科技,医疗保健,主板,0.09232346174683158
ELDN,Eledon Pharmaceuticals,0.45,0.45,1.88,11.24,15.38,0.01,2.17,,,,,,,,,制药,制药,医疗保健,Nasdaq Capital Market,0.16127014131185802
RGLS,Regulus Therapeutics,0.57,0.57,2.78,11.2,12.8,0.04,7.21,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Market,0.48043444472288654
ARGX,argenx SE ADR,229.88,229.88,396.88,11.19,4.67,3.05,1.31,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,6.918955868290387
LUNR,Intuitive Machines,6.02,6.02,6.23,11.05,18.18,0.59,10.56,,,,,,,,,电子设备和仪器,计算机设备,科技,Nasdaq Global Market,5.48674449796254
GENK,GEN Restaurant Group,3.49,3.49,10.77,11.03,13.51,0.03,0.74,,,,,,,,次新上市股,餐馆,酒店餐饮,可选消费,Nasdaq Global Market,0.22421866668659518
IMMX,Immix Biopharma,0.78,0.78,3.04,10.95,18.25,0.01,0.81,,,,,,,,,制药,制药,医疗保健,Nasdaq Capital Market,0.1747880850252568
GALT,Galectin Therapeutics,1.51,1.51,2.44,10.91,11.82,0.01,0.47,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Capital Market,0.08177898969303221
EFSH,1847,0.05,0.05,1.85,10.78,29.34,0.01,19.97,,,,,,,,,投资银行业与经纪业,综合金融,金融,主板,0.4786774910907379
JILL,J.Jill,3.11,3.11,29.26,10.54,11.03,0.08,2.43,,,,,,,,,服装零售,零售业,可选消费,主板,0.475308503584427
CLSD,Clearside Biomedical,1.34,1.34,1.8,10.43,10.43,0.01,0.76,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Market,0.07198704313850343
XRTX,XORTX Therapeutics,0.1,0.1,4.84,10.25,10.02,0.01,12.3,,,,,,,,,制药,制药,医疗保健,Nasdaq Capital Market,0.11882909440401668
EVTL,Vertical Aerospace,1.95,1.95,0.88,10.0,17.5,0.01,0.35,,,,,,,,,航天航空与国防,资本品,工业,主板,0.1254486042673539
TSVT,2seventy bio,2.56,2.56,4.99,9.91,11.45,0.08,3.14,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Capital Market,0.5308644326312981
DCTH,迪卡斯,1.03,1.03,4.67,9.88,9.41,0.01,1.44,,,,,,,,,医疗保健设备,医疗保健设备与服务,医疗保健,Nasdaq Capital Market,0.07257761537079677
NGNE,Neurogene,6.33,6.33,49.22,9.87,9.6,0.09,1.54,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Market,0.37239219217712777
GRYP,Gryphon Digital Mining,0.57,0.57,1.47,9.7,20.9,0.01,1.53,,,,,,,,,应用软件,软件,科技,Nasdaq Capital Market,0.22572100385410035
YMAB,Y-mAbs Therapeutics,7.42,7.42,16.94,9.36,9.81,0.06,0.85,,,,,,,,"抗癌医药,生物医药",制药,制药,医疗保健,Nasdaq Global Market,0.23535513601187266
OVID,Ovid Therapeutics,2.16,2.16,3.05,9.32,9.68,0.01,0.62,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Select Market,0.05609870270945328
RVSN,Rail Vision,0.17,0.17,2.5,9.17,13.1,0.03,15.49,,,,,,,,,电子设备和仪器,计算机设备,科技,Nasdaq Capital Market,0.4657708286972345
EURN,Euronav NV,32.35,32.35,16.03,9.12,8.37,0.78,2.48,,,,,,,,,石油与天然气的储存和运输,石油,能源,主板,1.928641002314983
CUTR,古特拉,0.46,0.46,2.3,9.0,15.17,0.04,8.34,,,,,,,,,医疗保健设备,医疗保健设备与服务,医疗保健,Nasdaq Global Select Market,0.6305682095374452
KZR,Kezar Life Sciences,0.71,0.71,0.97,8.99,12.36,0.01,2.1,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Select Market,0.1083642445641655
VOR,Vor Biopharma,1.34,1.34,1.96,8.89,14.44,0.01,0.91,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Market,0.11018940060111451
CAPT,Captivision,1.64,1.64,5.65,8.86,12.52,0.01,0.38,,,,,,SPAC（特殊目的收购公司）,空壳公司,,建筑产品,资本品,工业,Nasdaq Global Market,0.08591749551584506
VTVT,vTv Therapeutics,0.87,0.87,29.0,8.74,14.66,0.01,1.64,,,,,,,,,制药,制药,医疗保健,Nasdaq Capital Market,0.12786381595671037
LWAY,来福威食品,2.17,2.17,14.76,8.69,12.74,0.03,1.19,,,,,,,,乳业,包装食品与肉类,食品饮料,日常消费品,Nasdaq Global Market,0.2412850455567184
TILE,Interface,10.41,10.41,17.88,8.56,8.86,0.29,2.8,,,,,,,,,家庭装饰品,耐用商品,可选消费,Nasdaq Global Select Market,0.9053390968465673
SITM,SiTime,21.88,21.88,95.78,8.47,7.15,0.33,1.53,,,,,,,,,半导体产品,半导体,科技,Nasdaq Global Market,0.806560204609216
FND,Floor & Decor,143.13,143.13,133.75,8.45,9.47,3.23,2.27,,,,,,,,巴菲特持股,建筑产品,资本品,工业,主板,6.338948515133772
GGR,Gogoro,4.42,4.42,1.8,8.43,20.48,0.02,0.42,,,,,,,,,电子元件,计算机设备,科技,Nasdaq Global Select Market,0.23731493292536782
LSTA,Lisata Therapeutics,0.28,0.28,3.35,8.41,12.94,0.01,2.02,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Capital Market,0.14177839027692443
SKYX,SKYX Platforms,1.19,1.19,1.29,8.4,10.92,0.01,0.51,,,,,,,,消费电子,家用电器,耐用商品,可选消费,Nasdaq Capital Market,0.07932537751204376
SMCI,超微电脑,549.45,549.45,971.61,8.38,9.85,81.8,15.1,,,,,,,,,互联网服务和基础设施,信息技术服务,科技,Nasdaq Global Select Market,138.14629867380904
AXTI,AXT,2.39,2.39,5.4,8.22,11.22,0.07,3.11,,,,,,,,,半导体产品,半导体,科技,Nasdaq Global Select Market,0.4622399909411561
SCVL,Shoe Carnival,9.67,9.67,35.64,8.16,13.02,0.17,1.83,,,,,,,,,服装零售,零售业,可选消费,Nasdaq Global Select Market,0.8996377678052492
RDW,Redwire,2.78,2.78,4.24,8.16,11.73,0.06,2.28,,,,,,,,,航天航空与国防,资本品,工业,主板,0.4004045664442964
OCGN,Ocugen,3.44,3.44,1.34,8.06,24.19,0.42,11.56,,,,,,,,抗疫,制药,制药,医疗保健,Nasdaq Capital Market,6.645190821181054
LESL,Leslie's,13.89,13.89,7.53,8.03,10.47,0.28,2.05,,,,,,,,,专卖店,零售业,可选消费,Nasdaq Global Select Market,1.012825035270871
MEDS,TRxADE HEALTH INC,0.26,0.26,21.65,8.03,12.57,0.01,2.84,,,,,,,,,保健护理服务,医疗保健设备与服务,医疗保健,Nasdaq Capital Market,0.13825596445840768
JSPR,Jasper Therapeutics,4.47,4.47,29.67,8.01,9.06,0.04,0.86,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Capital Market,0.16369558649544047
OPI,Office Properties,1.12,1.12,2.3,7.98,7.51,0.04,3.3,,,,,,,,,办公REIT,股权房地产投资信托 (REITs),房地产,Nasdaq Global Select Market,0.2128105184262333
PFIE,Profire Energy,0.89,0.89,1.9,7.95,11.93,0.01,0.91,,,,,,,,,工业机械,资本品,工业,Nasdaq Capital Market,0.09712818969867218
COMP,Compass,17.39,17.39,3.54,7.93,12.2,0.3,1.73,,,,,,,,,应用软件,软件,科技,主板,1.2553262993976984
CMPO,CompoSecure,5.51,5.51,6.84,7.89,13.25,0.06,1.05,,,,,,,,,特殊消费者服务,社会服务,可选消费,Nasdaq Global Market,0.3807078976870818
WGS,GeneDx,2.39,2.39,9.18,7.87,14.34,0.02,1.06,,,,,,,,,医疗保健技术,医疗保健设备与服务,医疗保健,Nasdaq Global Select Market,0.1819493103191392
GRFS,基立福,46.62,46.62,6.78,7.79,16.22,0.38,0.86,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,1.850954360981818
BMEA,Biomea Fusion,6.07,6.07,17.0,7.73,8.24,0.17,2.87,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.5595219954138888
ZOM,Zomedica,1.33,1.33,0.14,7.69,7.69,0.01,0.45,,,,,,,,,制药,制药,医疗保健,主板,0.04802234053978141
FN,Fabrinet,75.09,75.09,206.8,7.64,4.11,1.23,1.64,,,,,,,,电子元件,电子制造服务,计算机设备,科技,主板,2.0269340493798382
SWIM,Latham Group,4.27,4.27,3.7,7.56,9.01,0.02,0.41,,,,,,,,,住宅建筑,耐用商品,可选消费,Nasdaq Global Select Market,0.0823821756049537
BTOG,Bit Origin,0.37,0.37,5.89,7.48,15.51,0.01,3.01,,,,,,,,中概科技,应用软件,软件,科技,Nasdaq Capital Market,0.1700687798224363
APT,Alpha Pro Tech,0.73,0.73,6.4,7.38,8.89,0.01,1.39,,,,,,,,抗疫,医疗保健用品,医疗保健设备与服务,医疗保健,主板,0.06957171612406245
RH,RH,56.73,56.73,311.37,7.35,8.19,2.68,4.74,,,,,,,,巴菲特持股,家庭装饰零售,零售业,可选消费,主板,5.115013792454215
GTHX,G1 Therapeutics,1.93,1.93,3.7,7.25,8.41,0.04,1.9,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.19275285227334682
PESI,佩尔马福克斯环境服务,1.54,1.54,11.29,7.22,10.73,0.01,0.47,,,,,,,,废物管理,环境与设施服务,商业服务,工业,Nasdaq Capital Market,0.07156240583725458
LSF,Laird Superfood,0.28,0.28,2.98,7.19,16.91,0.02,7.2,,,,,,,,,包装食品与肉类,食品饮料,日常消费品,主板,0.4008766073438941
JOAN,JOANN,0.06,0.06,0.15,7.14,35.71,0.01,22.57,,,,,,,,,大卖场与超市,零售业,可选消费,Nasdaq Capital Market,0.605668916459308
NYXH,Nyxoah SA,4.27,4.27,14.89,7.12,13.6,0.01,0.25,,,,,,,,,医疗保健技术,医疗保健设备与服务,医疗保健,Nasdaq Global Market,0.07085157295515142
HOUS,Anywhere Real Estate,6.53,6.53,5.88,7.1,9.29,0.1,1.47,,,,,,,,,房地产服务,房地产管理和开发,房地产,主板,0.3783517176164122
SFIX,Stitch Fix,3.09,3.09,2.57,7.08,10.42,0.07,2.19,,,,,,,,,服装零售,零售业,可选消费,Nasdaq Global Select Market,0.386592988275627
LAC,Lithium Americas,10.38,10.38,6.41,7.01,9.18,0.28,2.75,,,,,,,,,多种金属与采矿,金属与采矿,原材料,主板,0.9172276472952524
EVA,Enviva,0.34,0.34,0.46,6.98,6.98,0.01,2.34,,,,,,,,木材生产,林业产品,纸类与林业产品,原材料,主板,0.06013782214122993
RMBS,Rambus,70.28,70.28,64.73,6.94,5.55,1.53,2.18,,,,,,,,,半导体产品,半导体,科技,Nasdaq Global Select Market,2.2407838524526063
FLNC,Fluence Energy,28.62,28.62,16.02,6.87,8.41,0.45,1.59,,,,,,,,,电子设备和仪器,计算机设备,科技,Nasdaq Global Select Market,1.0253232566217536
UNTY,联合银行,3.01,3.01,29.7,6.83,10.86,0.02,0.81,,,,,,,,,区域性银行,银行,金融,Nasdaq Global Market,0.11761971004860547
