证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
600153.SH,建发股份,17.51,17.08,0.48,1.37,1.35,0.55,6.65,0.0,-25.34,0.39,74.27,3.9,43.32,25.0,25.95,3.94
603093.SH,南华期货,28.06,29.2,2.99,8.27,8.27,,0.64,0.0,-1.16,-17.37,93.13,3.54,-1.68,7.06,6.79,3.69
600170.SH,上海建工,15.57,103.03,0.8,0.87,2.52,0.89,2.26,0.0,-46.77,2.27,85.54,3.5,45.29,236.54,12.36,3.5
300999.SZ,金龙鱼,42.88,57.13,1.63,2.12,2.89,2.09,0.34,0.0,745.88,2.16,56.22,3.2,26.49,53.79,29.68,3.22
600325.SH,华发股份,81.11,-21.27,0.58,0.42,0.52,0.66,1.81,33.33,-93.54,6.01,69.72,3.14,扣非亏损,危险信号,155.98,3.12
600918.SH,中泰证券,29.24,30.28,1.32,3.0,3.11,,0.53,0.0,163.1,-2.29,80.63,3.08,-13.2,20.22,18.8,3.13
601083.SH,锦江航运,9.5,10.25,1.64,13.15,13.18,13.56,4.18,32.79,70.77,5.89,18.57,2.84,1.74,0.78,0.72,4.12
002060.SZ,广东建工,18.71,12.66,1.01,3.99,4.05,0.99,3.83,0.0,-14.84,0.04,89.2,2.57,334.56,6.34,9.24,2.73
600938.SH,中国海油,11.72,13.46,2.03,13.16,13.01,12.79,4.34,45.62,-12.91,23.72,30.09,2.41,0.57,1.02,0.9,3.39
300226.SZ,上海钢联,40.15,81.57,4.19,4.9,8.09,1.48,,13.45,-2.03,7.79,85.89,2.4,10.47,16.64,4.96,2.46
600502.SH,安徽建工,7.45,7.05,0.72,4.62,5.15,1.36,5.65,0.0,-13.74,10.65,86.36,2.17,0.66,3.05,2.89,2.5
601186.SH,中国铁建,4.9,4.74,0.35,4.14,4.84,1.43,3.27,0.0,-6.14,1.69,79.14,2.1,2.81,2.29,2.03,2.54
600061.SH,国投资本,12.67,14.18,0.9,5.12,5.3,1.38,1.69,0.0,38.32,24.51,81.31,2.09,0.58,5.54,4.78,2.27
600248.SH,陕建股份,8.83,31.55,0.46,2.41,4.18,0.91,3.12,0.0,-69.09,-2.67,88.13,2.02,-11.8,26.23,4.22,2.06
600941.SH,中国移动,13.04,15.51,1.47,7.87,8.3,7.02,3.95,64.17,6.57,7.1,33.96,1.93,2.18,1.97,1.57,2.43
601390.SH,中国中铁,5.68,6.46,0.42,4.19,5.09,1.28,2.79,19.9,-20.04,2.96,77.88,1.74,2.19,1.54,1.12,2.39
601800.SH,中国交建,7.15,7.23,0.44,3.64,4.45,1.19,2.89,21.04,-13.45,3.95,76.2,1.73,1.83,1.99,1.61,2.23
601668.SH,中国建筑,4.01,5.13,0.42,7.38,8.03,2.28,4.53,0.0,-4.92,5.12,76.07,1.69,1.0,1.39,1.0,2.41
301559.SZ,中集环科,77.74,47.61,2.27,1.66,2.14,1.83,2.87,0.0,-57.39,-3.52,14.43,1.67,-13.53,57.22,72.66,1.69
002314.SZ,南山控股,16.81,-6.93,0.81,3.85,3.16,2.27,,0.0,194.72,-7.48,73.92,1.65,扣非亏损,危险信号,10.64,1.37
601881.SH,中国银河,11.3,11.78,1.41,7.49,8.77,,1.84,23.15,58.05,-0.36,82.3,1.64,-32.98,1.57,1.29,2.28
601211.SH,国泰海通,11.78,17.59,1.1,6.59,8.1,,2.31,13.51,80.46,1.6,83.13,1.62,10.98,2.67,1.45,1.99
000521.SZ,长虹美菱,10.34,10.74,1.08,7.34,7.86,2.53,4.04,0.0,-12.47,16.46,72.51,1.6,0.65,2.93,2.63,1.95
601669.SH,中国电建,9.61,9.86,0.67,3.88,4.98,1.51,2.33,0.0,-17.53,3.89,80.19,1.6,2.53,5.09,3.86,1.79
002926.SZ,华西证券,16.74,15.69,0.97,4.4,4.41,,1.02,20.0,310.39,-5.55,78.52,1.57,-2.83,3.56,3.8,1.85
601995.SH,中金公司,18.86,17.75,1.69,5.62,6.29,,0.53,11.06,128.46,-10.83,84.6,1.55,-1.64,3.16,3.0,1.87
600048.SH,保利发展,30.86,-53.31,0.41,0.88,0.98,0.94,1.92,0.0,-76.76,3.97,73.27,1.55,扣非亏损,危险信号,62.99,1.54
601588.SH,北辰实业,-2.03,-1.41,0.78,-25.69,-25.24,-2.86,,0.0,-120.72,-24.92,77.45,1.54,扣非亏损,扣非亏损,亏损,0.54
000906.SZ,浙商中拓,16.89,-17.85,0.9,-2.17,3.46,2.14,3.03,0.0,-2090.6,4.3,82.12,1.5,扣非亏损,扣非亏损,9.76,0.5
000776.SZ,广发证券,11.66,12.93,1.34,7.11,8.18,,3.08,12.66,65.14,-5.73,83.27,1.49,-2.26,1.82,1.43,2.04
603257.SH,中国瑞林,57.68,,2.78,3.65,4.02,1.52,,0.0,,8.81,54.04,1.48,,,28.7,1.51
603202.SH,天有为,14.17,,2.22,15.08,15.36,12.01,,25.38,,57.7,27.58,1.46,,,0.92,2.54
600958.SH,东方证券,12.63,16.95,1.09,6.15,6.35,,1.66,30.0,57.63,-6.54,81.95,1.45,-2.59,2.76,1.99,1.81
000002.SZ,万科A,-1.49,-0.97,0.32,-14.0,-14.81,-1.71,,0.0,-83.07,-7.54,73.51,1.44,扣非亏损,扣非亏损,亏损,0.44
600339.SH,中油工程,30.72,101.6,0.8,1.78,1.96,0.94,0.98,15.44,-20.65,2.59,78.38,1.44,39.27,57.14,15.67,1.45
000031.SZ,大悦城,-22.02,-5.22,1.54,-5.52,-5.14,1.43,,0.0,64.8,-5.63,75.39,1.43,扣非亏损,扣非亏损,亏损,0.43
600057.SH,厦门象屿,9.98,17.11,1.34,4.23,7.83,2.72,3.85,0.0,302.47,-6.16,71.55,1.43,-2.78,8.09,2.55,1.55
000783.SZ,长江证券,9.9,11.7,1.25,8.42,9.23,,2.2,0.0,142.04,-6.45,78.23,1.41,-1.81,2.78,2.15,1.77
688459.SH,哈铁科技,62.87,36.12,1.39,1.55,1.66,1.26,1.04,42.98,8.96,3.5,14.78,1.4,10.32,23.3,37.88,1.45
600638.SH,新黄浦,26.53,39.01,1.05,2.48,3.0,1.27,0.73,0.0,120.08,-4.4,77.15,1.4,-8.87,31.42,17.68,1.43
601788.SH,光大证券,21.51,21.28,1.28,3.75,4.0,,1.1,34.22,30.99,-15.58,77.68,1.39,-1.37,5.68,5.38,1.57
000539.SZ,粤电力A,32.37,-555.45,1.08,2.2,2.52,1.63,0.44,0.0,-65.68,9.19,79.45,1.39,扣非亏损,危险信号,25.69,1.39
