证券代码,股票简称,所属同花顺行业,沪深指数,公司亮点,所属概念,机构持股占流通股比例,最终控制人持股比例,企业性质,最终控制人类型,最终控制人,控制人,三级行业,二级行业,一级行业,主营产品,投资逻辑,index,国家队机构名称,国家队持股比例
870976.BJ,视声智能,计算机-计算机设备-安防设备,,主营智能家居、可视对讲、液晶显示屏及模组,"网络安全,数据安全,智能家居,人脸识别",3.33,48.64,民营企业,个人,朱湘军,个人,视听技术,计算机,科技,智能家居,,,,
833030.BJ,立方控股,计算机-IT服务-IT服务Ⅲ,,国家级专精特新“小巨人”，国内出入口控制与管理行业最早进入者之一,"专精特新,智慧城市,安防,网约车,人工智能",,48.37,民营企业,个人,"周林健,包晓莺",个人,安防,计算机,科技,出入口控制与管理,,,,
838227.BJ,美登科技,计算机-IT服务-IT服务Ⅲ,,主要为电商商家提供SaaS软件与短信等服务，帮助电商卖家降低营销成本，进行订单管理等,"拼多多,电子商务,抖音,网络直播",8.59,36.26,民营企业,个人,邹宇,个人,云计算,计算机,科技,电商软件,国内较早从事电商SaaS软件开发的企业,,,
870436.BJ,大地电气,汽车-汽车零部件-汽车电子电气系统,,在商用车汽车线束领域有较为领先的市场地位,"专精特新,新能源汽车,无人驾驶,百度",37.15,22.5,民营企业,个人,蒋明泉,个人,汽车电气,汽车零部件,汽车,汽车线束,商用车汽车线束领域较为领先,,,
834475.BJ,三友科技,机械设备-专用设备-其他专用设备,,国内不锈钢阴极板龙头企业,"专精特新,机器人,无人驾驶,AIGC",,71.4,民营企业,个人,"吴俊义,吴用,李彩球",个人,特钢,钢铁,资源,阴极板,国内主要的不锈钢阴极板制造基地之一,,,
838924.BJ,广脉科技,通信-通信服务-通信工程及服务,,专业从事通信网络技术服务的高新技术企业,"养老,5G,信创,高铁,华为,专精特新,网络安全,算力租赁,智慧城市,东数西算(算力),抖音,车联网(车路协同),安防",8.09,39.94,民营企业,个人,赵国民,个人,通信基建,通信,科技,网络工程施工和优化,ICT综合解决方案提供商之一,,,
836699.BJ,海达尔,家用电器-白色家电-家电零部件,,主营精密滑轨,"华为,比亚迪,家用电器",2.6,72.33,民营企业,个人,"朱全海,陆斌武,朱光达",个人,小家电,家电,可选消费,精密滑轨制造,家电领域国内知名的滑轨供应商,,,
300071.SZ,福石控股,传媒-文化传媒-广告营销,中证2000,国内大型整合营销服务集团，线下营销服务供应商,"虚拟数字人,文化传媒,多模态AI,数字经济,AIGC,华为,数据要素,比亚迪,Sora(文生视频),京津冀一体化,广告营销,百度,股权转让(并购重组),元宇宙,ChatGPT,人工智能,AI语料,抖音,Web3.0",14.58,10.02,民营企业,个人,陈永亮,个人,广告营销,传媒,科技,整合营销,国内大型整合营销服务集团，线下营销服务供应商,,,
300840.SZ,酷特智能,纺织服饰-服装家纺-服装,中证2000,被工信部、中国互联网协会指定为工业大数据与智能制造的学习、培训基地,"固态电池,华为,数据中心,工业互联网,三胎,C2M",8.06,14.93,民营企业,个人,张代理,个人,服装,纺织,可选消费,个性化定制服装,国内服装行业智能制造模式的领先者,,,
300694.SZ,蠡湖股份,汽车-汽车零部件-底盘与发动机系统,,公司属于行业排名前五大涡轮增压器制造商的合格供应商,"固态电池,人民币贬值受益,燃料电池,新能源汽车,国企改革,地方国企改革",30.96,28.95,地市国资控股,地方国资委,泉州市人民政府国资委,泉州市人民政府国资委,动力系统,汽车零部件,汽车,压气机壳(产品),全球具有重要影响力的压气机壳生产商,,,
