概念名称,数量,分类
昨日涨停_含一字,57,X
昨日涨停,48,X
昨日连板_含一字,23,X
昨日连板,13,X
昨日触板,63,X
租售同权,18,
字节概念,70,知名企业
装配建筑,86,
转债标的,532,X
转基因,16,
专精特新,754,X
注射器概念,13,
注册制次新股,84,X
猪肉概念,36,
重组蛋白,14,
中字头,102,S
中证500,493,X
中药概念,146,
中芯概念,60,知名企业
中特估,79,S
中俄贸易概念,56,
中超概念,8,
智谱AI,33,
智能家居,152,
智能机器,174,
智能电网,175,
智能电视,12,
智能穿戴,113,
智慧政务,78,
智慧灯杆,25,
智慧城市,211,
植物照明,17,
职业教育,69,
知识产权,40,
证金持股,231,S
长寿药,14,
长江三角,405,S
增强现实,46,
噪声防治,7,
在线旅游,26,
在线教育,116,
云游戏,25,
云计算,230,
粤港自贸,67,
远程办公,38,
元宇宙概念,138,
预制菜概念,53,
预盈预增,840,X
预亏预减,570,X
有机硅,29,
油气设服,61,
幽门螺杆菌概念,51,
影视概念,60,X
婴童概念,138,
英伟达概念,47,知名企业
疫苗冷链,27,
移动支付,71,
医疗器械概念,302,
医疗美容,67,
医废处理,32,
一带一路,422,S
液冷概念,59,
页岩气,40,
养老金,183,
养老概念,115,
央视50_,48,X
央企改革,452,S
血氧仪,14,
虚拟现实,224,
虚拟数字人,80,
虚拟电厂,52,
熊去氧胆酸,21,
雄安新区,162,S
星闪概念,34,
信创,231,
新型工业化,87,
新型城镇化,97,
新能源车,578,
新能源,206,
新零售,140,
新冠药物,57,
新材料,342,
小米汽车,65,知名企业
小米概念,195,知名企业
小金属概念,108,
消毒剂,56,
乡村振兴,136,
稀土永磁,58,
稀缺资源,77,
西部大开发,595,S
物联网,359,
无线耳机,84,
无线充电,41,
无人驾驶,232,
无人机,156,
尾气治理,33,
维生素,29,
微盘股,396,X
网络游戏,73,
网络安全,134,
网红直播,123,
万达概念,15,知名企业
娃哈哈概念,21,知名企业
托育服务,12,
退税商店,10,
土壤修复,33,
土地流转,48,
统一大市场,38,
铜缆高速连接,32,
同步磁阻电机,6,
通用航空,40,
铁路基建,115,
天然气,122,
天基互联,39,
体育产业,73,
体外诊断,67,
特斯拉,204,知名企业
特高压,85,
碳纤维,34,
碳交易,133,
碳基材料,19,
碳化硅,34,
钛白粉,11,
太阳能,397,
胎压监测,27,
算力概念,132,
水利建设,109,
水产养殖,17,
数字阅读,19,
数字水印,17,
数字哨兵,12,
数字孪生,77,
数字经济,153,
数字货币,75,
数据中心,194,
数据要素,119,
数据确权,34,
数据安全,74,
纾困概念,50,S
手游概念,49,
世界杯,18,
食品安全,42,
时空大数据,23,
石墨烯,70,
生物质能发电,26,
生物疫苗,72,
生物识别,49,
生态农业,43,
深证100R,99,X
深圳特区,338,X
深股通,1425,X
深成500,494,X
社区团购,38,
社保重仓,32,S
上证50_,49,X
上证380,373,X
上证180_,177,X
上海自贸,34,S
商业航天,147,
商汤概念,14,知名企业
赛马概念,4,
乳业,29,
柔性屏(折叠屏),72,
融资融券,3594,X
熔盐储能,9,
荣耀概念,49,S
人造肉,17,
人脑工程,20,
人工智能,555,
燃料电池,140,
券商概念,57,S
全息技术,11,
区块链,229,
氢能源,237,
青蒿素,11,
千金藤素,5,
汽车一体化压铸,28,
汽车芯片,46,
汽车热管理,76,
汽车拆解,18,
气溶胶检测,11,
麒麟电池,8,
破净股,366,X
屏下摄像,10,
苹果概念,127,知名企业
拼多多概念,23,知名企业
啤酒概念,17,
培育钻石,13,
农业种植,82,
宁组合,24,知名企业
内贸流通,164,
钠离子电池,50,
纳米银,9,
民爆概念,16,
免疫治疗,44,
免税概念,30,
蒙脱石散,11,
煤化工,72,
茅指数,42,S
毛发医疗,15,
盲盒经济,11,
蚂蚁概念,55,知名企业
绿色电力,130,
裸眼3D,22,
轮毂电机,8,
流感,108,
磷化工,39,
量子通信,52,
粮食概念,27,
锂矿概念,37,
锂电池,375,
冷链物流,111,
蓝宝石,20,
垃圾分类,101,
快手概念,31,知名企业
快递概念,42,
跨境支付,45,
跨境电商,123,
口罩,159,
空气能热泵,31,
空间站概念,20,
空间计算,22,
可燃冰,13,
可控核聚变,18,
壳资源,78,S
科创板做市商,14,X
科创板做市股,41,X
抗菌面料,15,
军民融合,182,
军工,497,
举牌,13,
净水概念,18,
精准医疗,44,
京津冀,56,
京东金融,11,知名企业
进口博览,15,
节能环保,403,
降解塑料,64,
健康中国,103,
建筑节能,39,
减速器,56,
减肥药,26,
激光雷达,31,
基因测序,52,
基金重仓,170,S
鸡肉概念,20,
机器视觉,66,
机器人执行器,24,
机器人概念,407,
机构重仓,954,S
混合现实,29,
黄金概念,54,
换电概念,48,
环氧丙烷,14,
化妆品概念,55,
化债(AMC)概念,60,S
化工原料,66,
华为昇腾,24,知名企业
华为汽车,97,知名企业
华为欧拉,16,知名企业
华为海思,38,知名企业
华为概念,689,知名企业
沪企改革,40,S
沪股通,1323,X
户外露营,25,
互联医疗,102,
互联金融,205,
湖北自贸,28,S
鸿蒙概念,100,S
核污染防治,31,
核能核电,139,
合成生物,109,
毫米波概念,38,
航母概念,37,
氦气概念,11,
海洋经济,27,
海绵城市,37,
海工装备,41,
国资云概念,18,
国企改革,1330,S
国家安防,117,
国产芯片,357,
国产软件,228,
广电,27,
光通信模块,56,
光刻机(胶),82,
光伏建筑一体化,83,
光伏高速公路,6,
固态电池,159,
股权转让,36,S
股权激励,201,S
共享经济,18,
供销社概念,14,
工业气体,27,
工业母机,81,
工业互联,182,
工业大麻,45,
工业4.0,129,
工程机械概念,45,
高压快充,41,
高送转,213,X
高带宽内存,11,
肝炎概念,45,
肝素概念,13,
钙钛矿电池,30,
富士康,30,知名企业
富时罗素,1272,X
复合集流体,25,
辅助生殖,53,
氟化工,31,
风能,213,
飞行汽车(eVTOL),61,
房屋检测,36,
钒电池,21,
发电机概念,20,
多模态AI,39,
短剧互动游戏,27,
独角兽,126,S
独家药品,41,
痘病毒防治,56,
抖音小店,23,知名企业
动力电池回收,37,
东数西算,57,
东盟自贸区概念,13,S
东北振兴,56,
调味品概念,31,
电子纸概念,14,
电子烟,49,
电子身份证,35,
电子竞技,36,
电子后视镜,22,
电子车牌,18,
电商概念,317,
第四代半导体,4,
第三代半导体,107,
低碳冶金,8,
低空经济,220,
低价股,201,X
地下管网,44,
地摊经济,35,
地塞米松,10,
地热能,13,
刀片电池,13,
氮化镓,48,
单抗概念,48,
代糖概念,15,
大数据,303,
大飞机,99,
存储芯片,50,
次新股,93,S
磁悬浮概念,28,
创业成份,100,X
创业板综,1348,X
创新药,86,
创投,298,X
传感器,91,
储能,315,
抽水蓄能,30,
宠物经济,32,
充电桩,222,
成渝特区,85,
车联网(车路云),215,
超清视频,97,
超级真菌,21,
超级品牌,32,
超级电容,33,
超导概念,15,
超超临界发电,42,
草甘膦,13,
参股银行,221,X
参股新三板,104,X
参股券商,132,X
参股期货,46,X
参股保险,80,X
彩票概念,22,
财税数字化,38,
玻璃基板,34,
病毒防治,120,
并购重组概念,72,S
滨海新区,22,S
标准普尔,1030,X
贬值受益,144,S
边缘计算,124,
被动元件,26,X
北交所概念,27,X
北斗导航,77,
半导体概念,323,
百元股,80,X
百度概念,140,知名企业
白酒,48,
阿兹海默,13,
阿里概念,109,知名企业
WiFi,27,
Web3.0,46,
VPN,20,
UWB概念,19,
TOPCon电池,42,
ST股,117,X
SPD概念,11,
Sora概念,38,
REITs概念,24,
RCS概念,22,
RCEP概念,21,
QFII重仓,279,S
PVDF概念,15,
PPP模式,151,
PLC概念,9,
PEEK材料概念,22,
PCB,85,
OLED,128,
NFT概念,56,
MSCI中国,551,X
MLOps概念,10,
MLCC,13,
MiniLED,59,
MicroLED,20,
LED,93,
Kimi概念,25,
IPv6,12,
IPO受益,56,
IGBT概念,37,
HS300_,295,X
HIT电池,38,
GDR,11,
F5G概念,22,
ETC,45,
eSIM,10,
ERP概念,15,
EDR概念,14,
EDA概念,14,
DRG/DIP,17,
CRO,38,
CPO概念,44,
Chiplet概念,26,
ChatGPT概念,73,
CAR-T细胞疗法,22,
C2M概念,40,
B股,75,X
BC电池,22,
AI制药,15,
AI语料,25,
AI眼镜,66,
AI芯片,26,
AI手机,32,
AIPC,39,
AIGC概念,94,
AH股,144,X
AB股,73,X
6G概念,27,
5G概念,315,
3D摄像头,11,
3D打印,62,
3D玻璃,17,
2025规划,80,
