证券代码,股票名称,概念名称,概念解析
A19082.SH,三元基因,基因测序,"2020年12月24日回复称公司在高稳定性蛋白质药物水溶液、高效长效低毒干扰素、乙肝患者基因检测和雾化吸入技术等方面的国际和国内专利,是研发核心竞争力关键指标。"
603360.SH,百傲化学,半导体,"2024年2月1日发布公告,公司与苏州芯慧联半导体科技有限公司(简称“芯慧联”)拟签订《战略合作协议》,双方计划在半导体设备业务方面开展深度合作。"
605580.SH,恒盛能源,绿色电力,2021年8月6日招股书显示子公司恒鑫电力是浙江省内首家以农林废弃物为燃料的生物质热电联产项目。
603235.SH,天新药业,维生素,"2022年6月23日回复称公司主要从事单体维生素产品的研发、生产与销售,产品包括维生素 B6、维生素B1、生物素、叶酸、维生素 D3、抗坏血酸棕榈酸酯、维生素 E 粉等。"
002676.SZ,顺威股份,新能源车,"2022年8月24日回复称公司子公司广州顺威新能源汽车有限公司以汽车精密注塑、精密模具、汽车喷涂与电镀等汽车业务为主,同时经营改性塑料、高端风叶、智能装备的研发、生产和销售,原材料销售业务,以及以自有资金投资。"
601188.SH,龙江交通,东北振兴,"黑龙江国企,主营高速公路经营管理"
603380.SH,易德龙,工业4.0,"公司积极践行工业4.0和中国制造2025战略,致力于推进智能制造,加快企业转型升级。"
605066.SH,天正电气,智能电网,"2023年3月16日回复称公司一直持续加大研发投入,重点完成了智能电网建设用TGB2D、TGM2ALC、TGM1EL、TGM3RC等智能重合闸、电子式漏电、智能融合、量测等智能化产品。"
605259.SH,绿田机械,发电机,2021年5月21日招股书显示公司专业从事通用动力机械产品(主要包括发电机组、水泵机组和发动机)和高压清洗机产品的研发、生产和销售。
002730.SZ,电光科技,人工智能,"2021年年报显示公司基于人工智能和物联网技术建设的智慧矿山系统和高端智能化项目,将能提供具有数据实时收集传输、分析处理能力,促进系统内外各部分功能智能运转与协同运作的一体化产品,能够为煤炭企业开展安全高效的生产提供保障,大幅度减少生产事故的发生。"
603767.SH,中马传动,减速器,"2022年5月12日回复称公司针对新能源汽车减速器及减速器高速齿轮进行系列产品平台的研发,产品面向国内外新能源汽车客户群体。"
605169.SH,洪通燃气,天然气,2020年10月12日招股书显示公司是一家专注清洁交通能源供应领域的天然气专业运营商。
603798.SH,康普顿,氢能源,"2022年7月21日回复称公司新设了青岛氢启新能源科技有限公司,作为公司发展氢能的实施主体。"
002660.SZ,茂硕电源,智慧灯杆,"2021年半年报显示紧跟5G技术的大规模商业化应用,以""智慧灯杆""驱动产品为引领,保持公司在道路照明领域长期积累的优势。"
