股票代码,证券名称,所属概念,港股@总市值
80700.HK,腾讯控股-R,,2.5937E+12
0700.HK,腾讯控股,"AIGC,CDR,云办公,云计算,互联网+,互联网保险,互联网出海,互联网医疗,互联网金融,人工智能,元宇宙,创投,区块链,双十一,工业互联网,手机游戏,教育服务,数据中心,新经济,新经济,无人驾驶,智慧城市,智能医疗,物联网,特斯拉,电子商务,知名公司,短视频,移动互联网,移动支付,粤港澳,网络安全,网络游戏,网络直播,虚拟现实,金融科技",2.54658E+12
1398.HK,工商银行,"内银股,国企改革",1.95258E+12
0857.HK,中国石油股份,"一带一路,充电桩股,国企改革,天然气,石油股,页岩气",1.76829E+12
1288.HK,农业银行,"内银股,国企改革",1.60269E+12
80941.HK,中国移动-R,,1.51912E+12
0941.HK,中国移动,"5G,CDR,F5G,人工智能,华为,富士康,数据中心,新经济,电信股,知名公司,移动互联网,红筹股",1.49537E+12
89988.HK,阿里巴巴-SWR,,1.47478E+12
9988.HK,阿里巴巴-SW,"AIGC,云办公,云计算,元宇宙,冬奥会,同股不同权,回港中概股,数据中心,新经济,电子商务,知名公司,网络直播,蚂蚁集团",1.45166E+12
3988.HK,中国银行,"内银股,国企改革,知名公司,财产管理",1.32164E+12
0939.HK,建设银行,"内银股,国企改革,知名公司,财产管理",1.24358E+12
0005.HK,汇丰控股,"知名公司,财产管理,香港,香港银行股",1.1202E+12
80883.HK,中国海洋石油-R,,9.15019E+11
0883.HK,中国海洋石油,"天然气,石油股,红筹股,页岩气",9.01336E+11
3968.HK,招商银行,"内银股,国企改革,知名公司,财产管理",8.55912E+11
1088.HK,中国神华,"meitanhk,国企改革,碳中和,超超临界发电",8.27424E+11
0386.HK,中国石油化工股份,"一带一路,冬奥会,国企改革,天然气,氢能源,知名公司,石化股,石油股,页岩气,高股息",7.8369E+11
82318.HK,中国平安-R,,7.73491E+11
2318.HK,中国平安,"互联网医疗,保险,内险股,国企改革,新经济,知名公司,金融科技,阿里巴巴",7.69497E+11
2628.HK,中国人寿,"保险,内险股,国企改革,蚂蚁集团",7.37777E+11
6288.HK,迅销,"品牌服饰,外国公司",7.19179E+11
81299.HK,友邦保险-R,,7.06747E+11
1299.HK,友邦保险,"互联网保险,保险,智能医疗,知名公司",6.94559E+11
81211.HK,比亚迪股份-R,,5.84651E+11
1211.HK,比亚迪股份,"新经济,新能源汽车,无人驾驶,燃料电池,特斯拉,碳中和,锂电池",5.82157E+11
9999.HK,网易-S,"互联网出海,元宇宙,回港中概股,手机游戏,电子商务,知名公司,网络游戏,网络直播",5.75968E+11
0728.HK,中国电信,"5G,F5G,互联网+,人工智能,华为,国企改革,数据中心,新经济,智慧城市,电信股,知名公司,移动互联网",5.65235E+11
83690.HK,美团-WR,,5.34413E+11
3690.HK,美团-W,"MSCI,同股不同权,新经济,独角兽,电子商务,知名公司,腾讯,节假日",5.2808E+11
1658.HK,邮储银行,"MSCI,内银股,知名公司",5.07834E+11
9633.HK,农夫山泉,"知名公司,非酒精饮料",4.66728E+11
3328.HK,交通银行,"内银股,国企改革",4.57364E+11
2899.HK,紫金矿业,"国企改革,涉矿,碳中和,贸易战股,金属铅,金属锌",4.21991E+11
0945.HK,宏利金融-S,"保险,外国公司,高股息",3.36601E+11
81810.HK,小米集团-WR,,3.3414E+11
1810.HK,小米集团-W,"F5G,MSCI,互联网出海,人工智能,元宇宙,同股不同权,小米,新IT,新经济,机器人,物联网,独角兽,电子商务,电讯设备,知名公司",3.28388E+11
6030.HK,中信证券,"中信系,中资券商股,国企改革,腾讯,财产管理",3.17214E+11
2015.HK,理想汽车-W,"双重主要上市中概股,同股不同权,回港中概股,新能源汽车,知名公司",3.07056E+11
0998.HK,中信银行,"中信系,内银股,国企改革,知名公司",3.02842E+11
80388.HK,香港交易所-R,,3.01716E+11
89618.HK,京东集团-SWR,,2.98647E+11
0388.HK,香港交易所,"数据中心,现代服务业,知名公司",2.96927E+11
9618.HK,京东集团-SW,"同股不同权,回港中概股,电子商务,知名公司",2.94438E+11
89888.HK,百度集团-SWR,,2.7268E+11
9888.HK,百度集团-SW,"AIGC,NFT,互联网出海,元宇宙,同股不同权,回港中概股,数据中心,比亚迪,知名公司,网络直播",2.69032E+11
6690.HK,海尔智家,"家用电器,新IT,知名公司",2.48876E+11
2328.HK,中国财险,"保险,内险股,国企改革",2.45115E+11
9961.HK,携程集团-S,"回港中概股,旅游及观光,知名公司,节假日",2.33903E+11
0267.HK,中信股份,"F5G,中信系,冬奥会,红筹股,腾讯,航空股,财产管理",2.3214E+11
80016.HK,新鸿基地产-R,,2.29869E+11
1339.HK,中国人民保险集团,"保险,内险股,国企改革",2.28841E+11
2601.HK,中国太保,"保险,内险股,国企改革,蚂蚁集团",2.28323E+11
0016.HK,新鸿基地产,"现代服务业,蓝筹地产股,香港房地产,香港",2.26462E+11
82388.HK,中银香港-R,,2.26447E+11
2388.HK,中银香港,"国企改革,香港银行股",2.23086E+11
82020.HK,安踏体育-R,,2.14401E+11
2378.HK,保诚,"保险,外国公司,知名公司",2.14337E+11
2020.HK,安踏体育,"体育,体育用品股,冬奥会,双十一,品牌服饰,知名公司",2.12022E+11
1816.HK,中广核电力,"国企改革,新经济,核电,核电核能,碳中和",2.0611E+11
81024.HK,快手-WR,,2.06085E+11
1766.HK,中国中车,"一带一路,国企改革,知名公司,高铁",2.03813E+11
1024.HK,快手-W,"互联网出海,元宇宙,同股不同权,知名公司,短视频,网络直播",2.03148E+11
0981.HK,中芯国际,"新IT,新经济,物联网,电子信息,知名公司,紫光系,红筹股,芯片替代,高校",2.02343E+11
6818.HK,中国光大银行,"光大系,内银股,国企改革,财产管理",1.98245E+11
1171.HK,兖矿能源,"meitanhk,国企改革,碳中和",1.93059E+11
1880.HK,中国中免,,1.83318E+11
1988.HK,民生银行,内银股,1.8198E+11
82333.HK,长城汽车-R,,1.80329E+11
2333.HK,长城汽车,"宁德时代,新经济,新能源汽车,无人驾驶,汽车制造,汽车热管理",1.80117E+11
1919.HK,中远海控,"MSCI,一带一路,国企改革,自由贸易港",1.7761E+11
2888.HK,渣打集团,"知名公司,香港,香港银行股",1.75161E+11
0669.HK,创科实业,"家用电器,电子信息",1.73114E+11
0762.HK,中国联通,"5G,F5G,互联网+,冬奥会,华为,国企改革,数据中心,新经济,特斯拉,电信股,知名公司,移动互联网,红筹股",1.72879E+11
6066.HK,中信建投证券,中资券商股,1.72057E+11
0027.HK,银河娱乐,"博彩,知名公司",1.70789E+11
1928.HK,金沙中国有限公司,博彩,1.69152E+11
0788.HK,中国铁塔,"5G,充电桩股,华为,卫星导航,知名公司",1.68968E+11
80011.HK,恒生银行-R,,1.67983E+11
0011.HK,恒生银行,"知名公司,财产管理,香港,香港银行股",1.65183E+11
2359.HK,药明康德,"CXO,健康产业,医疗器械,医药股",1.64694E+11
0390.HK,中国中铁,"一带一路,冬奥会,国企改革,基础建设,知名公司,高铁",1.63622E+11
1913.HK,普拉达,"外国公司,奢侈品股",1.63509E+11
1898.HK,中煤能源,"meitanhk,MSCI,国企改革,碳中和",1.61678E+11
0002.HK,中电控股,天然气,1.60935E+11
1876.HK,百威亚太,"啤酒,节假日",1.58391E+11
1109.HK,华润置地,"内地房地产,华润系,知名公司,红筹股",1.57237E+11
0066.HK,港铁公司,"物业投资,知名公司,香港",1.56673E+11
0001.HK,长和,"小米,知名公司,长和系,香港",1.55117E+11
2338.HK,潍柴动力,"国企改革,氢能源,汽车制造",1.53054E+11
3993.HK,洛阳钼业,"国企改革,宁德时代,小金属,碳中和,金属铅,金属锌,金属镍",1.52381E+11
0763.HK,中兴通讯,"5G,京东,人工智能,信息安全,国企改革,数字经济,新IT,新经济,智能穿戴,物联网,电讯设备,知名公司,移动支付,紫光系,网络安全,芯片替代",1.47464E+11
1698.HK,腾讯音乐-SW,,1.40032E+11
0902.HK,华能国际电力股份,"国企改革,绿色电力,超超临界发电,钙钛矿电池",1.37206E+11
6160.HK,百济神州,"创新药,双重主要上市中概股,回港中概股,抗癌,知名公司,肝炎",1.36611E+11
2611.HK,国泰君安,中资券商股,1.35361E+11
6886.HK,华泰证券,"中资券商股,国企改革,财产管理,阿里巴巴",1.32203E+11
0916.HK,龙源电力,"国企改革,新经济,碳中和,绿色电力,风电",1.30383E+11
2057.HK,中通快递-W,"同股不同权,回港中概股,物流",1.29734E+11
1113.HK,长实集团,"知名公司,蓝筹地产股,长和系,香港房地产,香港",1.28995E+11
9987.HK,百胜中国,"冬奥会,回港中概股,餐饮连锁",1.28986E+11
0914.HK,海螺水泥,"国企改革,建材水泥股,碳中和",1.27595E+11
3908.HK,中金公司,"MSCI,中资券商股,腾讯,财产管理,阿里巴巴",1.27405E+11
1800.HK,中国交通建设,"一带一路,冬奥会,国企改革,基础建设,高铁",1.25566E+11
3606.HK,福耀玻璃,"光伏太阳能,比亚迪,特斯拉,碳中和",1.23837E+11
2423.HK,贝壳-W,"双重主要上市中概股,回港中概股,房地产服务,知名公司",1.22584E+11
6099.HK,招商证券,中资券商股,1.22252E+11
80992.HK,联想集团-R,,1.21088E+11
0992.HK,联想集团,"5G,人工智能,数据中心,新IT,新经济,智能穿戴,知名公司,红筹股,芯片替代",1.19085E+11
1186.HK,中国铁建,"一带一路,内地房地产,国企改革,基础建设,高铁",1.17603E+11
1929.HK,周大福,"奢侈品股,知名公司,香港",1.16657E+11
9901.HK,新东方-S,"K12教育,回港中概股,教育服务,知名公司",1.16336E+11
6806.HK,申万宏源,,1.14789E+11
1038.HK,长江基建集团,"知名公司,长和系",1.14642E+11
2600.HK,中国铝业,"国企改革,涉矿,稀土永磁,铁矿石,铝",1.14631E+11
0688.HK,中国海外发展,"充电桩股,租售同权,红筹股,香港房地产",1.14483E+11
1787.HK,山东黄金,黄金,1.13627E+11
0003.HK,香港中华煤气,"天然气,宁德时代,生物质能发电,节能环保",1.11213E+11
0753.HK,中国国航,"人民币升值,国企改革,知名公司,航空股",1.11076E+11
6881.HK,中国银河,"中资券商股,国企改革,财产管理",1.10775E+11
2202.HK,万科企业,"内地房地产,冬奥会,国企改革,知名公司,租售同权",1.10531E+11
6837.HK,海通证券,"中资券商股,国企改革,财产管理",1.10188E+11
80291.HK,华润啤酒-R,,1.0973E+11
0291.HK,华润啤酒,"华润系,啤酒,红筹股,节假日",1.08031E+11
0012.HK,恒基地产,"天然气,蓝筹地产股,香港房地产,香港",1.07479E+11
1519.HK,极兔速递-W,次新股,1.05746E+11
1776.HK,广发证券,"中资券商股,国企改革",1.05688E+11
0006.HK,电能实业,"知名公司,长和系",98989834403
1055.HK,中国南方航空股份,"人民币升值,国企改革,知名公司,航空股",96403274751
2313.HK,申洲国际,品牌服饰,95454622210
0168.HK,青岛啤酒股份,"啤酒,国企改革,知名公司,节假日",94341056178
86618.HK,京东健康-R,,92583245937
1972.HK,太古地产,"物业投资,租赁,香港",91611000000
6618.HK,京东健康,"互联网医疗,京东,抗疫",91208692175
1179.HK,华住集团-S,"回港中概股,节假日,连锁酒店",88819793648
0836.HK,华润电力,"华润系,比亚迪,碳中和,红筹股,绿色电力,超超临界发电,风电",87838702692
9696.HK,天齐锂业,"比亚迪,特斯拉,知名公司,锂电池",87629315225
1336.HK,新华保险,"保险,内险股,国企改革,蚂蚁集团",87459389170
80175.HK,吉利汽车-R,,86480893062
0175.HK,吉利汽车,"CDR,宁德时代,新经济,新能源汽车,知名公司",84934947313
3996.HK,中国能源建设,"土壤修复,氢能源,现代服务业,超超临界发电",84291836607
0087.HK,太古股份公司B,"航空股,非酒精饮料,高股息",83126235375
0019.HK,太古股份公司A,"租赁,航空股,非酒精饮料,高股息",83126235375
3692.HK,翰森制药,肝炎,83066900980
0004.HK,九龙仓集团,"知名公司,租赁,香港房地产,香港",82818340562
0316.HK,东方海外国际,"物流,自由贸易港,高股息",82744774114
1997.HK,九龙仓置业,"租赁,香港",81219080997
2238.HK,广汽集团,"国企改革,宁德时代,新经济,新能源汽车,知名公司",80144480397
2016.HK,浙商银行,内银股,79368241362
6862.HK,海底捞,"独角兽,知名公司,节假日,餐饮连锁",78370440000
0670.HK,中国东方航空股份,"MSCI,人民币升值,国企改革,航空股",78301151973
1772.HK,赣锋锂业,"比亚迪,特斯拉,碳中和,锂电池",77278514867
9866.HK,蔚来-SW,"回港中概股,新能源汽车,知名公司,腾讯",76758068612
6178.HK,光大证券,"中资券商股,光大系",75618698981
3958.HK,东方证券,中资券商股,74451090621
9880.HK,优必选,次新股,74387608390
2269.HK,药明生物,"CAR-T,CXO,MSCI,创新药,医药股,新经济,知名公司",74264979871
1157.HK,中联重科,"一带一路,国企改革,重型机械股",71867668928
2319.HK,蒙牛乳业,"三胎,乳业,知名公司",71464912036
2688.HK,新奥能源,"天然气,绿色电力",71153698688
1093.HK,石药集团,"CAR-T,创新药,医药股,抗疫,抗癌,新经济,生物医药,红筹股",70824157405
0083.HK,信和置业,"物业投资,蓝筹地产股,香港房地产,香港,高股息",70811062705
6823.HK,香港电讯-SS,"电信股,移动互联网,长和系",70643198553
1618.HK,中国中冶,"MSCI,一带一路,内地房地产,冬奥会,国企改革,土壤修复,基础建设,生物质能发电,金属铅,金属锌,金属镍",70431798849
1071.HK,华电国际电力股份,"MSCI,国企改革,绿色电力,超超临界发电",70058138695
9868.HK,小鹏汽车-W,"双重主要上市中概股,同股不同权,回港中概股,宁德时代,新能源汽车,汽车热管理,知名公司",69246193662
2607.HK,上海医药,"健康产业,创新药,医疗器械,医药股,国企改革,幽门螺杆菌,新经济,熊去氧胆酸,生物医药",67575079904
0285.HK,比亚迪电子,"MSCI,抗疫,新IT,新经济,比亚迪,烟草,特斯拉,电子信息,电讯设备,知名公司,苹果,锂电池",67032833875
1378.HK,中国宏桥,"新材料,碳中和,铝,高股息",66802545896
1099.HK,国药控股,"互联网医疗,医疗器械,医药股,国企改革,生物医药",66313944059
1138.HK,中远海能,"MSCI,一带一路,国企改革,物流,自由贸易港",65911580101
0358.HK,江西铜业股份,"国企改革,碳中和,稀土永磁,铜",65351200261
2196.HK,复星医药,"CAR-T,健康产业,创新药,医疗器械,医美,医药股,抗疫,抗癌,新经济,民营医院,燃料电池,独角兽,生物医药,知名公司,肝炎,辅助生殖",64615853169
0288.HK,万洲国际,猪肉,64407702141
6865.HK,福莱特玻璃,"光伏太阳能,碳中和,绿色电力",64336386676
1801.HK,信达生物,"创新药,生物医药",63848636997
0960.HK,龙湖集团,"养老,内地房地产,知名公司,租售同权",63477149190
