证券代码,证券名称,风险评分,风险项,风险项数量,风险详情
688787.SH,海天瑞声,90,财报亏损,1,最新季度20230630净利润：-1724.14万
300809.SZ,华辰装备,90,拟大比例减持,1,"公司实际控制人曹宇中先生、刘翔雄先生计划在本公告发布之日起3个交易日后的6个月内以协议转让方式减持公司股份合计不超过25218000股，即不超过华辰装备总股本的10.0002%。
    公司实际控制人曹宇中先生、刘翔雄先生合计持有公司股份115654828股。"
300780.SZ,德恩精工,80,扣非净利润陡降风险;会计师事务所变动;换手率过高,3,"截止20230630，公司扣非净利润相比去年同期降幅超过50%;最近1-2年内,会计师事务所发生变动;截止最新交易日，该股票近5日换手率达134.4378%"
300624.SZ,万兴科技,100,,,
300466.SZ,赛摩智能,82,多年扣非亏损;营业外支出过大;会计师事务所变动,3,"截止2022-12-31,公司最新年报净利润为正,但连续5年以上扣非净利润为负;截至20221231,该公司营业外支出超过营业利润的20%;最近1-2年内,会计师事务所发生变动"
688060.SH,云涌科技,94,高库存隐忧,1,截止至2023-06-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%
300203.SZ,聚光科技,85,应收账款占收入比例过高;财报亏损,2,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为88.09%;最新季度20230630净利润：-1.37亿"
600545.SH,卓郎智能,11,高应收款隐忧;应收账款占收入比例过高;短期负债风险;财报亏损;审计报告保留意见;被频繁问询监管;行政监管措施或处罚;公司被立案调查;交易所监管;控股股东高质押;高质押风险;股权冻结;关联交易风险,13,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为123.99%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;最新季度20230630净利润：-5213.60万;卓郎智能2022年12月31日合并资产负债表的应收账款余额中包括对关联方新疆利泰丝路投资有限公司（以下简称“利泰”）及其关联公司的应收账款账面余额26.93亿元（其中账龄一年以上为26.40亿元），已计提坏账准备5.90亿元；对新疆福满源智纺实业有限公司（以下简称“福满源”）的应收账款账面余额9.11亿元（其中账龄三年以上为8.91亿元），已计提坏账准备4.60亿元。由于卓郎智能管理层未就利泰和福满源的偿付能力及意愿提供充分资料，我们无法对上述应收账款的可收回性及坏账准备的合理性获取充分、适当的审计证据，无法确定是否有必要对相关财务报表项目和披露进行调整。
我们按照中国注册会计师审计准则的规定执行了审计工作。审计报告的“注册会计师对财务报表审计的责任”部分进一步阐述了我们在这些准则下的责任。按照中国注册会计师职业道德守则，我们独立于卓郎智能，并履行了职业道德方面的其他责任。我们相信，我们获取的审计证据是充分、适当的，为发表保留意见提供了基础。;截止至2023-09-26，公司近一年内问询监管次数大于3次;卓郎智能：关于控股股东收到行政处罚决定书的公告TXT:http://static.cninfo.com.cn/finalpage/2023-07-31/1217423485.PDF;截止至20230728,卓郎智能技术股份有限公司（以下简称“公司”）于2023年7月28日收到中国证券监督管理委员会（以下简称“中国证监会”）下发的立案告知书（证监立案字0362023008号），因涉嫌信息披露违法违规，根据《中华人民共和国证券法》、《中华人民共和国行政处罚法》等法律法规，中国证监会决定对公司立案。;就公司控股股东减持事项发出监管工作函TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/other/c/6005452023050789502438.doc;该公司存在控股股东质押比例超80%;截止20230922公司质押比例已达47.49%;2023-04-15,卓郎智能：关于控股股东部分已质押股份被司法标记及轮候冻结的公告;业务单一且大量关联方交易(关联交易方占净利润121.76%)"
002122.SZ,汇洲智能,70,营业外支出过大;诉讼风险;股票频繁更名;被频繁问询监管;停牌次数多;已大比例减持,6,"截至20221231,该公司营业外支出超过营业利润的20%;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次;截止目前，该公司历史更名次数达4次及以上;截止至2023-09-26，公司近一年内问询监管次数大于3次;公司一年内停牌次数超三次;截止至20230811，该公司重要股东近半年已减持的股份占总股本的比例为：7.29%"
002535.SZ,林州重机,58,营业外支出过大;高负债率;短期负债风险;流动性风险;高担保比例;控股股东高质押,6,"截至20221231,该公司营业外支出超过营业利润的20%;截止20230630,公司负债率为88.421%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-06-30，流动比率小于1，速动比率小于0.5;截止至2023-06-30,该公司对外担保额合计占净资产的比例大于30%;该公司存在控股股东质押比例超80%"
