code,market,correct_industry
ASML,netherlands,Semiconductors
PRX,netherlands,Investment Managers
6857,japan,Semiconductors
3436,japan,Semiconductors
8035,japan,Semiconductors
7735,japan,Semiconductors
8155,japan,Semiconductors
7722,japan,Semiconductors
7739,japan,Semiconductors
6383,japan,Semiconductors
240810,korea,Semiconductors
281820,korea,Semiconductors
232140,korea,Semiconductors
83310,korea,Semiconductors
9310,korea,Semiconductors
319660,korea,Semiconductors
95610,korea,Semiconductors
79370,korea,Semiconductors
84370,korea,Semiconductors
89970,korea,Semiconductors
39030,korea,Semiconductors
322310,korea,Semiconductors
403870,korea,Semiconductors
348210,korea,Semiconductors
65130,korea,Semiconductors
42700,korea,Semiconductors
36810,korea,Semiconductors
36200,korea,Semiconductors
BESI,netherlands,Semiconductors
ASM,netherlands,Semiconductors
OXIG,uk,Semiconductors
SMHN,germany,Semiconductors
AIXA,germany,Semiconductors
WAF,germany,Semiconductors
SOI,france,Semiconductors
IFCN,switzerland,Semiconductors
KIT,norway,Semiconductors
LPK,germany,Semiconductors
2594,china,Motor Vehicles
FSLR,america,Electrical Products
MPWR,america,Electrical Products
ENPH,america,Electrical Products
DQ,america,Electrical Products
SPWR,america,Electrical Products
CSIQ,america,Electrical Products
968,hongkong,Electrical Products
1799,hongkong,Electrical Products
438,hongkong,Electrical Products
757,hongkong,Electrical Products
RR.,uk,Motor Vehicles
GLEN,uk,Other Metals/Minerals
INPST,netherlands,Air Freight/Couriers
5930,korea,Computer Processing Hardware
AAPL,america,Computer Processing Hardware
1810,hongkong,Computer Processing Hardware
AALB,netherlands,Semiconductors
BPOST,belgium,Air Freight/Couriers
EDEN,france,Transaction Processing Services
WLN,france,Transaction Processing Services
NEXI,italy,Transaction Processing Services
TKWY,netherlands,Internet Retail
ADYEN,netherlands,Transaction Processing Services
LR,france,Electrical Products
