fullname,short_name,exchange_for_display,source_logo_url,tv_symbol_page_url,currency_code,isin,is_primary_listing,primary_symbol,ticker_title
NASDAQ:AAPL,AAPL,NASDAQ,https://s3-symbol-logo.tradingview.com/country/US.svg,/symbols/NASDAQ-AAPL/,USD,US0378331005,True,NASDAQ:AAPL,Apple
BCBA:AAPL,AAPL,BYMA,https://s3-symbol-logo.tradingview.com/country/AR.svg,/symbols/BCBA-AAPL/,ARS,ARDEUT116183,False,NASDAQ:AAPL,Apple
XETR:APC,APC,XETR,https://s3-symbol-logo.tradingview.com/country/DE.svg,/symbols/XETR-APC/,EUR,US0378331005,False,NASDAQ:AAPL,Apple
TRADEGATE:APC,APC,TRADEGATE,https://s3-symbol-logo.tradingview.com/country/DE.svg,/symbols/TRADEGATE-APC/,EUR,US0378331005,False,NASDAQ:AAPL,Apple
BMFBOVESPA:AAPL34,AAPL34,B3,https://s3-symbol-logo.tradingview.com/country/BR.svg,/symbols/BMFBOVESPA-AAPL34/,BRL,BRAAPLBDR004,False,NASDAQ:AAPL,Apple
NEO:AAPL,AAPL,NEO,https://s3-symbol-logo.tradingview.com/country/CA.svg,/symbols/NEO-AAPL/,CAD,CA03785Y1007,False,NASDAQ:AAPL,Apple
BMV:AAPL,AAPL,BMV,https://s3-symbol-logo.tradingview.com/country/MX.svg,/symbols/BMV-AAPL/,MXN,US0378331005,False,NASDAQ:AAPL,Apple
GETTEX:APC,APC,GETTEX,https://s3-symbol-logo.tradingview.com/country/DE.svg,/symbols/GETTEX-APC/,EUR,US0378331005,False,NASDAQ:AAPL,Apple
BCBA:AAPLD,AAPLD,BYMA,https://s3-symbol-logo.tradingview.com/country/AR.svg,/symbols/BCBA-AAPLD/,USD,ARDEUT116183,False,NASDAQ:AAPL,Apple
MIL:1AAPL,1AAPL,MIL,https://s3-symbol-logo.tradingview.com/country/IT.svg,/symbols/MIL-1AAPL/,EUR,US0378331005,False,NASDAQ:AAPL,Apple
FWB:APC,APC,FWB,https://s3-symbol-logo.tradingview.com/country/DE.svg,/symbols/FWB-APC/,EUR,US0378331005,False,NASDAQ:AAPL,Apple
BVC:AAPL,AAPL,BVC,https://s3-symbol-logo.tradingview.com/country/CO.svg,/symbols/BVC-AAPL/,COP,US0378331005,False,NASDAQ:AAPL,Apple
MOEX:AAPL-RM,AAPL-RM,MOEX,https://s3-symbol-logo.tradingview.com/country/RU.svg,/symbols/MOEX-AAPL-RM/,RUB,US0378331005,False,NASDAQ:AAPL,Apple
SIX:AAPL,AAPL,SIX,https://s3-symbol-logo.tradingview.com/country/CH.svg,/symbols/SIX-AAPL/,CHF,US0378331005,False,NASDAQ:AAPL,Apple
BCS:AAPL,AAPL,SSE,https://s3-symbol-logo.tradingview.com/country/CL.svg,/symbols/BCS-AAPL/,USD,US0378331005,False,NASDAQ:AAPL,Apple
SIX:AAPL.USD,AAPL.USD,SIX,https://s3-symbol-logo.tradingview.com/country/CH.svg,/symbols/SIX-AAPL.USD/,USD,US0378331005,False,NASDAQ:AAPL,Apple
VIE:AAPL,AAPL,WB,https://s3-symbol-logo.tradingview.com/country/AT.svg,/symbols/VIE-AAPL/,EUR,US0378331005,False,NASDAQ:AAPL,Apple
SWB:APC,APC,SWB,https://s3-symbol-logo.tradingview.com/country/DE.svg,/symbols/SWB-APC/,EUR,US0378331005,False,NASDAQ:AAPL,Apple
MUN:APC,APC,MUN,https://s3-symbol-logo.tradingview.com/country/DE.svg,/symbols/MUN-APC/,EUR,US0378331005,False,NASDAQ:AAPL,Apple
BVL:AAPL,AAPL,BVL,https://s3-symbol-logo.tradingview.com/country/PE.svg,/symbols/BVL-AAPL/,USD,US0378331005,False,NASDAQ:AAPL,Apple
LSIN:0R2V,0R2V,LSIN,https://s3-symbol-logo.tradingview.com/country/GB.svg,/symbols/LSIN-0R2V/,USD,US0378331005,False,NASDAQ:AAPL,Apple
