证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占比,资产负债率,扣非PEG,扣非市赚率,市赚率
601988.SH,中国银行,6.02,6.09,0.6,6.52,7.16,,5.92,29.98,,39.2,0.41,5.18,0.09,91.56,1.17,0.93,0.84
601288.SH,农业银行,5.69,5.89,0.64,7.26,8.09,,6.34,29.98,,39.85,3.42,3.38,0.05,93.09,1.74,0.81,0.7
601398.SH,工商银行,5.96,5.9,0.6,6.99,7.33,,6.41,29.98,,43.18,0.28,0.15,,91.89,39.28,0.84,0.81
600992.SH,贵绳股份,-144.39,-274.36,3.04,-1.72,-1.55,-0.53,0.26,32.28,9.58,-1.53,-253.0,1.6,,56.2,扣非亏损,扣非亏损,亏损
601330.SH,绿色动力,13.82,15.7,1.18,6.28,6.3,4.42,2.26,45.98,45.44,20.95,-5.11,32.98,,61.55,0.48,2.5,2.19
603190.SH,亚通精工,24.57,29.45,1.3,3.72,4.0,3.23,1.37,9.06,23.7,6.79,-33.3,10.39,0.38,45.02,2.84,7.91,6.14
002966.SZ,苏州银行,5.11,5.72,0.66,8.85,9.64,,6.04,25.5,,46.61,13.55,4.66,,92.54,1.23,0.65,0.53
600615.SH,丰华股份,367.94,217.99,3.54,0.78,0.72,0.0,,73.86,10.29,3.17,217.51,54.24,0.69,8.2,4.02,280.01,507.51
601083.SH,锦江航运,13.71,18.01,1.6,8.36,8.74,8.86,2.3,44.87,25.36,17.21,9.74,2.15,,18.02,8.36,2.15,1.57
002117.SZ,东港股份,43.14,48.85,3.57,5.04,5.45,4.63,3.04,36.99,32.0,10.34,-43.37,1.04,0.18,28.16,46.89,9.69,7.92
603708.SH,家家悦,29.06,113.57,3.0,6.2,7.42,3.11,1.45,40.76,23.26,1.3,-18.06,2.17,9.99,82.0,52.28,18.32,3.92
600426.SH,华鲁恒升,12.3,12.96,1.62,10.25,10.15,9.1,2.17,28.64,20.01,13.03,5.35,35.44,,30.36,0.37,1.26,1.21
002132.SZ,恒星科技,166.62,219.42,1.14,0.38,0.5,0.83,,658.95,9.97,0.5,826.56,17.86,0.03,55.4,12.29,583.4,333.23
600178.SH,东安动力,-3204.96,-41.39,2.68,-3.15,-0.05,-0.16,0.02,-18.03,6.22,0.15,-1092.08,1.21,1.62,53.64,扣非亏损,扣非亏损,亏损
600163.SH,中闽能源,20.16,16.42,1.67,6.01,6.35,5.03,1.14,11.13,53.91,39.58,5.05,11.32,,41.04,1.45,2.73,3.17
688186.SH,广大特材,30.1,71.35,0.95,1.22,2.22,2.06,0.33,25.04,15.53,3.29,-39.96,28.91,0.54,63.42,2.47,58.67,13.56
002149.SZ,西部材料,45.53,66.72,2.84,3.39,4.64,3.04,0.95,51.06,22.23,7.43,-23.66,16.84,,48.62,3.96,19.68,9.81
601628.SH,中国人寿,9.23,11.74,2.27,20.39,19.95,,1.52,14.77,,24.79,173.24,0.57,,91.09,20.67,0.58,0.46
603719.SH,良品铺子,206.13,-89.35,2.21,-0.13,0.79,1.11,1.04,417.94,26.84,0.3,-102.59,1.53,0.02,45.61,扣非亏损,扣非亏损,260.93
301116.SZ,益客食品,30.21,-157.3,3.1,7.32,7.83,5.52,,30.24,4.89,1.39,783.99,15.01,,61.67,扣非亏损,扣非转亏,3.86
603275.SH,众辰科技,24.35,30.16,1.9,5.07,5.89,5.75,0.35,9.53,41.22,32.52,-4.48,0.69,,10.19,43.64,5.95,4.13
600016.SH,民生银行,4.19,5.22,0.31,4.84,4.84,,5.78,25.33,,30.21,-9.26,-8.5,,91.6,-0.61,1.08,0.86
600335.SH,国机汽车,25.13,-395.86,0.92,1.87,2.77,1.37,0.06,15.06,7.33,1.12,8.68,-0.13,,69.38,扣非亏损,扣非转亏,9.07
600714.SH,金瑞矿业,82.64,127.47,3.48,3.16,3.22,3.27,,263.62,19.4,9.47,214.52,32.82,,10.38,3.88,40.27,25.66
603933.SH,睿能科技,41.22,50.93,2.54,4.18,4.66,3.24,0.64,12.0,24.55,4.21,42.1,9.43,7.46,41.39,5.4,12.19,8.84
600517.SH,国网英大,17.45,20.61,1.58,6.95,6.98,5.73,1.51,19.97,14.88,39.7,26.59,12.35,0.56,43.77,1.67,2.97,2.5
300140.SZ,节能环境,24.12,32.03,1.55,4.82,4.94,3.46,,42.52,37.8,15.86,220.98,-22.97,1.3,54.42,-1.39,6.65,4.88
301551.SZ,无线传媒,109.25,,11.35,8.29,9.54,8.2,,29.88,53.0,41.27,,-1.12,,7.63,,,11.45
001207.SZ,联科科技,16.14,17.17,2.35,11.08,11.26,8.73,2.93,16.3,19.27,12.24,75.74,25.52,,30.47,0.67,1.55,1.43
603337.SH,杰克股份,16.94,21.05,3.08,12.75,13.99,8.38,2.31,33.38,32.22,13.35,52.67,19.67,,40.31,1.07,1.65,1.21
688075.SH,安旭生物,28.43,-187.83,1.0,0.38,2.62,2.6,0.99,44.08,42.11,33.66,-80.45,76.2,,11.21,扣非亏损,扣非转亏,10.85
688548.SH,广钢气体,55.4,52.2,2.3,2.93,3.14,2.67,0.58,40.81,27.94,12.25,-23.65,24.96,9.61,26.49,2.09,17.83,17.64
834058.BJ,华洋赛车,25.11,25.0,4.57,13.22,13.56,8.46,8.58,62.98,22.6,11.52,73.35,-13.72,,45.3,-1.82,1.89,1.85
600188.SH,兖矿能源,10.35,10.23,2.58,14.35,14.75,6.61,7.52,30.51,34.62,15.56,-22.45,-10.16,0.24,64.19,-1.01,0.71,0.7
