股票代码,股票简称,最新价,最新涨跌幅,所属概念,公司亮点,所属同花顺行业,所属指数类,所属概念数量,a股市值(不含限售股)[20230920],最新dde大单净额,总股本[20230920],市盈率(pe)[20230920],market_code,code
300466.SZ,赛摩智能,7.26,20.000,工业机器人;工业互联网;机器人概念;工业4.0;数字孪生;华为概念;无人机;透明工厂;C2M概念;智能物流;燃料电池;股权转让;地方国企改革;河南国企改革;国企改革;超级电容;数据中心;人工智能;网络安全;换电概念;数据安全,主营为散料工厂智能化提供智能装备及系统解决方案，技术国际领先,机械设备-通用设备-其他通用设备,中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;仪表指数;创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指,21,3049100200.000,136956641.000,535529908.00,127.386,33,300466
300199.SZ,翰宇药业,13.22,19.964,智能医疗;融资融券;多肽药;转融券标的;医保目录;乙肝治疗;互联网医疗;口罩;富时罗素概念股;NMN概念;创投;仿制药一致性评价;辅助生殖;三胎概念;幽门螺杆菌概念;新冠治疗;工业大麻;新冠检测;肝炎概念;新冠疫苗;创新药;粤港澳大湾区;抗原检测;细胞免疫治疗;深股通;流感;新冠特效药;猴痘概念;减肥药,国内多肽药物龙头企业,医药生物-化学制药-化学制剂,中创400;中创500;中小创新;中证A股;中证全指;中证流通;创业300;创业基础;创业板综;制造指数;医药指数;同花顺全A;新指数;深证1000;深证700;深证A指;深证综指,29,8804967000.000,450703034.000,883241336.00,-171.040,33,300199
301548.SZ,崇德科技,79.78,19.431,核电;风电;专精特新;转融券标的;注册制次新股;新股与次新股;融资融券,动压油膜滑动轴承跻身全球市占率前六,机械设备-通用设备-金属制品,创业板综;同花顺全A;深证A指;深证综指,7,1134680460.000,211739980.400,60000000.00,47.569,33,301548
300637.SZ,扬帆新材,11.43,14.529,新材料概念;光刻胶,全球光引发剂及巯基化合物主要生产供应商之一,基础化工-化学制品-其他化学制品,中证A股;中证全指;中证流通;创业板综;制造指数;化学指数;同花顺全A;新指数;深证A指;深证综指,2,2678480300.000,69201848.000,234750130.00,-348.369,33,300637
300044.SZ,赛为智能,4.75,10.723,农村电商;人脸识别;轨道交通;智能建筑;乡村振兴;PPP概念;服务机器人;机器人概念;手机游戏;智慧城市;大数据;华为概念;军工;5G;数据中心;无人机;抖音概念;机器视觉;安防;融资融券;转融券标的;时空大数据;人工智能;数据要素,国内城市轨道交通智能化和建筑智能化的知名品牌,计算机-计算机应用-IT服务,IT指数;中证A股;中证全指;中证流通;创业板综;同花顺全A;新指数;深证A指;深证综指,24,3252871800.000,45842813.800,763869228.00,75.558,33,300044
000813.SZ,德展健康,3.73,10.030,工业大麻;融资融券;转融券标的;仿制药;生物疫苗;仿制药一致性评价;HPV疫苗;化妆护肤品;医美概念;股权转让;NMN概念;CRO概念;创新药;地方国企改革;国企改革;口罩;大消费;深股通;减肥药,国产调/降血脂药物龙头企业,医药生物-化学制药-化学制剂,中证1000;中证1000USD;中证A股;中证全指;中证流通;制造指数;医药指数;同花顺全A;新指数;深证A指;深证综指,19,8074027000.000,123196012.000,2164955990.00,-533.771,33,000813
002333.SZ,罗普斯金,7.46,10.030,苹果概念;铝材加工;有色铝;光伏建筑一体化;股权转让;光伏概念;智慧城市,中高端铝合金门窗型材的研发，生产和销售，业内拥有良好的口碑,建筑材料-建筑材料-其他建材,中小综指;中证A股;中证全指;中证流通;制造指数;同花顺全A;新指数;有色指数;深证A指;深证综指,7,3003120700.000,83106587.000,674924800.00,76.837,33,002333
605398.SH,新炬网络,30.21,10.015,大数据;国产软件;华为概念;数据中心;信创;长三角一体化;金融信息服务;数字经济;人工智能;百度概念;MLOps概念;阿里巴巴概念,第三方运维服务及运维产品为主的IT系统软件服务商,计算机-计算机应用-IT服务,A股指数;上证指数;上证流通;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;同花顺全A;商业指数;新综指,12,1141549770.000,56642972.000,116616489.00,69.813,17,605398
002173.SZ,创新医疗,8.90,10.012,民营医院;三胎概念;医美概念;共同富裕示范区;医疗器械概念;高压氧舱;互联网医疗;脑机接口,公司旗下拥有建华医院、康华医院、福恬医院和明珠医院四家医疗机构,医药生物-医疗服务-其他医疗服务,中小综指;中证A股;中证全指;中证流通;同花顺全A;新指数;深证A指;深证综指,8,3768626400.000,121168661.000,449043052.00,-578.566,33,002173
002552.SZ,宝鼎科技,18.24,10.012,船舶升级概念;小额贷款;军工;新材料概念;海工装备;高端装备;风电;金属回收;PCB概念;地方国企改革;国企改革;深股通;半年报预增,生产及销售大型铸锻件的高新技术企业,电子-半导体及元件-印制电路板,中小综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;制造指数;同花顺全A;新指数;深证A指;深证综指;通用指数,13,5230325400.000,34094518.000,427960242.00,58.038,33,002552
002654.SZ,万润科技,13.08,10.008,参股新三板;节能照明;独角兽概念;柔性屏;华为概念;大数据;ETC;安防;智能家居;MiniLED;快手概念;军工;汽车电子;文化传媒;智慧城市;广告营销;数字营销;智慧灯杆;抖音概念;新能源汽车;比亚迪概念;机器人概念;小米概念;地方国企改革;国企改革;芯片概念;数字经济;人工智能;存储芯片;湖北国企改革;传感器,主营LED光源器件和LED照明产品两大类，国家级高新技术企业,电子-光学光电子-LED,中小综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;同花顺全A;商务指数;新指数;深证A指;深证综指,31,10255720400.000,432915147.000,845302544.00,-814.811,33,002654
003005.SZ,竞业达,31.11,10.007,国产软件;智慧城市;物联网;在线教育;安防;人工智能;职业教育;虚拟现实;云计算;大数据;东数西算（算力）;信创;北京自贸区;京津冀一体化;传感器;雷达;数字孪生;边缘计算;智能交通;百度概念;深股通;数据安全,全国教育考试行业龙头企业，主营教育信息化、城市轨道交通安防信息化,计算机-计算机应用-IT服务,IT指数;中小综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;同花顺全A;新指数;深证A指;深证综指,22,1652378200.000,64957392.000,148400000.00,1067.779,33,003005
