股票代码,股票简称,港股@最新价,港股@最新涨跌幅,港股@所属恒生行业(二级),港股@所属概念,港股@总市值[20230921],港股@流通市值[20230921],港股@所属恒生行业,market_code,code
0120.HK,四海国际,1.580,56.000,地产,"物业投资[HK],香港房地产[HK]",10100146524,10100146524,地产建筑业,177,HK0120
8245.HK,善裕集团控股,0.083,48.214,资讯科技器材,"安防[HK],电讯设备[HK]",59605318.212,59605318.212,资讯科技业,178,HK8245
0377.HK,中国华君,1.670,43.966,工用支援,现代服务业[HK],102776935.25,102776935.25,工业,177,HK0377
2349.HK,中国城市基础设施,0.080,31.148,地产,婴童[HK],250262283.36,250262283.36,地产建筑业,177,HK2349
1536.HK,煜荣集团,0.159,29.268,工业工程,,60420000,60420000,工业,177,HK1536
2416.HK,易点云,9.720,26.144,软件服务,次新股[HK],5581797771.6,5581797771.6,资讯科技业,177,HK2416
0426.HK,万华媒体,0.086,24.638,媒体及娱乐,文化传媒[HK],34477400,34477400,非必需性消费,177,HK0426
8262.HK,宏强控股,0.116,23.404,建筑,,92329040,92329040,地产建筑业,178,HK8262
8232.HK,Classified Gp,0.480,23.077,旅游及消闲设施,餐饮连锁[HK],26760000,26760000,非必需性消费,178,HK8232
1416.HK,CTR Holdings,0.093,22.368,建筑,,130200000,130200000,地产建筑业,177,HK1416
8402.HK,GT Steel Group,1.350,21.622,建筑,,648013500,648013500,地产建筑业,178,HK8402
1315.HK,绿色经济,0.125,21.359,建筑,"建筑节能[HK],现代服务业[HK]",56249993.625,56249993.625,地产建筑业,177,HK1315
8067.HK,东方大学城控股,0.375,20.968,支援服务,教育服务[HK],67500000,67500000,非必需性消费,178,HK8067
0601.HK,稀镁科技,0.160,17.647,一般金属及矿石,,94815216.48,94815216.48,原材料业,177,HK0601
1442.HK,鹰辉物流,1.090,16.842,工用运输,,2249760000,2249760000,工业,177,HK1442
0333.HK,黛丽斯国际,0.385,16.667,纺织及服饰,,115905279.875,115905279.875,非必需性消费,177,HK0333
0765.HK,威发国际,1.340,15.517,家庭电器及用品,"婴童[HK],玩具及消闲用品[HK]",438077633.38000005,438077633.38000005,非必需性消费,177,HK0765
2439.HK,中宝新材,0.970,15.476,工用支援,次新股[HK],970000000,970000000,工业,177,HK2439
1002.HK,威铖国际,0.069,15.000,工业工程,电子信息[HK],159218422.04700002,159218422.04700002,工业,177,HK1002
6833.HK,兴科蓉医药,0.270,14.894,药品及生物科技,医疗器械[HK],548880457.95,548880457.95,医疗保健业,177,HK6833
8619.HK,WAC Holdings,0.040,14.286,建筑,,46080000,46080000,地产建筑业,178,HK8619
0472.HK,新丝路文旅,0.177,14.194,食物饮品,互联网金融[HK],567743726.298,567743726.298,必需性消费,177,HK0472
2415.HK,梅斯健康,6.140,14.100,医疗保健设备和服务,次新股[HK],3728029633,3728029633,医疗保健业,177,HK2415
0379.HK,恒嘉融资租赁,0.081,14.085,其他金融,,136671523.56,136671523.56,金融业,177,HK0379
6611.HK,三巽集团,0.165,13.793,地产,,111462285,111462285,地产建筑业,177,HK6611
0888.HK,贝森金融,0.058,13.726,其他金融,文化传媒[HK],82466627.084,82466627.084,金融业,177,HK0888
0036.HK,远东控股国际,0.087,12.987,地产,,94753317.59099999,94753317.59099999,地产建筑业,177,HK0036
8300.HK,皇玺集团,0.123,12.844,旅游及消闲设施,餐饮连锁[HK],325133280,325133280,非必需性消费,178,HK8300
