股票代码,股票简称,美股@最新价,美股@最新涨跌幅,美股@gics行业(三级),美股@所属概念,美股@总市值[20230919],美股@gics行业(一级),美股@gics行业(二级),美股@gics行业(四级),美股@上市日期,美股@总股本[20230919],美股@流通股[20230919],美股@上市板块,market_code,code
AAPL.O,苹果,179.070,0.618,电脑与外围设备,"人工智能[US],智能穿戴[US],数字音乐[US],AR概念股[US],芯片概念[US],人脸识别[US],流媒体[US],特朗普税改[US],虚拟现实[US],元宇宙[US],指纹技术[US],无人驾驶[US],无线充电[US],科技股[US],BIT概念[US],5G[US],智能家居[US],消费电子[US],明星股[US],高分红概念[US],科技巨头概念[US],巴菲特持股[US],信息技术板块",2799621924240.0,信息技术,技术硬件与设备,电脑硬件、储存设备及电脑周边,19801212,15634232000.0,15634232000.0,Nasdaq Global Select Market,185,AAPL
MSFT.O,微软,328.650,-0.125,软件,"AR概念股[US],人工智能[US],云计算[US],人脸识别[US],特朗普概念[US],特朗普税改[US],AIGC概念[US],搜索引擎[US],元宇宙[US],智慧城市[US],SaaS概念[US],科技股[US],互联网+[US],智能家居[US],云办公[US],网络游戏[US],明星股[US],ESG概念[US],高分红概念[US],华为海外供应商[US],盖茨持股[US],信息技术板块",2441791847235.3,信息技术,软件与服务,系统软件,19860313,7429763722.0,7429763722.0,Nasdaq Global Select Market,185,MSFT
GOOG.O,谷歌C,138.830,-0.094,互动媒体与服务,"网络视频[US],量子通信[US],搜索引擎[US],人工智能[US],AIGC概念[US],元宇宙[US],智慧城市[US],科技股[US],云办公[US],明星股[US],科技巨头概念[US],互联网板块",1750507470000.0,通讯业务,媒体与娱乐,互动媒体与服务,20140403,12609000000.0,12609000000.0,Nasdaq Global Select Market,185,GOOG
GOOGL.O,谷歌A,138.040,-0.123,互动媒体与服务,"人工智能[US],无人驾驶[US],云计算[US],流媒体[US],特朗普税改[US],虚拟现实[US],AIGC概念[US],智能穿戴[US],AR概念股[US],人形机器人[US],科技股[US],BIT概念[US],智能家居[US],明星股[US],工业互联网[US],机器人,互联网板块",1740546360000.0,通讯业务,媒体与娱乐,互动媒体与服务,20040819,12609000000.0,12609000000.0,Nasdaq Global Select Market,185,GOOGL
AMZN.O,亚马逊,137.630,-1.679,多品类零售,"人工智能[US],电子商务[US],云计算[US],新零售[US],流媒体[US],元宇宙[US],科技股[US],无人机[US],智能家居[US],明星股[US],巴菲特持股[US],科技巨头概念[US],平台经济[US],工业互联网[US],互联网板块",1420032042053.5,非日常生活消费品,非必需消费品分销和零售,多品类零售,19970515,10317750796.0,10317750796.0,Nasdaq Global Select Market,185,AMZN
NVDA.O,英伟达,435.200,-1.014,半导体产品与设备,"大数据[US],区块链[US],半导体[US],先进封装（Chiplet）[US],人工智能[US],AIGC概念[US],元宇宙[US],物联网[US],科技股[US],无人机[US],数据中心[US],明星股[US],ESG概念[US],美股概念板块",1074944000000.0,信息技术,半导体产品与设备,半导体产品,19990122,2470000000.0,2470000000.0,Nasdaq Global Select Market,185,NVDA
TSLA.O,特斯拉,266.500,0.460,汽车,"新能源汽车[US],锂电池[US],汽车制造[US],新能源[US],无人驾驶[US],人形机器人[US],马斯克概念[US],科技股[US],新能源汽车[US],明星股[US],美股概念板块,工业互联网[US]",845869525455.5,非日常生活消费品,汽车与汽车零部件,汽车制造商,20100629,3173994467.0,3173994467.0,Nasdaq Global Select Market,185,TSLA
BRK.A.N,伯克希尔哈撒韦 A,562719.970,0.049,保险,"明星股[US],金融板块",814972844315.56,金融,保险,多元化保险,19881129,1447366.8453,1447366.8453,主板,169,BRK.A
BRK.B.N,伯克希尔哈撒韦 B,370.570,0.014,金融服务,"明星股[US],金融板块",804330703288.64,金融,金融服务,多领域控股,19960509,2171050268.0,2171050268.0,主板,169,BRK.B
META.O,Meta,305.070,0.833,互动媒体与服务,"移动互联网[US],虚拟现实[US],人工智能[US],人脸识别[US],流媒体[US],AIGC概念[US],元宇宙[US],科技股[US],互联网+[US],云办公[US],区块链[US],社交媒体[US],工业互联网[US],明星股[US],科技巨头概念[US],互联网板块",784994340061.11,通讯业务,媒体与娱乐,互动媒体与服务,20120518,2573161373.0,2573161373.0,Nasdaq Global Select Market,185,META
LLY.N,礼来,574.890,0.644,制药,"生物医药[US],明星股[US],减肥药[US],阿尔茨海默病[US],高分红概念[US],抗疫概念[US],医疗保健板块",545806752668.08,医疗保健,制药、生物科技和生命科学,制药,19700709,949295173.0,949295173.0,主板,169,LLY
XOM.N,埃克森美孚,117.330,-0.264,石油、天然气与消费用燃料,"油气开采[US],特朗普税改[US],油气装备[US],特朗普概念[US],明星股[US],高分红概念[US],能源板块",467736171247.08,能源,能源,综合性石油与天然气企业,19200325,3986501076.0,3986501076.0,主板,169,XOM
TSM.N,台积电,88.180,-0.743,半导体产品与设备,"半导体[US],集成电路[US],明星股[US],先进封装（Chiplet）[US],MR（混合现实）[US],台资中概股[US],元宇宙[US],苹果概念股[US],科技股[US],中概股指数[US],高分红概念[US],热门中概股[US],华为海外供应商[US],信息技术板块",457286140014.0,信息技术,半导体产品与设备,半导体产品,19971008,5186414200.0,5186414200.0,主板,169,TSM
V.N,维萨,243.590,-0.450,金融服务,"信用支付[US],巴菲特持股[US],移动支付[US],科技股[US],明星股[US],高分红概念[US],信息技术板块",453469893126.16,金融,金融服务,交易与支付处理服务,20080319,1861840586.0,1861840586.0,主板,169,V
UNH.N,联合健康,480.640,-1.111,医疗保健提供商与服务,"健康产业[US],明星股[US],医疗保险[US],高分红概念[US],医疗保健板块",445237828111.74,医疗保健,医疗保健设备与服务,管理型保健护理,19841019,926305139.0,926305139.0,主板,169,UNH
WMT.N,沃尔玛,163.370,-0.025,日常消费品分销和零售,"电子商务[US],新零售[US],明星股[US],高分红概念[US],美股概念板块,盖茨持股[US]",439747701813.0,日常消费品,日常消费品分销和零售,日常消费品零售,19701001,2691563850.0,2691563850.0,主板,169,WMT
JPM.N,摩根大通,148.920,-0.127,商业银行,"财产管理[US],明星股[US],高分红概念[US],金融板块",432803279707.89,金融,银行,综合性银行,19690305,2906085273.0,2906085273.0,主板,169,JPM
JNJ.N,强生,162.250,-0.166,制药,"健康产业[US],特朗普税改[US],巴菲特持股[US],明星股[US],高分红概念[US],抗疫概念[US],医疗保健板块",421552868146.8,医疗保健,制药、生物科技和生命科学,制药,19440925,2598969594.0,2598969594.0,主板,169,JNJ
NVO.N,诺和诺德,187.010,0.236,制药,"减肥药[US],明星股[US],高分红概念[US],医疗保健板块",418421741974.35,医疗保健,制药、生物科技和生命科学,制药,19810709,2236951307.0,2236951307.0,主板,169,NVO
MA.N,万事达,413.440,-0.863,金融服务,"巴菲特持股[US],移动支付[US],信用支付[US],科技股[US],明星股[US],高分红概念[US],美股概念板块",389633070200.79,金融,金融服务,交易与支付处理服务,20060525,942212343.0,942212343.0,主板,169,MA
