market,tv_exchange,investing_exchange,yahoo_suffix
america,NASDAQ,NASDAQ,
america,NYSE,NYSE,
america,OTC,OTC Markets,
america,AMEX,NYSE Amex,
argentina,BCBA,Buenos Aires,BA
australia,ASX,Sydney,AX
austria,VIE,Vienna,VI
bahrain,BAHRAIN,Bahrain,
bangladesh,DSEBD,DSE,
belgium,EURONEXT,Brussels,BR
brazil,BMFBOVESPA,BM&FBovespa ,SA
canada,NEO,CBOE Canada,NE
canada,TSX,Toronto,TO
canada,TSXV,TSXV,V
canada,CSE,CSE,CN
chile,BCS,Santiago,SN
china,SSE,Shanghai,SS
china,SZSE,Shenzhen,SZ
colombia,BVC,Colombia,CL
cyprus,CSECY,Cyprus,
czech,PSECZ,Prague,PR
denmark,OMXCOP,Copenhagen,CO
egypt,EGX,Egypt,
estonia,OMXTSE,Tallinn,TL
finland,OMXHEX,Helsinki,HE
france,EURONEXT,Paris,PA
germany,BER,Berlin,BE
germany,XETR,Xetra,DE
germany,TRADEGATE,TradeGate,
germany,SWB,Stuttgart,SG
germany,MUN,Munich,MU
germany,DUS,Dusseldorf,DU
germany,HAN,,HA
germany,HAM,Hamburg,HM
germany,FWB,Frankfurt,F
greece,ATHEX,Athens,AT
hongkong,HKEX,Hong Kong,HK
hungary,BET,Budapest,BD
iceland,OMXICE,Iceland,IC
india,BSE,BSE,BO
india,NSE,NSE,NS
indonesia,IDX,Jakarta,JK
israel,TASE,Tel Aviv,TA
italy,MIL,Milan,MI
japan,TSE,Tokyo,T
japan,NAG,,
japan,FSE,,
japan,SAPSE,,
kenya,NSEKE,Kenya,
korea,KRX,Seoul,KS
korea,KRX,KOSDAQ,KQ
korea,KRX,KONEX,
ksa,TADAWUL,Saudi Arabia,SR
kuwait,KSE,Kuwait City,KW
latvia,OMXRSE,NASDAQ OMX Riga,RG
lithuania,OMXVSE,Vilnius,VS
luxembourg,LUXSE,Luxembourg,
malaysia,MYX,Kuala Lumpur,KL
mexico,BMV,Mexico,MX
morocco,CSEMA,,
netherlands,EURONEXT,Amsterdam,AS
newzealand,NZX,New Zealand,NZ
nigeria,NSENG,,
norway,OSL,Oslo,OL
pakistan,PSX,,
peru,BVL,,
philippines,PSE,Philippines,
poland,GPW,Warsaw,WA
poland,NEWCONNECT,,
portugal,EURONEXT,Lisbon,LS
qatar,QSE,Doha,QA
romania,BVB,,
rsa,JSE,Johannesburg,JO
russia,MOEX,Moscow,
serbia,BELEX,,
singapore,SGX,Singapore,SI
slovakia,BSSE,,
spain,BME,Madrid,MC
srilanka,CSELK,,
sweden,OMXSTO,Stockholm,ST
sweden,NGM,NGM,
switzerland,SIX,Switzerland,SW
taiwan,TWSE,Taiwan,TW
taiwan,TPEX,TPEX,TWO
thailand,SET,Thailand,BK
tunisia,BVMT,,
turkey,BIST,Istanbul,IS
uae,ADX,Abu Dhabi,AE
uae,DFM,Dubai,AE
uae,NASDAQDUBAI,,
uk,LSIN,,IL
uk,LSE,London,L
venezuela,BVCV,,
vietnam,HOSE,Ho Chi Minh,VN
vietnam,UPCOM,,
vietnam,HNX,Ho Chi Minh,VN
