交易代号,交易名称,证券名称,市值（百万元）,板块,GTI 得分
PJX,Murata Yen1k,Murata Yen1k,5466661.5,Technology Equipment,
N33,Nomura Yen1k,Nomura Yen1k,1715283.625,Banking & Investment Services,
EMI,Emperador Inc. ,皇胜酒业,329679.063,Food & Beverages,
M12,Maruwa Yen1k,Maruwa Yen1k,271936.563,Technology Equipment,
S2D,Tosei ,东诚,87387.422,Real Estate,
D05,DBS ,星展,79362.234,Banking & Investment Services,115
O39,OCBC Bank ,华侨银行,54404.434,Banking & Investment Services,111
Q0F,IHH ,IHH医疗保健,50992.48,Healthcare Services,
U11,UOB ,大华银行,46194.297,Banking & Investment Services,113
Z74,Singtel ,新电信,40956.293,Telecommunications Services,114
O6Z,Lonza ,龙沙,39096.094,Pharmaceuticals & Medical Research,
K6S,Prudential USD ,英國保誠,28391.98,Insurance,
NC2,Sri Trang Agro ,诗董橡胶,26419.199,Automobiles & Auto Parts,61
F34,Wilmar Intl ,丰益国际,23373.734,Food & Beverages,95
C6L,SIA ,新加坡航空公司,21795.619,Transportation,95
S07,Shangri-La HKD ,香格里拉亚洲,21096.904,Cyclical Consumer Services,
STG,Sri Trang Gloves,Sri Trang Gloves,20486.037,Healthcare Services,
NIO,NIO Inc. USD OV ,蔚来,16929.426,Automobiles & Auto Parts,
9CI,CapitaLandInvest ,凯德投资,16754.291,Real Estate,99
Y92,ThaiBev ,泰国酿酒,14506.133,Food & Beverages,73
J36,JMH USD ,怡和,14253.881,Consumer Goods Conglomerates,
C07,Jardine C&C ,怡和合发,13267.28,Automobiles & Auto Parts,96
C38U,CapLand IntCom T ,凯德商用新加坡信托,12371.942,Real Estate,107.2
BN4,Keppel Corp ,吉宝企业,11742.598,Consumer Goods Conglomerates,110
A17U,CapLand Ascendas REIT ,凯德腾飞房产信托,11722.723,Real Estate,108.7
G13,Genting Sing ,云顶新加坡,11247.445,Cyclical Consumer Services,88
S63,ST Engineering ,新科工程,11147.308,Industrial Goods,96
S68,SGX ,新加坡交易所,9944.842,Banking & Investment Services,113
U96,Sembcorp Ind ,胜科工业,9491.879,Utilities,110
S51,Seatrium ,海庭,8529.647,Industrial Goods,97
H78,HongkongLand USD ,置地,8437.984,Real Estate,
G07,Great Eastern ,大东方,8339.882,Insurance,103
N2IU,Mapletree PanAsia Com Tr ,丰树泛亚商业信托,8336.92,Real Estate,77
M44U,Mapletree Log Tr ,丰树物流信托,7958.707,Real Estate,86.4
BVA,Top Glove ,顶级手套,6976.73,Healthcare Services,
ME8U,Mapletree Ind Tr ,丰树工业信托,6175.89,Real Estate,83.6
C09,CityDev ,城市发展,6146.877,Real Estate,113
BS6,YZJ Shipbldg SGD ,扬子江船业,5834.125,Industrial Goods,64
U14,UOL ,华业,5492.079,Real Estate,96
VC2,Olam Group,Olam Group,5341.249,Food & Beverages,84
BUOU,Frasers L&C Tr ,星狮物流工业信托,4542.37,Real Estate,101.9
V03,Venture ,创业公司,4231.146,Technology Equipment,91
S58,SATS ,新翔,3926.984,Transportation,122
AJBU,Keppel DC Reit ,吉宝数据中心房地产信托,3681.885,Real Estate,93
HMN,CapLand Ascott T ,凯德雅诗阁信托,3671.037,Real Estate,110.6
J69U,Frasers Cpt Tr ,星狮地产信托,3654.379,Real Estate,77.1
T82U,Suntec Reit ,新达产业信托,3641.197,Real Estate,74.1
T14,TJ DaRenTang USD ,津药达仁堂股份,3620.019,Pharmaceuticals & Medical Research,59
D01,DFIRG USD ,牛奶国际,3600.711,Food & Drug Retailing,
