,持股日期,股票代码,股票简称,当日收盘价,当日涨跌幅,持股数量,持股市值,持股数量占发行股百分比,持股市值变化-1日,持股市值变化-5日,持股市值变化-10日
0,2023-03-13,002646,天佑德酒,15.77,1.15,178.54,2815.55,0.38,-4223116.24,-5920628.31,-15743207.15
1,2023-03-13,300083,创世纪,8.54,-0.58,613.3,5237.54,0.37,-5012249.65,-3959660.6,551425.42
2,2023-03-13,300653,正海生物,47.8,0.8,169.52,8103.24,0.94,-3901253.66,-18371759.6,-41010657.43
3,2023-03-13,000791,甘肃能源,5.23,-0.19,610.53,3193.07,0.38,,,
4,2023-03-13,300113,顺网科技,13.06,3.24,612.03,7993.11,0.88,-2106663.23,-26065442.25,23195062.22
5,2023-03-13,000550,江铃汽车,14.16,-1.6,832.55,11788.96,0.96,-6785889.2,-28678308.54,-40207668.3
6,2023-03-13,000680,山推股份,4.76,1.28,2452.37,11673.28,1.63,,,
7,2023-03-13,000795,英洛华,6.87,-1.01,566.43,3891.37,0.5,,,
8,2023-03-13,300775,三角防务,36.92,-0.86,207.08,7645.33,0.38,-5414474.24,-29967791.06,-21604354.16
9,2023-03-13,000883,湖北能源,4.43,0.0,3998.34,17712.64,0.61,-4544803.45,-10094565.69,11899984.45
10,2023-03-13,002004,华邦健康,5.35,-0.56,2423.16,12963.89,1.22,,,
11,2023-03-13,300088,长信科技,6.59,0.46,3326.39,21920.94,1.36,-3287224.47,-12562073.5,-2859585.77
12,2023-03-13,000046,泛海控股,1.19,-2.46,4364.84,5194.16,0.84,-5611782.14,-6965238.64,-8434134.96
13,2023-03-13,002537,海联金汇,7.97,1.92,547.32,4362.14,0.47,-3368194.9,-19435675.0,382655.64
14,2023-03-13,300352,北信源,5.29,2.32,1180.02,6242.28,0.81,-2814064.7,21915100.78,26149082.37
15,2023-03-13,000927,中国铁物,3.03,1.68,4871.34,14760.17,0.81,,,
16,2023-03-13,000982,中银绒业,1.76,-1.12,2014.49,3545.5,0.47,-4915039.38,-7437832.41,-10689126.18
17,2023-03-13,002714,牧原股份,47.92,2.04,15039.51,720693.23,2.75,140194437.36,-821522839.93,-1001822847.3
18,2023-03-13,002378,章源钨业,8.16,1.24,880.88,7187.97,0.95,-3437185.6,17995799.01,1651844.76
19,2023-03-13,000090,天健集团,5.6,0.54,2871.39,16079.78,1.54,,,
20,2023-03-13,002055,得润电子,9.46,-1.87,1533.71,14508.87,2.54,,,
21,2023-03-13,300738,奥飞数据,15.01,6.0,363.29,5453.04,0.53,-1994439.04,10237768.16,-12426312.49
22,2023-03-13,002957,科瑞技术,18.68,0.48,773.43,14447.61,1.88,-4350357.46,4418680.36,-1499417.91
23,2023-03-13,002065,东华软件,6.9,3.76,6827.84,47112.11,2.13,12071810.05,19791795.82,48936965.61
24,2023-03-13,000878,云南铜业,12.49,2.38,7815.28,97612.82,3.9,,,
25,2023-03-13,003012,东鹏控股,8.77,1.27,754.05,6613.05,0.64,-4627527.24,-24140258.94,-27129228.04
26,2023-03-13,002158,汉钟精机,25.91,-0.38,3401.53,88133.75,6.36,-8896796.95,-77112743.93,-48357543.98
27,2023-03-13,300820,英杰电气,99.3,4.53,22.98,2281.99,0.16,-4260195.6,-32824448.8,-23750132.52
28,2023-03-13,300355,蒙草生态,3.32,-0.9,1123.2,3729.02,0.7,-5838084.7,-11078791.2,-5716438.28
29,2023-03-13,000902,新洋丰,11.58,-0.09,942.87,10918.45,0.72,-5106034.94,-7949045.82,-101941333.08
30,2023-03-13,002258,利尔化学,17.76,-0.34,907.55,16118.12,1.13,-5449628.64,-11482417.6,-116190785.52
31,2023-03-13,000881,中广核技,8.33,0.12,741.98,6180.73,0.78,,,
32,2023-03-13,002506,协鑫集成,3.01,-0.66,6463.48,19455.09,1.1,-6180629.07,-59840111.85,-110199454.93
33,2023-03-13,000600,建投能源,5.4,-1.1,2054.42,11093.87,1.15,-6148082.7,-26456363.55,-2357915.32
34,2023-03-13,300454,深信服,147.6,2.49,1414.62,208798.64,3.39,46823872.98,58431488.14,122068639.98
35,2023-03-13,000612,焦作万方,5.55,0.54,1329.26,7377.39,1.12,,,
36,2023-03-13,002643,万润股份,17.44,1.04,1135.22,19798.3,1.22,-2883619.68,-22195067.57,-37169294.46
37,2023-03-13,000528,柳工,6.85,0.74,5740.22,39320.52,2.94,-2058596.7,-158061.2,25207880.74
38,2023-03-13,000762,西藏矿业,38.68,-0.46,238.4,9221.4,0.46,,,
39,2023-03-13,300408,三环集团,31.12,2.1,8305.12,258455.31,4.33,49672525.36,13613231.32,63383535.77
40,2023-03-13,300463,迈克生物,18.74,-1.21,1800.53,33741.99,2.94,-7747384.96,15039150.7,80078431.0
41,2023-03-13,002505,鹏都农牧,2.77,0.0,16279.84,45095.15,2.55,-3497679.0,-44907129.33,-41839186.45
42,2023-03-13,000729,燕京啤酒,13.15,3.38,11188.69,147131.3,3.97,,,
43,2023-03-13,002945,华林证券,14.07,-0.85,428.51,6029.09,0.16,-4157121.84,-19941615.25,-26917390.23
44,2023-03-13,300316,晶盛机电,68.45,-1.01,10566.47,723274.73,8.07,-71563142.6,139348356.55,180799150.84
45,2023-03-13,000935,四川双马,22.01,-0.81,473.81,10428.58,0.62,-4572880.34,-33773129.74,-66491426.39
46,2023-03-13,300772,运达股份,14.68,-1.08,811.26,11909.3,1.16,-4956922.04,-11963732.46,-22385397.02
47,2023-03-13,301047,义翘神州,104.78,-1.71,39.81,4171.65,0.31,,,
48,2023-03-13,300477,合纵科技,5.45,-0.91,156.36,852.17,0.15,-3574530.65,1765128.45,-7596349.66
49,2023-03-13,000420,吉林化纤,4.45,1.6,922.46,4104.97,0.38,,,
50,2023-03-13,002993,奥海科技,36.83,-0.38,131.31,4836.15,0.48,-3483850.42,-9197729.66,-9846349.71
51,2023-03-13,002913,奥士康,30.35,0.86,90.39,2743.42,0.28,-2966554.72,-17876396.77,-18280304.4
52,2023-03-13,002249,大洋电机,5.24,-1.13,2509.57,13150.13,1.05,-4772273.06,-36803478.66,-65644284.12
53,2023-03-13,002491,通鼎互联,5.26,0.19,1915.76,10076.88,1.56,-3135349.39,-21395194.06,14615113.42
54,2023-03-13,300024,机器人,10.43,1.46,3791.55,39545.91,2.45,2304573.79,34791060.43,40588810.05
55,2023-03-13,002837,英维克,30.2,-0.33,791.18,23893.69,1.82,-4219142.1,37706547.08,42032593.44
56,2023-03-13,300284,苏交科,6.05,0.17,1154.92,6987.26,0.91,-3266304.1,-20983706.8,6308738.47
57,2023-03-13,002206,海利得,6.11,0.66,967.6,5912.06,0.83,-2984236.16,1264118.78,1021209.16
58,2023-03-13,000875,吉电股份,5.74,0.53,1305.39,7492.92,0.47,,,
59,2023-03-13,002011,盾安环境,13.15,0.31,165.93,2181.97,0.16,-4060892.22,-18510084.3,9407387.4
60,2023-03-13,002191,劲嘉股份,7.53,-0.79,2533.82,19079.65,1.72,-5698448.88,-17934558.0,-22720427.25
