证券代码,股票简称,流通市值,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
600153.SH,建发股份,274.01,17.89,17.45,0.49,1.37,1.35,0.55,2.16,0.0,-25.34,0.39,74.27,3.81,44.25,25.54,26.51,3.85
600170.SH,上海建工,268.36,16.62,109.94,0.85,0.87,2.52,0.89,,0.0,-46.77,2.27,85.54,3.28,48.34,252.42,13.19,3.28
600918.SH,中泰证券,244.97,28.51,29.53,1.29,3.0,3.11,,,0.0,163.1,-2.29,80.63,3.16,-12.87,19.71,18.33,3.21
600325.SH,华发股份,111.19,81.51,-21.38,0.59,0.42,0.52,0.66,0.47,33.33,-93.54,6.01,69.72,3.12,扣非亏损,危险信号,156.76,3.1
603093.SH,南华期货,129.58,32.53,33.85,3.47,8.27,8.27,,,0.0,-1.16,-17.37,93.13,3.06,-1.95,8.19,7.87,3.18
300999.SZ,金龙鱼,171.48,46.75,62.28,1.78,2.12,2.89,2.09,,0.0,745.88,2.16,56.22,2.94,28.87,58.64,32.35,2.96
601083.SH,锦江航运,23.45,9.9,10.67,1.71,13.15,13.18,13.56,1.79,32.79,70.77,5.89,18.57,2.73,1.81,0.81,0.75,3.96
300226.SZ,上海钢联,84.74,39.46,80.18,4.11,4.9,8.09,1.48,0.2,13.45,-2.03,7.79,85.89,2.44,10.29,16.36,4.88,2.5
002060.SZ,广东建工,65.17,21.03,14.23,1.14,3.99,4.05,0.99,,0.0,-14.84,0.04,89.2,2.29,376.04,7.13,10.38,2.43
600061.SH,国投资本,466.76,12.27,13.73,0.87,5.12,5.3,1.38,,0.0,38.32,24.51,81.31,2.16,0.56,5.37,4.63,2.35
600502.SH,安徽建工,85.83,7.96,7.53,0.77,4.62,5.15,1.36,2.13,0.0,-13.74,10.65,86.36,2.03,0.71,3.26,3.09,2.34
601186.SH,中国铁建,863.89,5.16,4.99,0.37,4.14,4.84,1.43,,0.0,-6.14,1.69,79.14,2.0,2.96,2.41,2.13,2.41
