,0,1,2,3,4,5,6,7,8,9
0,,<a href='/en/product/equities/FR0010285965-ALXP/1000mercis/almil/quotes' data-order='1000MERCIS' data-title-hover='1000MERCIS'>1000MERCIS</a>,FR0010285965,ALMIL,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>27.80</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>2.21%</span></div>,"<div class='text-right pointer tooltipDesign' >10:48 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">27.80</div>","<div class=""text-right"">17 Jul 2023</div>"
1,,<a href='/en/product/equities/BMG9156K1018-XOSL/2020-bulkers/2020/quotes' data-order='2020 BULKERS' data-title-hover='2020 BULKERS'>2020 BULKERS</a>,BMG9156K1018,2020,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>98.85</span></div>,<div class='text-right pd_percent'><span class=red>-1.25%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">98.85</div>","<div class=""text-right"">17 Jul 2023</div>"
2,,<a href='/en/product/equities/FR0013341781-ALXP/2crsi/al2si/quotes' data-order='2CRSI' data-title-hover='2CRSI'>2CRSI</a>,FR0013341781,AL2SI,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.605</span></div>,<div class='text-right pd_percent'><span class=red>-0.31%</span></div>,"<div class='text-right pointer tooltipDesign' >14:49 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.605</div>","<div class=""text-right"">17 Jul 2023</div>"
3,,<a href='/en/product/equities/IT0005204729-EXGM/4aim-sicaf/aim/quotes' data-order='4AIM SICAF' data-title-hover='4AIM SICAF'>4AIM SICAF</a>,IT0005204729,AIM,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>181.00</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >16:45 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">181.00</div>","<div class=""text-right"">17 Jul 2023</div>"
4,,<a href='/en/product/equities/IT0005440323-EXGM/4aim-sicaf-comp-2/aim2/quotes' data-order='4AIM SICAF COMP 2' data-title-hover='4AIM SICAF COMPARTO 2 CROWDFUNDING'>4AIM SICAF COMP 2</a>,IT0005440323,AIM2,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>275.60</span></div>,<div class='text-right pd_percent'><span class=red>-1.92%</span></div>,"<div class='text-right pointer tooltipDesign' >05 Apr 2023<span class=""tooltiptext"">11:18 CEST</span></div>","<div class=""text-right"">275.60</div>","<div class=""text-right"">17 Jul 2023</div>"
5,,<a href='/en/product/equities/DK0060945467-XOAS/5th-planet-games/5pg/quotes' data-order='5TH PLANET GAMES' data-title-hover='5TH PLANET GAMES'>5TH PLANET GAMES</a>,DK0060945467,5PG,<div class='nowrap pointer' title='Euronext Expand Oslo' >XOAS</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>2.085</span></div>,<div class='text-right pd_percent'><span class=red>-1.65%</span></div>,"<div class='text-right pointer tooltipDesign' >16:19 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">2.085</div>","<div class=""text-right"">17 Jul 2023</div>"
6,,<a href='/en/product/equities/IT0005439861-EXGM/abp-nocivelli/abp/quotes' data-order='A.B.P. NOCIVELLI' data-title-hover='A.B.P. NOCIVELLI'>A.B.P. NOCIVELLI</a>,IT0005439861,ABP,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>3.76</span></div>,<div class='text-right pd_percent'><span class=red>-2.08%</span></div>,"<div class='text-right pointer tooltipDesign' >10:12 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">3.76</div>","<div class=""text-right"">17 Jul 2023</div>"
7,,<a href='/en/product/equities/FR0000076887-ALXP/ast-groupe/alast/quotes' data-order='A.S.T. GROUPE' data-title-hover='A.S.T. GROUPE'>A.S.T. GROUPE</a>,FR0000076887,ALAST,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.19</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.71%</span></div>,"<div class='text-right pointer tooltipDesign' >14:03 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.19</div>","<div class=""text-right"">17 Jul 2023</div>"
8,,<a href='/en/product/equities/IT0001233417-MTAA/a2a/a2a/quotes' data-order='A2A' data-title-hover='A2A'>A2A</a>,IT0001233417,A2A,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.661</span></div>,<div class='text-right pd_percent'><span class=red>-0.54%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.661</div>","<div class=""text-right"">17 Jul 2023</div>"
9,,<a href='/en/product/equities/IT0001233417-MTAH/a2a/2a2a/quotes' data-order='A2A' data-title-hover='A2A'>A2A</a>,IT0001233417,2A2A,<div class='nowrap pointer' title='Trading After Hours' >MTAH</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.6725</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.15%</span></div>,"<div class='text-right pointer tooltipDesign' >14 Jul 2023<span class=""tooltiptext"">19:51 CEST</span></div>","<div class=""text-right"">1.661</div>","<div class=""text-right"">17 Jul 2023</div>"
