,code,name,ISIN,symbol,exchange_code,currency,last_price,change,last_traded_at,close_price,trading_date
0,FR0010285965-ALXP,1000MERCIS,FR0010285965,ALMIL,['ALXP'],EUR,28.40,2.90%,17:35 CEST19 Jul 2023,28.40,19 Jul 2023
1,BMG9156K1018-XOSL,2020 BULKERS,BMG9156K1018,2020,['XOSL'],NOK,99.15,-0.35%,16:25 CEST19 Jul 2023,99.15,19 Jul 2023
2,FR0013341781-ALXP,2CRSI,FR0013341781,AL2SI,['ALXP'],EUR,1.795,15.06%,17:38 CEST19 Jul 2023,1.795,19 Jul 2023
3,IT0005204729-EXGM,4AIM SICAF,IT0005204729,AIM,['EXGM'],EUR,184.80,2.10%,15:59 CEST19 Jul 2023,184.80,19 Jul 2023
4,IT0005440323-EXGM,4AIM SICAF COMP 2,IT0005440323,AIM2,['EXGM'],EUR,275.60,-1.92%,05 Apr 202311:18 CEST,275.60,19 Jul 2023
5,DK0060945467-XOAS,5TH PLANET GAMES,DK0060945467,5PG,['XOAS'],NOK,2.065,-0.96%,16:18 CEST19 Jul 2023,2.065,19 Jul 2023
6,IT0005439861-EXGM,A.B.P. NOCIVELLI,IT0005439861,ABP,['EXGM'],EUR,3.76,-2.08%,17 Jul 202310:12 CEST,3.76,19 Jul 2023
7,FR0000076887-ALXP,A.S.T. GROUPE,FR0000076887,ALAST,['ALXP'],EUR,1.20,-,17:35 CEST19 Jul 2023,1.20,19 Jul 2023
8,IT0001233417-MTAA,A2A,IT0001233417,A2A,['MTAA'],EUR,1.68,0.93%,17:35 CEST19 Jul 2023,1.68,19 Jul 2023
9,IT0001233417-MTAH,A2A,IT0001233417,2A2A,['MTAH'],EUR,1.679,-0.06%,19:35 CEST19 Jul 2023,1.679,19 Jul 2023
10,NL0000852564-XAMS,AALBERTS NV,NL0000852564,AALB,['XAMS'],EUR,39.33,1.50%,17:35 CEST19 Jul 2023,39.33,19 Jul 2023
11,NO0010672181-MERK,AASEN SPAREBANK,NO0010672181,AASB,['MERK'],NOK,113.00,0.89%,17 Jul 202316:17 CEST,113.00,19 Jul 2023
12,IT0005548521-EXGM,AATECH,IT0005548521,AAT,['EXGM'],EUR,1.47,-2.00%,17:27 CEST19 Jul 2023,1.47,19 Jul 2023
13,BE0974293251-XBRU,AB INBEV,BE0974293251,ABI,['XBRU'],EUR,52.00,1.01%,17:38 CEST19 Jul 2023,52.00,19 Jul 2023
14,FR0010557264-XPAR,AB SCIENCE,FR0010557264,AB,['XPAR'],EUR,4.065,2.39%,17:35 CEST19 Jul 2023,4.065,19 Jul 2023
15,BE0946377455-VPXB,ABATTOIR,BE0946377455,,['VPXB'],EUR,47.70,-10.00%,24 Jan 201711:30 CET,47.80,19 Jul 2023
16,FR0004040608-XPAR,ABC ARBITRAGE,FR0004040608,ABCA,['XPAR'],EUR,5.81,-0.17%,17:35 CEST19 Jul 2023,5.81,19 Jul 2023
17,IT0005466294-EXGM,ABC COMPANY,IT0005466294,ABC,['EXGM'],EUR,3.38,-0.59%,27 Jun 202317:35 CEST,3.38,19 Jul 2023
18,FR0013185857-XPAR,ABEO,FR0013185857,ABEO,['XPAR'],EUR,17.45,-0.29%,15:39 CEST19 Jul 2023,17.45,19 Jul 2023
19,NO0003021909-XOSL,ABG SUNDAL COLLIER,NO0003021909,ABG,['XOSL'],NOK,5.84,5.04%,16:25 CEST19 Jul 2023,5.84,19 Jul 2023
20,FR0012616852-XPAR,ABIONYX PHARMA,FR0012616852,ABNX,['XPAR'],EUR,1.242,-,17:16 CEST19 Jul 2023,1.242,19 Jul 2023
21,IT0005445280-MTAA,ABITARE IN,IT0005445280,ABT,['MTAA'],EUR,5.56,-2.46%,17:35 CEST19 Jul 2023,5.56,19 Jul 2023
22,FR0012333284-XPAR,ABIVAX,FR0012333284,ABVX,['XPAR'],EUR,16.56,2.22%,17:36 CEST19 Jul 2023,16.56,19 Jul 2023
23,FR001400AHX6-XPAR,ABL Diagnostics,FR001400AHX6,ABLD,['XPAR'],EUR,8.80,-,11:30 CEST19 Jul 2023,8.80,19 Jul 2023
24,NO0010715394-XOSL,ABL GROUP,NO0010715394,ABL,['XOSL'],NOK,15.50,0.65%,12:56 CEST19 Jul 2023,15.50,19 Jul 2023
25,NL0011540547-XAMS,ABN AMRO BANK N.V.,NL0011540547,ABN,['XAMS'],EUR,15.245,0.03%,17:35 CEST19 Jul 2023,15.245,19 Jul 2023
26,BE0974278104-XBRU,ABO GROUP,BE0974278104,ABO,"['XBRU', ' XPAR']",EUR,6.95,-2.11%,17:16 CEST19 Jul 2023,6.95,19 Jul 2023
