,0,1,2,3,4,5,6,7,8,9,10,11
0,FR0010285965-ALXP,40,Consumer Discretionary,4030,Media,403010,Media,40301020,Media Agencies,,,
1,BMG9156K1018-XOSL,50,Industrials,5020,Industrial Goods and Services,502060,Industrial Transportation,50206030,Marine Transportation,,,
2,FR0013341781-ALXP,10,Technology,1010,Technology,101010,Software and Computer Services,10101010,Computer Services,,,
3,IT0005204729-EXGM,30,Financials,3020,Financial Services,302040,Closed End Investments,30204000,Closed End Investments,,,
4,IT0005440323-EXGM,30,Financials,3020,Financial Services,302040,Closed End Investments,30204000,Closed End Investments,,,
5,DK0060945467-XOAS,40,Consumer Discretionary,4020,Consumer Products and Services,402030,Leisure Goods,40203045,Toys,,,
6,IT0005439861-EXGM,50,Industrials,5010,Construction and Materials,501010,Construction and Materials,50101010,Construction,,,
7,FR0000076887-ALXP,40,Consumer Discretionary,4020,Consumer Products and Services,402020,Household Goods and Home Construction,40202010,Home Construction,,,
8,IT0001233417-MTAA,65,Utilities,6510,Utilities,651010,Electricity,65101015,Conventional Electricity,,,
9,IT0001233417-MTAH,65,Utilities,6510,Utilities,651010,Electricity,65101015,Conventional Electricity,,,
10,NL0000852564-XAMS,50,Industrials,5020,Industrial Goods and Services,502020,Electronic and Electrical Equipment,50202020,Electronic Equipment: Control and Filter,,,
11,NO0010672181-MERK,30,Financials,3010,Banks,301010,Banks,30101010,Banks,,,
12,IT0005548521-EXGM,10,Technology,1010,Technology,101010,Software and Computer Services,10101010,Computer Services,,,
13,BE0974293251-XBRU,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451010,Beverages,45101010,Brewers,,
14,FR0010557264-XPAR,20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103010,Biotechnology,,,
15,FR0004040608-XPAR,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202015,Investment Services,,,
16,IT0005466294-EXGM,50,Industrials,5020,Industrial Goods and Services,502050,Industrial Support Services,50205020,Professional Business Support Services,,,
