证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,市盈率,市净率,EPS,ROE,每股净资产,股息率,资产负债率,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,沪深指数,所属概念,异动值
836699.BJ,海达尔,2.54,9.19,20.15,30.0,16.58,1.15,47.85,14.3,3.38,-,6.08,5.970276563,-,41.5734443527,家用电器-小家电-小家电Ⅲ,小家电,家电,可选消费,精密滑轨制造,家电领域国内知名的滑轨供应商,主营精密滑轨,,华为,26.21731265271659
837592.BJ,华信永道,3.11,11.29,18.17,29.97,23.32,1.4,49.15,-31.28,3.07,-,-2.42,5.924113664,-,17.7158224141,计算机-计算机应用-软件开发,电子政务,计算机,科技,软件定制与开发,深耕住房公积金行业信息化领域，服务的缴存人数及客户数量市占率行业居前,深耕住房公积金行业信息化领域，服务的缴存人数及客户数量市占率行业居前,,"互联网金融,供应链金融,信创,AIGC,蚂蚁金服,金融科技",29.904981188899853
300169.SZ,天晟新材,16.78,18.12,5.56,20.09,16.63,2.39,15.32,-112.29,16.61,-0.012379175,-3.65,0.334730705,-,88.8972338794,基础化工-化学制品-其他化学制品,化学制品,化学制品,化工,结构发泡材料,全国知名的高分子发泡材料专业生产商,专业的高分子发泡材料生产商,,"高端装备,快手,建筑节能,土壤修复,华为,露营经济,新能源汽车,锂电池,噪声防治,智能穿戴,医疗器械,小米,OLED,新材料,污水处理",19.196713414905666
300419.SZ,浩丰科技,28.17,28.17,7.66,20.06,23.67,6.74,26.46,157.76,4.51,0.036415474,2.16,1.700328267,-,37.2082506877,计算机-计算机应用-IT服务,金融科技,计算机,科技,金融软件,国内领先的营销信息化解决方案提供商,国内领先的营销信息化解决方案提供商,,"快手,国产软件,军工,网络安全,抖音,量子科技,大数据,华为,互联网金融,数据要素,云计算,金融科技,VPN,数据中心",59.09316179900417
301299.SZ,卓创资讯,16.82,28.69,47.81,20.01,9.56,2.62,15.79,28.9,4.11,0.413537383,3.62,11.642771252,0.84,29.0216317398,传媒-传媒-数字媒体,数字媒体,传媒,科技,大宗商品信息服务,国内领先的大宗商品信息服务企业,国内领先的大宗商品信息服务企业,中证2000,"大数据,数据要素,互联网金融,期货",20.92540621108961
688578.SH,艾力斯,255.1,255.1,56.69,20.0,11.24,8.99,3.61,20.84,5.9,0.680116798,7.37,9.601772911,-,8.0781865544,医药生物-化学制药-化学制剂,制药,生物,生物医药,肿瘤小分子靶向药,专注于肿瘤治疗领域的创新药企业,专注于肿瘤治疗领域的创新药企业,中证1000,"生物医药,抗肿瘤,年报预增,创新药",42.53793564257035
688318.SH,财富趋势,160.26,160.26,122.64,20.0,16.67,7.67,5.14,51.58,4.67,2.377805832,9.43,26.266052469,-,5.5805053958,计算机-计算机应用-软件开发,金融科技,计算机,科技,证券软件,国内证券行情交易系统软件和证券信息服务的重要供应商,产品“通达信”为知名证券行情软件,中证1000,"国产软件,ChatGPT,互联网金融,大数据,人工智能,数字经济,年报预增,金融科技,鸿蒙",39.05173388886126
300563.SZ,神宇股份,22.0,31.86,17.88,20.0,15.84,4.55,21.86,15.85,3.06,0.281938695,4.84,5.846691438,0.5,19.395145312,通信-通信设备-通信线缆及配套,光缆,通信,科技,细微射频同轴电缆,射频同轴电缆新贵,已掌握了射频同轴电缆生产的多个核心技术,,"5G,EDR,军工,卫星导航,航空航天,国产替代,WiFi 6,消费电子,新能源汽车,华为,新基建,数字经济,芯片,虚拟现实,医疗器械,苹果,专精特新,汽车电子",34.075954961881735
300210.SZ,森远股份,53.4,53.46,11.04,20.0,17.72,6.85,13.38,-83.38,12.18,-0.033101788,-3.59,0.906167355,-,59.24680358,机械设备-专用设备-其他专用设备,工程机械,工程机械,建筑业,公路养护设备,国内领先的提供沥青路面就地再生技术解决方案的企业,新型公路养护机械的技术开发和制造的企业,,"PPP,沥青,地下管网,新能源汽车,除雪,雄安新区,3D打印,公路建设",42.462009608831586
300520.SZ,科大国创,46.33,57.88,19.88,19.98,21.61,5.6,12.87,245.89,3.08,0.020212609,0.31,6.448162419,-,58.4089432321,计算机-计算机应用-软件开发,云计算,计算机,科技,综合软件开发,国内领先的数据智能高科技上市企业,致力于云计算、大数据、人工智能领域的研发及应用,中证2000,"数字乡村,ChatGPT,华为,大数据,锂电池,智能物流,比亚迪,人工智能,边缘计算,农业信息化,信创,AIGC,储能,数据要素,智慧城市,5G,军工,量子科技,新能源汽车,无人驾驶,数字经济,智慧政务,东数西算（算力）,国产软件,互联网医疗,网络安全,区块链,ETC,数字孪生,机器人,数据中心,汽车热管理,MLOps",39.39793090362921
300397.SZ,天和防务,44.12,56.32,10.88,19.96,19.85,5.19,12.18,201.2,3.42,0.013519182,0.43,3.179832319,-,35.3210221434,国防军工-国防军工-军工电子,军工电子,军工,公共事业,军工装备,公司军工装备为新一代综合进程防御系统,在军民融合综合电子信息领域，拥有先进的技术、成熟的生产工艺,,"5G,军工,卫星导航,华为,大数据,无人驾驶,军民融合,人工智能,芯片,通用航空,海工装备,东数西算（算力）,算力租赁,时空大数据,低空经济,边缘计算,安防,雷达,机器人,数据中心,超材料,毫米波雷达",33.33809459664616
688027.SH,国盾量子,176.82,176.82,220.0,18.6,21.47,17.91,10.6,-106.59,12.01,-0.516005459,-2.8,18.317408762,-,14.3535604727,通信-通信设备-通信终端及配件,通信终端,通信,科技,量子保密通信产品,国内一流的量子技术企业,全球领先的量子通信设备制造商和量子安全解决方案供应商,中证1000,"军工,专精特新,量子科技,芯片",98.20668261663333
688201.SH,信安世纪,36.72,38.49,17.9,18.54,22.52,3.76,10.83,-32.32,2.89,-0.13844459,-2.18,6.200579068,-,10.9192460181,计算机-计算机应用-软件开发,信息安全,计算机,科技,信息安全,密码领域第一梯队企业,国内较早从事基于密码技术研发、生产的专业信息安全厂商之一,中证2000,"跨境支付（CIPS）,国产软件,网络安全,数字货币,数据安全,信创,AIGC,专精特新,车联网,鸿蒙",29.237226878764968
300757.SZ,罗博特科,134.16,142.4,129.0,17.7,19.16,17.75,14.36,603.59,14.38,0.053429991,0.6,8.970915789,0.08,63.6113234026,机械设备-自动化设备-其他自动化设备,光伏加工设备,光伏,电力设备,智能自动化设备,国内少数能够提供自动化装备和制造系统软件的企业之一,公司产品主要运用于光伏领域，智能制造技术提供商,中证2000,"高端装备,BC电池,年报预增,华为,养老金持股,新能源汽车,工业互联网,集成电路,TOPCON电池,芯片,工业4.0,光伏,HJT电池,新型工业化",88.1243113014359
