股票代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占净资产比例,资产负债率,扣非PEG,扣非市赚率,市赚率
603013.SH,亚普股份,15.89,15.11,1.96,13.7,12.16,9.05,2.31,43.99,15.61,5.88,5.49,1.66,,35.23,9.12,1.1,1.31
837403.BJ,康农种业,18.54,17.36,1.77,19.06,21.47,11.58,1.37,51.29,30.73,18.62,31.65,45.85,,49.37,0.38,0.91,0.86
000538.SZ,云南白药,14.68,24.66,2.42,9.6,10.51,8.5,4.23,90.53,26.51,10.54,16.45,7.19,0.26,25.8,3.43,2.57,1.4
002763.SZ,汇洁股份,8.07,18.8,1.46,8.52,9.45,10.77,4.76,90.15,67.74,7.21,39.2,19.3,0.57,24.84,0.97,2.21,0.85
836871.BJ,派特尔,20.63,22.22,1.88,8.67,9.67,9.36,2.27,64.17,27.79,14.64,22.52,8.39,,9.6,2.65,2.56,2.13
001288.SZ,运机集团,30.4,36.18,1.89,4.96,5.34,3.63,1.49,38.69,23.95,9.67,22.14,15.2,,41.4,2.38,7.29,5.69
600282.SH,南钢股份,14.83,16.45,1.23,7.19,8.12,4.1,6.76,72.52,10.6,3.09,-6.79,2.65,1.3,61.28,6.2,2.29,1.83
002683.SZ,广东宏大,53.58,23.65,2.5,10.81,11.58,7.71,2.79,59.05,20.67,8.42,34.32,13.51,22.73,51.14,1.75,2.19,4.63
002563.SZ,森马服饰,12.13,16.47,1.46,9.12,10.06,7.3,5.2,72.07,44.02,8.2,105.29,2.47,,35.95,6.67,1.81,1.21
002616.SZ,长青集团,14.64,21.26,1.3,5.98,6.17,5.3,1.9,46.66,21.41,4.08,144.91,15.83,,74.0,1.34,3.55,2.37
600507.SH,方大特钢,26.26,14.28,1.05,7.48,7.85,4.68,2.17,33.84,6.35,2.58,-12.51,-15.75,0.01,51.94,-0.91,1.91,3.35
301153.SZ,中科江南,-211.15,43.39,6.34,17.22,18.21,12.42,1.28,116.8,56.4,25.18,19.49,32.31,0.06,23.93,1.34,2.52,转亏
873833.BJ,美心翼申,41.01,29.79,1.21,5.04,8.65,7.15,1.99,56.79,23.11,9.56,-44.53,-11.52,,18.76,-2.59,5.91,4.74
688203.SH,海正生材,70.48,44.95,1.31,2.75,2.97,2.05,0.61,37.23,13.11,5.78,21.73,24.43,,27.76,1.84,16.35,23.73
301068.SZ,大地海洋,81.31,47.76,2.94,5.87,6.89,5.18,0.82,82.37,17.9,5.99,5.28,17.18,4.8,38.04,2.78,8.13,11.8
002947.SZ,恒铭达,27.67,26.06,3.65,13.54,14.38,11.87,1.55,40.69,30.41,15.49,37.55,17.48,3.5,24.94,1.49,1.92,1.92
834033.BJ,康普化学,28.89,20.31,3.74,23.85,24.55,21.98,0.88,30.59,43.85,33.9,38.54,26.22,,20.67,0.77,0.85,1.18
603536.SH,惠发食品,-147.06,211.43,4.78,-0.55,1.51,2.54,0.13,65.1,18.08,0.64,97.89,26.36,,63.12,8.02,扣非亏损,转亏
002194.SZ,武汉凡谷,618.08,210.94,2.5,2.74,3.22,2.3,1.22,97.44,22.48,5.3,-72.3,-23.42,,15.85,-9.01,76.92,191.95
002678.SZ,珠江钢琴,-76.24,-129.94,1.62,-1.25,0.16,-0.57,0.03,46.26,19.97,0.15,-142.37,-32.05,0.49,18.18,扣非亏损,扣非亏损,转亏
605299.SH,舒华体育,76.22,35.29,3.11,8.88,10.11,8.84,3.03,94.94,29.61,9.07,29.09,5.23,,33.01,6.75,3.97,7.54
688100.SH,威胜信息,39.34,34.41,6.17,17.29,18.92,14.1,1.49,40.25,40.79,23.65,26.12,11.06,,30.2,3.11,1.99,2.08
002402.SZ,和而泰,29.18,37.07,2.43,6.76,7.53,4.22,1.05,42.1,19.58,4.63,-21.85,25.85,10.32,46.98,1.43,5.48,3.88
300901.SZ,中胤时尚,-186.04,137.8,1.74,2.03,2.07,0.86,1.46,166.5,17.42,3.32,-73.14,-14.24,,20.17,-9.68,67.78,转亏
300865.SZ,大宏立,-388.3,-34.45,1.67,-4.14,-3.77,-3.59,0.24,-15.85,17.76,-6.1,-386.37,9.4,,25.68,扣非亏损,扣非亏损,亏损
600865.SH,百大集团,19.17,32.54,1.19,3.83,0.59,0.47,2.82,637.63,89.12,6.21,5.12,-4.48,,9.56,-7.26,8.5,32.5
