股票代码,股票简称,最新价,最新涨跌幅,所属概念,公司亮点,所属同花顺行业,所属指数类,沪深指数
301292.SZ,海科新源,29.70,48.574,"专精特新,比亚迪,锂电池",锂电池电解液溶剂产品全球市占率第一,电力设备-电力设备-电池,创业板综;同花顺全A;深证A指;深证综指,
300780.SZ,德恩精工,20.56,20.023,"工业互联网,专精特新,新能源汽车,人民币贬值受益,减速器,机器视觉,机器人,工业母机",机械用皮带轮传动系列产品出口规模位居国内同行业第一,机械设备-通用设备-金属制品,中证A股;中证全指;中证流通;创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指;通用指数,
301192.SZ,泰祥股份,36.22,20.013,"专精特新,新能源汽车,人民币贬值受益",大众集团发动机主轴承盖全球供应商,交运设备-汽车零部件-汽车零部件Ⅲ,中证全指;创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指,
301016.SZ,雷尔伟,24.66,20.000,"储能,无人驾驶,轨道交通,高端装备,高铁",轨道交通装备行业较早引入搅拌摩擦焊设备和工艺的行业先行者,交运设备-非汽车交运-轨交设备,中证A股;中证全指;中证流通;交运指数;创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指,
301398.SZ,星源卓镁,48.91,19.995,"特斯拉,新材料,无人驾驶,专精特新,新能源汽车,减速器",国家级专精特新“小巨人”，主营镁合金、铝合金精密压铸产品及配套压铸模具,交运设备-汽车零部件-汽车零部件Ⅲ,中证全指;创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指,
871694.BJ,中裕科技,17.20,16.374,,国家级专精特新“小巨人”，国内较早生产橡胶软管的公司之一,基础化工-化工合成材料-其他橡胶制品,,
300879.SZ,大叶股份,21.29,14.586,"电子商务,农机,人民币贬值受益,跨境电商,减速器,乡村振兴,机器人",国内园林机械行业领先企业，割草机龙头企业,机械设备-专用设备-农用机械,专用指数;中证A股;中证全指;中证流通;创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指,
300270.SZ,中威电子,10.16,14.414,"物联网,智能终端,安防,国企改革,华为,机器视觉,超清视频,机器人,智慧灯杆,物联网应用层,大数据,无人驾驶,透明工厂,智慧城市,共同富裕示范区,地方国企改革,人工智能",国内数字视频光纤传输产品技术领域的领先者，安防视频行业优秀企业,计算机-计算机设备-计算机设备Ⅲ,中证A股;中证全指;中证流通;创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指;电子指数,
301298.SZ,东利机械,18.76,12.403,"油气装备,智能制造,高铁,汽车制造,人民币贬值受益,新能源汽车,减速器,机器视觉,机器人",一家专业从事汽车机械零件生产加工、国际销售的现代化企业,交运设备-汽车零部件-汽车零部件Ⅲ,中证A股;中证全指;中证流通;创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指,
300817.SZ,双飞股份,20.23,12.140,"军工,特斯拉,长三角一体化,新能源汽车,人民币贬值受益,减速器,风电,机器人",中国专业生产滑动轴承系列产品的规模企业,机械设备-通用设备-金属制品,中证A股;中证全指;中证流通;创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指;通用指数,
