isin,slug,name.originalValue,name.translations.others,name.translations.en,overview.lastPrice,changeToPrevDay,turnover,marketCapitalisation,overview.dateTimeLastPrice,market.originalValue,market.translations.de,market.translations.en,segment.originalValue,segment.translations.others,industrySector.originalValue,industrySector.translations.others,instrumentType.originalValue,instrumentType.translations.de,instrumentType.translations.en,securityType.originalValue,securityType.translations.de,securityType.translations.en,originCountry.originalValue,originCountry.translations.de,originCountry.translations.en,sector.originalValue,subsector.originalValue,subsector.translations.others,industrySector.translations.de,industrySector.translations.en,subsector.translations.de,subsector.translations.en,segment,sector,subsector,originCountry.translations.others
DE0007164600,sap-se,SAP SE O.N.,SAP SE,,126.38,-1.265625,233785504.1,155257830000.0,2023-07-20T17:44:48+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,172,Software,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Software,Software,Software,,,,,,,,
DE0008404005,allianz-se,ALLIANZ SE NA O.N.,Allianz SE,,214.35,1.7806267806,204656536.7,86449498500.0,2023-07-20T17:41:00+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,180,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Insurance,Insurance,,Holdinggesellschaften,Holding companies,Versicherung,Insurance,,,,
DE0007236101,siemens-ag,SIEMENS AG NA O.N.,Siemens AG,,151.4,1.9803314023,170912216.34,121120000000.0,2023-07-20T17:36:40+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,61,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Industrial,"Industrial, Diversified",,Elektronik und Elektrik,Electronic engineering,"Industrielle Produkte, diversifiziert","Industrial, Diversified",,,,
DE0007100000,mercedes-benz-group,MERCEDES-BENZ GRP NA O.N.,,Mercedes Benz Group AG (former Daimler),71.56,-0.4590346363,142029749.01,76557750400.0,2023-07-20T17:35:52+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,91,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Automobile,Automobile Manufacturers,,Fahrzeug- und Maschinenbau,Automotive and mechanical engineering,Automobilhersteller,Automobile Manufacturers,,,,
DE0006231004,infineon-technologies-ag,INFINEON TECH.AG NA O.N.,Infineon Technologies AG,,36.74,-1.7647058824,137126150.26,47979500800.0,2023-07-20T17:37:27+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,61,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Technology,Semiconductors,,Elektronik und Elektrik,Electronic engineering,Halbleiter,Semiconductors,,,,
DE0005140008,deutsche-bank-ag,DEUTSCHE BANK AG NA O.N.,Deutsche Bank AG,,10.12,0.6564551422,126672919.11,20647228800.0,2023-07-20T17:41:01+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,81,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Banks,Credit Banks,,Banken und Versicherungen,Bank/insurance,Kreditbanken,Credit Banks,,,,
DE000A1ML7J1,vonovia-se,VONOVIA SE NA O.N.,Vonovia SE,,20.83,-1.3731060607,116343504.48,16968951200.0,2023-07-20T17:35:05+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,180,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Financial Services,Real Estate,,Holdinggesellschaften,Holding companies,Immobilien,Real Estate,,,,
DE0005557508,deutsche-telekom-ag,DT.TELEKOM AG NA,Deutsche Telekom AG,,19.628,0.7494097115,115932542.17,97874236880.0,2023-07-20T17:37:07+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,173,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Telecommunication,Fixed-Line Telecommunication,,Telekommunikation,Telecommunication Services,Festnetz-Telekommunikation,Fixed-Line Telecommunication,,,,
DE000BAY0017,bayer-ag,BAYER AG NA O.N.,Bayer AG,,52.16,1.5576323987,109798414.67,51243027200.0,2023-07-20T17:35:14+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,180,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Chemicals,"Chemicals, Specialty",,Holdinggesellschaften,Holding companies,Spezialchemikalien,"Chemicals, Specialty",,,,
DE000BASF111,basf-se,BASF SE NA O.N.,BASF SE,,47.675,1.2853197365,105767351.86,42614298750.0,2023-07-20T17:37:57+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,51,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Chemicals,"Chemicals, Specialty",,Chemie und Pharmazeutik,Chemistry/pharmacy,Spezialchemikalien,"Chemicals, Specialty",,,,
DE0005785604,fresenius-se-co-kgaa,FRESENIUS SE+CO.KGAA O.N.,Fresenius SE & Co. KGaA,,28.12,6.3942489595,88061942.74,15838308800.0,2023-07-20T17:35:14+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,51,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Pharma & Healthcare,Health Care,,Chemie und Pharmazeutik,Chemistry/pharmacy,Gesundheitswesen,Health Care,,,,
DE0005552004,deutsche-post-ag,DEUTSCHE POST AG NA O.N.,Deutsche Post AG,,46.28,1.0811401113,85126543.81,57343696800.0,2023-07-20T17:35:52+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,190,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Transportation & Logistics,Logistics,,Sonstige deutsche Aktien,Other german shares,Logistik,Logistics,,,,
DE0007664039,volkswagen-ag-vz,VOLKSWAGEN AG VZO O.N.,Volkswagen AG Vz,,124.06,0.2424046541,83800195.38,62191278000.0,2023-07-20T17:41:50+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,91,,1003,Vorzugsaktien,Preffered shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Automobile,Automobile Manufacturers,,Fahrzeug- und Maschinenbau,Automotive and mechanical engineering,Automobilhersteller,Automobile Manufacturers,,,,
DE0008430026,muenchener-rueck-ag,MUENCH.RUECKVERS.VNA O.N.,Münchener Rück AG,,338.1,1.6842105263,82016341.7,46140507000.0,2023-07-20T17:35:25+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,81,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Insurance,Re-Insurance,,Banken und Versicherungen,Bank/insurance,Rückversicherung,Re-Insurance,,,,
