,brand,model,name
0,新大洲本田,威胜SDH100-42,新大洲本田 威胜SDH100-42
1,五羊本田,锋驰青春版110,五羊本田 锋驰青春版110
2,建设雅马哈,易发E8,建设雅马哈 易发E8
3,豪爵铃木,FW110,豪爵铃木 FW110
4,五羊本田,新锋影WY125-S,五羊本田 新锋影WY125-S
5,新大洲本田,新威武SDH110-19,新大洲本田 新威武SDH110-19
6,新大洲本田,自主威武,新大洲本田 自主威武
7,新大洲本田,飘悦SDH110-16,新大洲本田 飘悦SDH110-16
8,新大洲本田,CB125S,新大洲本田 CB125S
9,新大洲本田,威猛SDH125-42,新大洲本田 威猛SDH125-42
10,林海,福禧100,林海 福禧100
11,新大洲本田,Dio,新大洲本田 Dio
12,新大洲本田,Wave110,新大洲本田 Wave110
13,新大洲本田,威武110S,新大洲本田 威武110S
14,建设雅马哈,福禧X,建设雅马哈 福禧X
15,济南铃木,丽梦125,济南铃木 丽梦125
16,五羊本田,SCR 喜鲨125,五羊本田 SCR 喜鲨125
17,新大洲本田,战龙,新大洲本田 战龙
18,济南铃木,瑞梦 UM125,济南铃木 瑞梦 UM125
19,五羊本田,SCR 喜蕴100,五羊本田 SCR 喜蕴100
20,宗申比亚乔,特洛伊BYQ125-10,宗申比亚乔 特洛伊BYQ125-10
21,济南铃木,赛胜QS110-4,济南铃木 赛胜QS110-4
22,济南铃木,胜歌110,济南铃木 胜歌110
23,建设雅马哈,凌骏T115,建设雅马哈 凌骏T115
0,新大洲本田,NS125D,新大洲本田 NS125D
1,五羊本田,小火箭125,五羊本田 小火箭125
2,济南铃木,新铃木王GS125 经典款,济南铃木 新铃木王GS125 经典款
3,济南铃木,骏驰GT125X,济南铃木 骏驰GT125X
4,豪爵铃木,GN125-2F,豪爵铃木 GN125-2F
5,五羊本田,凯影125,五羊本田 凯影125
6,五羊本田,CG125,五羊本田 CG125
7,五羊本田,NB-X125,五羊本田 NB-X125
8,五羊本田,威领150,五羊本田 威领150
9,飞鹰,FY100T-8B,飞鹰 FY100T-8B
10,新大洲本田,超级战龙,新大洲本田 超级战龙
11,五羊本田,锋翔 125,五羊本田 锋翔 125
12,新大洲本田,CBF125T,新大洲本田 CBF125T
13,济南铃木,Let's小海豚,济南铃木 Let's小海豚
14,建设雅马哈,巧格i,建设雅马哈 巧格i
15,五羊本田,领御125,五羊本田 领御125
16,建设雅马哈,旭鹰125,建设雅马哈 旭鹰125
17,五羊本田,SCR 喜悦100,五羊本田 SCR 喜悦100
18,力帆,KPF150,力帆 KPF150
19,五羊本田,锋帅125,五羊本田 锋帅125
20,五羊本田,Spacy 125,五羊本田 Spacy 125
21,五羊本田,悍影 150,五羊本田 悍影 150
22,新大洲本田,E韵 110 Fi,新大洲本田 E韵 110 Fi
23,济南铃木,优友 UU125i,济南铃木 优友 UU125i
0,五羊本田,Tapas 塔帕100,五羊本田 Tapas 塔帕100
1,济南铃木,QS150悍骏,济南铃木 QS150悍骏
2,济南铃木,悍道150,济南铃木 悍道150
3,五羊本田,佳颖125,五羊本田 佳颖125
4,新大洲本田,CBX150,新大洲本田 CBX150
5,豪爵铃木,锐爽EN125-3E,豪爵铃木 锐爽EN125-3E
6,五羊本田,新优酷 110,五羊本田 新优酷 110
7,五羊本田,Cruising 御鲨125,五羊本田 Cruising 御鲨125
8,五羊本田,BEEZ 蜂鸣100,五羊本田 BEEZ 蜂鸣100
9,五羊本田,Spacy 优酷110+,五羊本田 Spacy 优酷110+
10,济南铃木,优驿 UE125T,济南铃木 优驿 UE125T
11,五羊本田,新锋翼125,五羊本田 新锋翼125
12,建设雅马哈,天剑动力版 YBR 150 Z,建设雅马哈 天剑动力版 YBR 150 Z
13,五羊本田,SCR 喜悦110,五羊本田 SCR 喜悦110
14,新大洲本田,NS110L,新大洲本田 NS110L
15,新大洲本田,飞梦Fi,新大洲本田 飞梦Fi
16,建设雅马哈,赛鹰GT,建设雅马哈 赛鹰GT
17,济南铃木,酷飚150,济南铃木 酷飚150
18,五羊本田,Spacy 雅志110,五羊本田 Spacy 雅志110
19,标致,Kisbee100 SportLine,标致 Kisbee100 SportLine
20,新大洲本田,E影110 FI,新大洲本田 E影110 FI
21,新大洲本田,SDH125T-29,新大洲本田 SDH125T-29
22,五羊本田,锋领150,五羊本田 锋领150
23,新大洲本田,NS125T,新大洲本田 NS125T
0,建设雅马哈,福禧125,建设雅马哈 福禧125
1,宗申比亚乔,ZIP 50,宗申比亚乔 ZIP 50
2,建设雅马哈,迅鹰,建设雅马哈 迅鹰
3,建设雅马哈,福颖125,建设雅马哈 福颖125
4,五羊本田,CB150S雄帅,五羊本田 CB150S雄帅
5,新大洲本田,NS110Q,新大洲本田 NS110Q
6,济南铃木,UY125,济南铃木 UY125
7,新大洲本田,CBF125R,新大洲本田 CBF125R
8,建设雅马哈,天剑,建设雅马哈 天剑
9,五羊本田,NX125,五羊本田 NX125
10,五羊本田,优悦110,五羊本田 优悦110
11,新大洲本田,EX125,新大洲本田 EX125
12,五羊本田,帅影150,五羊本田 帅影150
13,豪爵,TR150/S HJ150-16/A,豪爵 TR150/S HJ150-16/A
14,新大洲本田,战驭150L,新大洲本田 战驭150L
15,新大洲本田,裂行 RX125Fi,新大洲本田 裂行 RX125Fi
16,新大洲本田,NS110i Fi,新大洲本田 NS110i Fi
17,雅马哈,TTR50,雅马哈 TTR50
18,五羊本田,NW F125,五羊本田 NW F125
19,五羊本田,NCR125,五羊本田 NCR125
20,五羊本田,Spacy 睿镁110,五羊本田 Spacy 睿镁110
21,新大洲本田,NS110R,新大洲本田 NS110R
22,新大洲本田,CBF150R,新大洲本田 CBF150R
23,五羊本田,Spacyα 睿御110,五羊本田 Spacyα 睿御110
0,五羊本田,Stream 幻鲨125,五羊本田 Stream 幻鲨125
1,宗申比亚乔,都市印象 CityPard,宗申比亚乔 都市印象 CityPard
2,新大洲本田,SDH110T-3,新大洲本田 SDH110T-3
3,新大洲本田,SDH125T-31,新大洲本田 SDH125T-31
4,五羊本田,LD125 LINK,五羊本田 LD125 LINK
5,建设雅马哈,巡鹰125,建设雅马哈 巡鹰125
6,五羊本田,Spacy 睿影110,五羊本田 Spacy 睿影110
7,五羊本田,CB190R 暴锋眼,五羊本田 CB190R 暴锋眼
8,标致,Vivacity125 复古版,标致 Vivacity125 复古版
9,建设雅马哈,飞致YS150,建设雅马哈 飞致YS150
10,新大洲本田,NS125LA,新大洲本田 NS125LA
11,骁胜HYOSUNG,奥罗拉150,骁胜HYOSUNG 奥罗拉150
12,新大洲本田,NS125RX,新大洲本田 NS125RX
13,新大洲本田,战神,新大洲本田 战神
14,济南铃木,极客飒 Gixxer 155 NK,济南铃木 极客飒 Gixxer 155 NK
15,标致,SpeedFight125,标致 SpeedFight125
16,五羊本田,SCR110 佳御,五羊本田 SCR110 佳御
17,五羊本田,NSP,五羊本田 NSP
18,济南铃木,极客飒 Gixxer 155,济南铃木 极客飒 Gixxer 155
19,本田WING,Cross Cub,本田WING Cross Cub
20,五羊本田,RR150 幻影,五羊本田 RR150 幻影
21,建设雅马哈,GT150 Fazer,建设雅马哈 GT150 Fazer
22,标致,Django Classic,标致 Django Classic
23,标致,SpeedFight 4+,标致 SpeedFight 4+
0,宗申阿普利亚,SR 150,宗申阿普利亚 SR 150
1,宗申比亚乔,CITY FLY 150,宗申比亚乔 CITY FLY 150
2,骁胜HYOSUNG,U侠 大脚攀爬者,骁胜HYOSUNG U侠 大脚攀爬者
3,五羊本田,猛鸷 CB190X,五羊本田 猛鸷 CB190X
