板块名称,数量,分类
融资融券,3594,X
深股通,1425,X
创业板综,1348,X
国企改革,1330,
沪股通,1323,X
富时罗素,1272,X
标准普尔,1030,X
机构重仓,954,
预盈预增,840,X
专精特新,754,X
华为概念,689,知名企业
西部大开发,595,
新能源车,578,
预亏预减,570,X
人工智能,555,
MSCI中国,551,X
转债标的,532,X
军工,497,
深成500,494,X
中证500,493,X
央企改革,452,
一带一路,422,
机器人概念,407,
长江三角,405,
节能环保,403,
太阳能,397,
微盘股,396,X
锂电池,375,
上证380,373,X
破净股,366,X
物联网,359,
国产芯片,357,
新材料,342,
深圳特区,338,X
半导体概念,323,
电商概念,317,
5G概念,315,
储能,315,
大数据,303,
医疗器械概念,302,
创投,298,X
HS300_,295,X
QFII重仓,279,
氢能源,237,
无人驾驶,232,
证金持股,231,
信创,231,
云计算,230,
区块链,229,
国产软件,228,
虚拟现实,224,
充电桩,222,
参股银行,221,X
低空经济,220,
车联网(车路云),215,
高送转,213,X
风能,213,
智慧城市,211,
新能源,206,
互联金融,205,
特斯拉,204,知名企业
股权激励,201,
低价股,201,X
小米概念,195,知名企业
数据中心,194,
养老金,183,
工业互联,182,
军民融合,182,
上证180_,177,X
智能电网,175,
智能机器,174,
基金重仓,170,
内贸流通,164,
雄安新区,162,
固态电池,159,
口罩,159,
无人机,156,
数字经济,153,
智能家居,152,
PPP模式,151,
商业航天,147,
中药概念,146,
贬值受益,144,
AH股,144,X
百度概念,140,知名企业
燃料电池,140,
新零售,140,
核能核电,139,
元宇宙概念,138,
婴童概念,138,
乡村振兴,136,
网络安全,134,
碳交易,133,
算力概念,132,
参股券商,132,X
绿色电力,130,
工业4.0,129,
OLED,128,
苹果概念,127,知名企业
独角兽,126,
边缘计算,124,
网红直播,123,
跨境电商,123,
天然气,122,
病毒防治,120,
数据要素,119,
国家安防,117,
ST股,117,X
在线教育,116,
铁路基建,115,
养老概念,115,
智能穿戴,113,
冷链物流,111,
阿里概念,109,知名企业
水利建设,109,
合成生物,109,
流感,108,
小金属概念,108,
第三代半导体,107,
参股新三板,104,X
健康中国,103,
中字头,102,
互联医疗,102,
垃圾分类,101,
鸿蒙概念,100,
创业成份,100,X
深证100R,99,X
大飞机,99,
新型城镇化,97,
超清视频,97,
华为汽车,97,知名企业
AIGC概念,94,
LED,93,
次新股,93,
传感器,91,
新型工业化,87,
装配建筑,86,
创新药,86,
PCB,85,
成渝特区,85,
特高压,85,
无线耳机,84,
注册制次新股,84,X
光伏建筑一体化,83,
农业种植,82,
光刻机(胶),82,
工业母机,81,
虚拟数字人,80,
参股保险,80,
2025规划,80,
百元股,80,X
中特估,79,
智慧政务,78,
壳资源,78,
稀缺资源,77,
数字孪生,77,
北斗导航,77,
汽车热管理,76,
B股,75,X
数字货币,75,
数据安全,74,
ChatGPT概念,73,
网络游戏,73,
体育产业,73,
AB股,73,X
煤化工,72,
柔性屏(折叠屏),72,
生物疫苗,72,
并购重组概念,72,
移动支付,71,
字节概念,70,知名企业
石墨烯,70,
职业教育,69,
粤港自贸,67,
体外诊断,67,
医疗美容,67,
AI眼镜,66,
化工原料,66,
机器视觉,66,
小米汽车,65,知名企业
降解塑料,64,
昨日触板,63,X
3D打印,62,
油气设服,61,
飞行汽车(eVTOL),61,
影视概念,60,X
化债(AMC)概念,60,
中芯概念,60,知名企业
液冷概念,59,
MiniLED,59,
稀土永磁,58,
昨日涨停_含一字,57,X
东数西算,57,
新冠药物,57,
券商概念,57,
NFT概念,56,
中俄贸易概念,56,
IPO受益,56,
消毒剂,56,
减速器,56,
痘病毒防治,56,
东北振兴,56,
京津冀,56,
光通信模块,56,
化妆品概念,55,
蚂蚁概念,55,知名企业
黄金概念,54,
预制菜概念,53,
辅助生殖,53,
基因测序,52,
虚拟电厂,52,
量子通信,52,
幽门螺杆菌概念,51,
钠离子电池,50,
纾困概念,50,
存储芯片,50,
上证50_,49,X
手游概念,49,
生物识别,49,
电子烟,49,
荣耀概念,49,
昨日涨停,48,X
央视50_,48,X
白酒,48,
换电概念,48,
氮化镓,48,
土地流转,48,
单抗概念,48,
英伟达概念,47,知名企业
Web3.0,46,
增强现实,46,
参股期货,46,X
汽车芯片,46,
工程机械概念,45,
跨境支付,45,
ETC,45,
肝炎概念,45,
工业大麻,45,
地下管网,44,
免疫治疗,44,
精准医疗,44,
CPO概念,44,
生态农业,43,
快递概念,42,
超超临界发电,42,
食品安全,42,
茅指数,42,
TOPCon电池,42,
海工装备,41,
无线充电,41,
独家药品,41,
高压快充,41,
科创板做市股,41,X
知识产权,40,
沪企改革,40,
C2M概念,40,
页岩气,40,
通用航空,40,
多模态AI,39,
AIPC,39,
建筑节能,39,
磷化工,39,
天基互联,39,
Sora概念,38,
远程办公,38,
财税数字化,38,
统一大市场,38,
社区团购,38,
毫米波概念,38,
华为海思,38,知名企业
CRO,38,
HIT电池,38,
动力电池回收,37,
海绵城市,37,
IGBT概念,37,
航母概念,37,
锂矿概念,37,
电子竞技,36,
房屋检测,36,
猪肉概念,36,
股权转让,36,
地摊经济,35,
电子身份证,35,
上海自贸,34,
数据确权,34,
星闪概念,34,
碳化硅,34,
碳纤维,34,
玻璃基板,34,
智谱AI,33,
尾气治理,33,
土壤修复,33,
超级电容,33,
超级品牌,32,
宠物经济,32,
社保重仓,32,
AI手机,32,
医废处理,32,
铜缆高速连接,32,
快手概念,31,知名企业
调味品概念,31,
空气能热泵,31,
氟化工,31,
核污染防治,31,
激光雷达,31,
富士康,30,知名企业
免税概念,30,
抽水蓄能,30,
钙钛矿电池,30,
维生素,29,
混合现实,29,
有机硅,29,
乳业,29,
磁悬浮概念,28,
湖北自贸,28,
汽车一体化压铸,28,
短剧互动游戏,27,
广电,27,
海洋经济,27,
WiFi,27,
疫苗冷链,27,
工业气体,27,
6G概念,27,
北交所概念,27,X
胎压监测,27,
粮食概念,27,
在线旅游,26,
生物质能发电,26,
被动元件,26,X
AI芯片,26,
减肥药,26,
Chiplet概念,26,
AI语料,25,
Kimi概念,25,
云游戏,25,
智慧灯杆,25,
户外露营,25,
复合集流体,25,
华为昇腾,24,知名企业
机器人执行器,24,
REITs概念,24,
宁组合,24,知名企业
昨日连板_含一字,23,X
拼多多概念,23,知名企业
抖音小店,23,知名企业
时空大数据,23,
RCS概念,22,
空间计算,22,
裸眼3D,22,
电子后视镜,22,
滨海新区,22,
彩票概念,22,
BC电池,22,
PEEK材料概念,22,
CAR-T细胞疗法,22,
F5G概念,22,
RCEP概念,21,
娃哈哈概念,21,知名企业
超级真菌,21,
熊去氧胆酸,21,
钒电池,21,
VPN,20,
鸡肉概念,20,
发电机概念,20,
MicroLED,20,
人脑工程,20,
空间站概念,20,
蓝宝石,20,
数字阅读,19,
碳基材料,19,
UWB概念,19,
汽车拆解,18,
世界杯,18,
可控核聚变,18,
净水概念,18,
共享经济,18,
电子车牌,18,
国资云概念,18,
租售同权,18,
人造肉,17,
3D玻璃,17,
数字水印,17,
啤酒概念,17,
水产养殖,17,
植物照明,17,
DRG/DIP,17,
民爆概念,16,
