,brand,model,name
0,飞肯,旋锋FK125-9A,飞肯 旋锋FK125-9A
1,本田DREAMWING,Metropolitan,本田DREAMWING Metropolitan
2,建设雅马哈,新天剑K YBR125,建设雅马哈 新天剑K YBR125
3,比亚乔,Liberty One,比亚乔 Liberty One
4,川崎,KLX 110,川崎 KLX 110
5,比亚乔,Liberty 150,比亚乔 Liberty 150
6,阿普利亚,SR Motard 125,阿普利亚 SR Motard 125
7,川崎,KLX125,川崎 KLX125
8,雅马哈,YZF-R15,雅马哈 YZF-R15
9,雅马哈,YZF-R15 V3.0 Movistar Moto GP L.E.,雅马哈 YZF-R15 V3.0 Movistar Moto GP L.E.
10,比亚乔,Medley 150,比亚乔 Medley 150
11,本田DREAMWING,Monkey 125,本田DREAMWING Monkey 125
12,KTMR2R,250 Duke,KTMR2R 250 Duke
13,雅马哈,AEROSPORTS X,雅马哈 AEROSPORTS X
14,雅马哈,NMAX,雅马哈 NMAX
15,ROYAL,ALLOY GP250 MT Cross,ROYAL ALLOY GP250 MT Cross
16,雅马哈,Tricker 250,雅马哈 Tricker 250
17,阿普利亚,SR GT 200,阿普利亚 SR GT 200
18,ROYAL,ALLOY GP150(进口),ROYAL ALLOY GP150(进口)
19,ROYAL,ALLOY TV175(进口),ROYAL ALLOY TV175(进口)
20,比亚乔,LXV,比亚乔 LXV
21,ROYAL,ALLOY TG150(进口),ROYAL ALLOY TG150(进口)
22,比亚乔,LX 150 IE,比亚乔 LX 150 IE
23,本田DREAMWING,SH 150i,本田DREAMWING SH 150i
0,KTMR2R,200 Duke,KTMR2R 200 Duke
1,新大洲本田,CBR300R,新大洲本田 CBR300R
2,HUSQVARNA,黑箭 401,HUSQVARNA 黑箭 401
3,铃木,DR 200S,铃木 DR 200S
4,VESPA,LX150,VESPA LX150
5,雅马哈,XT250R Serow 标准版,雅马哈 XT250R Serow 标准版
6,ROYAL,ALLOY GP200S,ROYAL ALLOY GP200S
7,VESPA,Primavera 150,VESPA Primavera 150
8,凯旋,Speed 400,凯旋 Speed 400
9,VESPA,Sprint 150,VESPA Sprint 150
10,HUSQVARNA,白箭 401,HUSQVARNA 白箭 401
11,北极星,Outlaw 50,北极星 Outlaw 50
12,凯旋,Scrambler 400 X,凯旋 Scrambler 400 X
13,KTMR2R,390 Duke,KTMR2R 390 Duke
14,川崎,KLX230,川崎 KLX230
15,VESPA,GTS 300 IE,VESPA GTS 300 IE
16,本田DREAMWING,CBR300R,本田DREAMWING CBR300R
17,宝马,G 310 R,宝马 G 310 R
18,ROYAL,ALLOY GP300S(进口),ROYAL ALLOY GP300S(进口)
19,KTMR2R,390 Adventure,KTMR2R 390 Adventure
20,雅马哈,MT-03,雅马哈 MT-03
21,ADIVA,AD1 200(进口),ADIVA AD1 200(进口)
22,ROYAL,ALLOY TG300S(进口),ROYAL ALLOY TG300S(进口)
23,庞巴迪,叛逆者,庞巴迪 叛逆者
0,KTMR2R,RC 390,KTMR2R RC 390
1,本田WING,CB300R,本田WING CB300R
2,川崎,Ninja 250R,川崎 Ninja 250R
3,雅马哈,YZF-R3,雅马哈 YZF-R3
4,川崎,Ninja 250,川崎 Ninja 250
5,铃木,DR 650S,铃木 DR 650S
6,铃木,DR-Z 400S,铃木 DR-Z 400S
7,川崎,Z400,川崎 Z400
8,川崎,Eliminator 500,川崎 Eliminator 500
9,川崎,Versys-X 300,川崎 Versys-X 300
10,本田DREAMWING,CRF250R,本田DREAMWING CRF250R
11,川崎,Ninja 400,川崎 Ninja 400
12,铃木,DR-Z 400SM,铃木 DR-Z 400SM
13,雅马哈,XMAX,雅马哈 XMAX
14,VESPA,GTS,VESPA GTS
15,VESPA,GTS Touring,VESPA GTS Touring
16,SWM,SD 650,SWM SD 650
17,北极星,ACE 150,北极星 ACE 150
18,阿普利亚,RS 457,阿普利亚 RS 457
19,宝马,G 310 GS,宝马 G 310 GS
20,HUSQVARNA,TC 65,HUSQVARNA TC 65
21,宝马,G 310 RR,宝马 G 310 RR
22,庞巴迪,DS 250,庞巴迪 DS 250
23,VESPA,Sei Giorni,VESPA Sei Giorni
0,本田WING,NSS350(进口),本田WING NSS350(进口)
1,VESPA,GTV,VESPA GTV
2,KTMR2R,65 SX,KTMR2R 65 SX
3,本田DREAMWING,CB500F,本田DREAMWING CB500F
4,本田DREAMWING,CL500,本田DREAMWING CL500
5,本田DREAMWING,CM500,本田DREAMWING CM500
6,骁胜HYOSUNG,GV650(进口),骁胜HYOSUNG GV650(进口)
7,比亚乔,Beverly 300,比亚乔 Beverly 300
8,比亚乔,Beverly 300,比亚乔 Beverly 300
9,北极星,剃刀170,北极星 剃刀170
10,川崎,KX250,川崎 KX250
11,本田DREAMWING,CB500X,本田DREAMWING CB500X
12,SWM,RS300 R,SWM RS300 R
13,本田DREAMWING,CBR500R,本田DREAMWING CBR500R
14,川崎,Z650,川崎 Z650
15,本田DREAMWING,CBR250RR,本田DREAMWING CBR250RR
16,SWM,RS500 R,SWM RS500 R
17,SWM,SM 500,SWM SM 500
18,川崎,Vulcan S,川崎 Vulcan S
19,本田DREAMWING,CB750,本田DREAMWING CB750
20,川崎,Ninja 650,川崎 Ninja 650
21,本田DREAMWING,CRF 450R,本田DREAMWING CRF 450R
22,SWM,SM 650,SWM SM 650
23,ADIVA,AD3 400,ADIVA AD3 400
0,川崎,ZX-4R,川崎 ZX-4R
1,比亚乔,Beverly 400,比亚乔 Beverly 400
2,庞巴迪,SPARK TRIXX,庞巴迪 SPARK TRIXX
3,本田DREAMWING,CB650R,本田DREAMWING CB650R
4,雅马哈,YZ250F,雅马哈 YZ250F
5,凯旋,Trident 660,凯旋 Trident 660
6,KTMR2R,85 SX,KTMR2R 85 SX
7,VESPA,Six Days,VESPA Six Days
8,雅马哈,WR250F,雅马哈 WR250F
9,比亚乔,MP3 300,比亚乔 MP3 300
10,凯旋,Tiger Sport 660,凯旋 Tiger Sport 660
11,凯旋,Daytona 660,凯旋 Daytona 660
12,川崎,ER-6f,川崎 ER-6f
13,川崎,Versys 650,川崎 Versys 650
14,本田DREAMWING,CBR650R,本田DREAMWING CBR650R
15,贝纳利,Tre 899K,贝纳利 Tre 899K
16,川崎,Z650RS,川崎 Z650RS
17,铃木,SV650,铃木 SV650
18,庞巴迪,开拓者,庞巴迪 开拓者
19,哈雷戴维森,Street 750,哈雷戴维森 Street 750
20,凯旋,Speed Twin 900,凯旋 Speed Twin 900
21,比亚乔,MP3 250,比亚乔 MP3 250
22,本田DREAMWING,XL750 Transalp,本田DREAMWING XL750 Transalp
23,川崎,Z900,川崎 Z900
0,杜卡迪,Scrambler 800,杜卡迪 Scrambler 800
1,本田DREAMWING,NC750X,本田DREAMWING NC750X
2,雅马哈,YZ450F,雅马哈 YZ450F
3,KTMR2R,690 Duke,KTMR2R 690 Duke
4,本田DREAMWING,CB650F,本田DREAMWING CB650F
5,本田DREAMWING,NC750S,本田DREAMWING NC750S
6,铃木,V-Strom 650,铃木 V-Strom 650
7,KTMR2R,450 SMR,KTMR2R 450 SMR
8,哈雷戴维森,STREET ROD街路德,哈雷戴维森 STREET ROD街路德
9,杜卡迪,Monster 797,杜卡迪 Monster 797
10,凯旋,Street Triple 765,凯旋 Street Triple 765
11,铃木,SFV650 Gladius,铃木 SFV650 Gladius
12,本田DREAMWING,NC 700S,本田DREAMWING NC 700S
13,庞巴迪,GTI,庞巴迪 GTI
14,哈雷戴维森,883L SuperLow,哈雷戴维森 883L SuperLow
15,哈雷戴维森,Nightster,哈雷戴维森 Nightster
16,铃木,GSX-8S,铃木 GSX-8S
17,凯旋,Tiger 850,凯旋 Tiger 850
18,摩托古兹,V7,摩托古兹 V7
19,本田DREAMWING,CBR650F,本田DREAMWING CBR650F
20,凯旋,Street Twin,凯旋 Street Twin
21,宝马,F 900 R,宝马 F 900 R
22,杜卡迪,Monster 950,杜卡迪 Monster 950
23,宝马,F 750 GS,宝马 F 750 GS
0,雅马哈,XT660R,雅马哈 XT660R
1,KTMR2R,690 SMC,KTMR2R 690 SMC
2,川崎,W800,川崎 W800
3,凯旋,Bonneville T100,凯旋 Bonneville T100
4,雅马哈,MT-07,雅马哈 MT-07
5,川崎,Ninja ZX-6R,川崎 Ninja ZX-6R
6,雅马哈,T700S,雅马哈 T700S
7,北极星,运动家570,北极星 运动家570
8,雅马哈,YZF-R7,雅马哈 YZF-R7
9,摩托古兹,V9,摩托古兹 V9
10,哈雷戴维森,Iron883 硬汉,哈雷戴维森 Iron883 硬汉
11,凯旋,Scrambler 900,凯旋 Scrambler 900
12,本田DREAMWING,CM1100,本田DREAMWING CM1100
13,比亚乔,MP3 500,比亚乔 MP3 500
14,标致,大都会 Metropolis 400i,标致 大都会 Metropolis 400i
15,摩托古兹,V7 Cafe Classic,摩托古兹 V7 Cafe Classic
16,川崎,Z800,川崎 Z800
17,阿普利亚,Tuono 660,阿普利亚 Tuono 660
18,宝马,F 850 GS,宝马 F 850 GS
19,凯旋,Bonneville T120,凯旋 Bonneville T120
20,HUSQVARNA,Norden 901,HUSQVARNA Norden 901
21,庞巴迪,GTX,庞巴迪 GTX
22,铃木,V-Strom 800,铃木 V-Strom 800
23,凯旋,Tiger 900,凯旋 Tiger 900
0,阿普利亚,RS 660,阿普利亚 RS 660
1,摩托古兹,V85 TT,摩托古兹 V85 TT
2,宝马,F 900 XR,宝马 F 900 XR
3,阿普利亚,Tuareg 660,阿普利亚 Tuareg 660
4,庞巴迪,守卫者,庞巴迪 守卫者
5,庞巴迪,滑水艇,庞巴迪 滑水艇
6,杜卡迪,Monster 821,杜卡迪 Monster 821
7,杜卡迪,Hypermotard 950,杜卡迪 Hypermotard 950
8,哈雷戴维森,硬汉 lron 1200,哈雷戴维森 硬汉 lron 1200
9,凯旋,Scrambler 1200,凯旋 Scrambler 1200
10,KTMR2R,790 Duke,KTMR2R 790 Duke
11,本田DREAMWING,NSS750,本田DREAMWING NSS750
12,摩托古兹,V7 Stone,摩托古兹 V7 Stone
13,摩托古兹,V7 Classic,摩托古兹 V7 Classic
14,KTMR2R,150 SX,KTMR2R 150 SX
15,KTMR2R,250 SX-F(海外),KTMR2R 250 SX-F(海外)
16,KTMR2R,350 SX-F,KTMR2R 350 SX-F
17,KTMR2R,250 EXC,KTMR2R 250 EXC
18,杜卡迪,SuperSport,杜卡迪 SuperSport
19,VESPA,946,VESPA 946
20,凯旋,Bonneville Bobber,凯旋 Bonneville Bobber
21,凯旋,Bonneville Speedmaster,凯旋 Bonneville Speedmaster
22,凯旋,Speed Twin 1200,凯旋 Speed Twin 1200
23,雅马哈,MT-09,雅马哈 MT-09
0,本田DREAMWING,X-ADV 750,本田DREAMWING X-ADV 750
1,KTMR2R,890 Adventure,KTMR2R 890 Adventure
2,摩托古兹,V7 II SPECIAL,摩托古兹 V7 II SPECIAL
3,摩托古兹,V7 lll Special,摩托古兹 V7 lll Special
4,雅马哈,XS900R,雅马哈 XS900R
5,哈雷戴维森,1200 Custom,哈雷戴维森 1200 Custom
6,杜卡迪,Multistrada V2,杜卡迪 Multistrada V2
7,哈雷戴维森,Sportster S,哈雷戴维森 Sportster S
8,哈雷戴维森,Forty-Eight 运动者,哈雷戴维森 Forty-Eight 运动者
9,庞巴迪,GTR,庞巴迪 GTR
10,KTMR2R,450 SX-F,KTMR2R 450 SX-F
11,杜卡迪,Scrambler 1100,杜卡迪 Scrambler 1100
12,KTMR2R,790 Adventure,KTMR2R 790 Adventure
13,宝马,C 650 Sport,宝马 C 650 Sport
14,川崎,Z900RS,川崎 Z900RS
15,KTMR2R,Freeride 350,KTMR2R Freeride 350
16,雅马哈,TMAX,雅马哈 TMAX
17,雅马哈,Tracer 900GT,雅马哈 Tracer 900GT
18,雅马哈,Tracer 9GT,雅马哈 Tracer 9GT
19,宝马,C 650GT,宝马 C 650GT
20,本田DREAMWING,CB1100,本田DREAMWING CB1100
21,杜卡迪,Multistrada 950,杜卡迪 Multistrada 950
22,哈雷戴维森,ROADSTER 路锋,哈雷戴维森 ROADSTER 路锋
