股票代码,股票简称,流通市值,总市值,最新价,涨跌幅
603065.SH,N联盛,7.8,77.5,18.5,43.97
873152.BJ,天宏锂电,3.2,9.8,12.44,24.52
300291.SZ,百纳千成,63.2,72.4,7.78,20.06
301001.SZ,凯淳股份,10.5,24.4,30.54,20.0
300600.SZ,国瑞科技,24.7,29.7,10.1,19.95
301110.SZ,青木股份,16.3,46.7,70.02,18.12
300516.SZ,久之洋,59.9,59.9,33.29,17.72
688300.SH,联瑞新材,83.7,83.7,67.18,16.88
300616.SZ,尚品宅配,34.8,53.2,26.78,15.03
301257.SZ,普蕊斯,9.9,40.2,65.96,14.39
300965.SZ,恒宇信通,9.7,35.3,58.83,13.95
688365.SH,光云科技,35.8,89.4,21.0,13.51
300922.SZ,天秦装备,16.3,29.8,19.01,13.15
301213.SZ,观想科技,13.3,37.1,46.36,13.02
688158.SH,优刻得-W,79.1,100.9,22.27,10.8
688088.SH,虹软科技,152.2,152.2,37.5,10.62
300592.SZ,华凯易佰,36.1,66.1,22.85,10.39
002195.SZ,二三四五,185.5,187.8,3.28,10.07
000697.SZ,炼石航空,34.7,40.4,6.02,10.05
002215.SZ,诺普信,64.1,80.6,8.1,10.05
002636.SZ,金安国纪,70.5,71.0,9.75,10.05
600539.SH,狮头股份,17.4,17.4,7.56,10.04
688393.SH,安必平,16.1,24.9,26.63,10.04
600228.SH,返利科技,32.7,85.7,11.74,10.03
603016.SH,新宏泰,34.2,34.2,23.05,10.02
002245.SZ,蔚蓝锂芯,149.7,159.3,13.83,10.02
000892.SZ,欢瑞世纪,34.3,47.4,4.83,10.02
001337.SZ,四川黄金,19.2,134.7,32.07,10.02
603997.SH,继峰股份,161.4,161.4,14.4,10.01
605133.SH,嵘泰股份,14.7,59.6,36.72,10.01
003010.SZ,若羽臣,15.8,26.8,21.99,10.01
600391.SH,航发科技,73.7,73.7,22.32,10.0
002605.SZ,姚记科技,77.9,97.5,23.75,10.0
603529.SH,爱玛科技,96.5,379.3,66.0,10.0
600280.SH,中央商场,52.1,52.1,4.62,10.0
002955.SZ,鸿合科技,67.8,85.5,36.52,10.0
002323.SZ,雅博股份,70.0,70.0,3.3,10.0
002095.SZ,生意宝,53.2,53.4,21.12,10.0
000409.SZ,云鼎科技,37.3,58.5,8.8,10.0
002864.SZ,盘龙药业,21.5,34.4,39.72,10.0
002253.SZ,川大智胜,38.8,42.2,18.71,9.99
603801.SH,志邦家居,108.1,108.1,34.68,9.99
002803.SZ,吉宏股份,59.1,78.7,20.81,9.99
002159.SZ,三特索道,21.0,27.0,15.22,9.97
600636.SH,国新文化,47.6,47.6,10.81,9.97
600490.SH,鹏欣资源,70.3,78.1,3.53,9.97
002599.SZ,盛通股份,25.3,34.4,6.4,9.97
002354.SZ,天娱数科,94.0,105.9,6.4,9.97
300527.SZ,中船应急,82.0,82.0,8.51,9.95
000595.SZ,宝塔实业,76.8,76.9,6.75,9.93
002280.SZ,联络互动,75.5,87.1,4.0,9.89
831961.BJ,创远信科,10.8,15.0,10.48,9.85
300469.SZ,信息发展,33.3,36.3,17.69,9.74
688271.SH,联影医疗,82.8,1365.5,165.68,9.32
002315.SZ,焦点科技,44.3,70.9,22.8,9.09
300840.SZ,酷特智能,16.2,25.2,10.48,8.94
