product,isin,exchange,benchmark,region,esgRating,totalExpanseRation,translateView,linkKid
iShares STOXX Europa Select Dividend 30 (DE),DE0002635299,Xetra,STOXX Europa Select Dividend 30,Europa,AA,0.31,Bekijk,https://www.ishares.com/de/professionelle-anleger/de/literature/kiid/kiid-munich-all-ishares-stoxx-Europa-select-dividend-30-ucits-etf-de-de-de0002635299-de.pdf
iShares STOXX Europa 600 UCITS ETF (DE),DE0002635307,Xetra,STOXX Europa 600 NR,Europa,AA,0.2,Bekijk,https://www.ishares.com/ch/individual/en/literature/kiid/kiid-ishares-stoxx-Europa-600-ucits-etf-de-ch-de0002635307-en.pdf
iShares TecDAX UCITS ETF (DE),DE0005933972,Xetra,DAXX,Europa,A,0.51,Bekijk,https://www.ishares.com/ch/individual/en/literature/kiid/kiid-ishares-tecdax-ucits-etf-de-ch-de0005933972-en.pdf
iShares STOXX Europa Mid 200 (DE),DE0005933998,Xetra,STOXX Europa Mid 200,Europa,AA,0.2,Bekijk,https://www.justetf.com/servlet/download?isin=DE0005933998&documentType=KID&country=DE&lang=de
iShares NASDAQ-100 UCITS ETF (DE),DE000A0F5UF5,Xetra,Nasdaq-100,Verenigde Staten,BBB,0.31,Bekijk,https://www.blackrock.com/lu/individual/literature/kiid/kiid-ishares-nasdaq-100-ucits-etf-de-gb-de000a0f5uf5-en.pdf
iShares STOXX Global Select Dividend 100 (DE),DE000A0F5UH1,Xetra,STOXX Global Select Dividend 100 Index,Wereldwijd,AA,0.46,Bekijk,https://www.ishares.com/ch/individual/en/literature/kiid/kiid-ishares-stoxx-global-select-dividend-100-ucits-etf-de-ch-de000a0f5uh1-en.pdf
DIVERS COMMODITY,DE000A0H0728,Euronext Amsterdam,Bloomberg Commodity Index Total Return,Wereldwijd,-,0.46,Bekijk,https://www.ishares.com/ch/individual/en/literature/kiid/kiid-ishares-diversified-commodity-swap-ucits-etf-de-ch-de000a0h0728-en.pdf
iShares Diversified Commodity Swap (DE),DE000A0H0728,Xetra,Bloomberg Commodity Index Total Return,Wereldwijd,-,0.46,Bekijk,https://www.ishares.com/ch/individual/en/literature/kiid/kiid-ishares-diversified-commodity-swap-ucits-etf-de-ch-de000a0h0728-en.pdf
iShares STOXX Europa 600 Oil & Gas UCITS ETF (DE),DE000A0H08M3,Xetra,STOXX Europa 600 Oil & Gas,Europa,A,0.46,Bekijk,https://www.ishares.com/ch/institutional/en/literature/kiid/kiid-ishares-stoxx-Europa-600-oil-gas-ucits-etf-de-ch-de000a0h08m3-en.pdf
iShares STOXX Europa 600 Travel & Leisure (DE),DE000A0H08S0,Xetra,STOXX Europa 600 Travel & Leisure,Europa,A,0.46,Bekijk,https://www.ishares.com/ch/individual/en/literature/kiid/kiid-ishares-stoxx-Europa-600-travel-leisure-ucits-etf-de-ch-de000a0h08s0-en.pdf
Etflab Stoxx Europa Strong Growth 20,DE000ETFL037,Xetra,STOXX Europa Strong Growth 20,Europa,A,0.65,Bekijk,https://www.deka-etf.de/documents/kiid_3_20210208_de.pdf
BBVA-ACCION IBEX 35 ETF,ES0105336038,Bolsa de Madrid,IBEX 35,Europa,-,0.4,Bekijk,https://fidocs.bbva.com/documents/ES0105336038_FR_20210131_ESP_SPA_1.pdf
LYXOR ETF BEL 20,FR0000021842,Euronext Brussels,Brussels Stock Exchange BEL20 Private Return Index Closing,Belgi?,AAA,0.5,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-bel-20-tr-dr-ucits-etf-dist-distrib/fr0000021842/eur?documentLanguage=English
LYXOR ETF CAC 40,FR0007052782,Euronext Paris,CAC 40 Total Return Index,Europa,A,0.25,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-cac-40-dr-ucits-etf-dist-distrib/fr0007052782/gbp?documentLanguage=English
LYXOR ETF ESTOXX50,FR0007054358,Euronext Paris,EURO STOXX 50 Net Return EUR,Europa,AA,0.2,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-euro-stoxx-50-dr-ucits-etf-acc-capi/fr0007054358/eur?documentLanguage=English
LYXOR ETF IBEX 35,FR0010251744,Bolsa de Madrid,IBEX 35,Europa,AA,0.3,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-ibex-35-dr-ucits-etf-dist-distrib/fr0010251744/eur?documentLanguage=English
LYXOR ETF INDIA,FR0010361683,Euronext Paris,MSCI Emerging Markets India Net TR (USD),India,A,0.85,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-msci-india-ucits-etf-acc-eur-capi/fr0010361683/eur?documentLanguage=English
LYXOR ETF ATHEX 20,FR0010405431,Euronext Paris,MSCI Greece IMI + Coca-Cola 20-35 Net Total Return,Europa,A,0.45,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-msci-greece-ucits-etf-dist-distrib/fr0010405431/eur?documentLanguage=English
Lyxor New Energy UCITS ETF Dist,FR0010524777,Xetra,World Alternative Energy Total Return Index,Wereldwijd,AA,0.6,Bekijk,https://www.lyxoretf.co.uk/en/retail/resources/documents/kiid/lyxor-msci-new-energy-esg-filtered-dr-ucits-etf-dist-distrib/fr0010524777/gbp?documentLanguage=English
Lyxor World Water UCITS ETF - Dist,FR0010527275,Xetra,World Water cw Total Return Index,Wereldwijd,AA,0.6,Bekijk,https://www.lyxoretf.co.uk/en/retail/resources/documents/kiid/lyxor-msci-water-esg-filtered-dr-ucits-etf-dist-distrib/fr0010527275/gbp?documentLanguage=English
STOXX 600 EasyETF,FR0011550193,Euronext Paris,STOXX Europa 600 NR,Europa,AA,0.2,Bekijk,https://docfinder.is.bnpparibas-ip.com/api/files/76905a1e-3820-4e3f-8051-2e487c150315/6656
EASYETF STOXX 50,FR0012739431,Euronext Paris,EURO STOXX 50 (NR),Europa,AA,0.18,Bekijk,https://docfinder.is.bnpparibas-ip.com/api/files/5f2663ed-19ed-4bb7-8dff-37e119a3617c/5632
ISHARES FTSE 100,IE0005042456,Euronext Amsterdam,FTSE 100-index,Verenigd Koninkrijk ,AA,0.07,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-core-ftse-100-ucits-etf-gbp-dist-gb-ie0005042456-en.pdf
ISHARES STOXX 50,IE0008470928,Euronext Amsterdam,DJ Stoxx 50,Europa,AA,0.35,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-stoxx-Europa-50-ucits-etf-eur-dist-gb-ie0008470928-en.pdf
ISHARES EURO STX50,IE0008471009,Euronext Amsterdam,Euro STOXX 50,Europa,A,0.1,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-core-euro-stoxx-50-ucits-etf-eur-dist-gb-ie0008471009-en.pdf
ISHARES S&P 500,IE0031442068,Euronext Amsterdam,S&P 500,Verenigde Staten,BBB,0.07,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-core-sp-500-ucits-etf-usd-dist-gb-ie0031442068-en.pdf
PS EQQQ,IE0032077012,Euronext Paris,Nasdaq-100,Verenigde Staten,BBB,0.3,Bekijk,https://etf.invesco.com/sites/default/files/documents/IE0032077012_EN_GB.pdf
ISHARES JAPAN,IE00B02KXH56,Euronext Amsterdam,MSCI Japan,Japan,A,0.59,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-msci-japan-ucits-etf-usd-dist-gb-ie00b02kxh56-en.pdf
ISHARES CHINA 25,IE00B02KXK85,Euronext Amsterdam,FTSE China 25,China,BBB,0.74,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-china-large-cap-ucits-etf-usd-dist-gb-ie00b02kxk85-en.pdf
ISHARES WORLD,IE00B0M62Q58,Euronext Amsterdam,MSCI World EUR,Wereldwijd,A,0.5,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-msci-world-ucits-etf-usd-dist-gb-ie00b0m62q58-en.pdf
ISHARES ESTOXX DIV,IE00B0M62S72,Euronext Amsterdam,STOXX Europa Select Dividend 30,Europa,A,0.4,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-euro-dividend-ucits-etf-eur-dist-gb-ie00b0m62s72-en.pdf
