概念名称,分类,相关行业,热点,active,counts
融资融券,交易,,,1,2382
转融券标的,交易,,,0,2377
富时罗素股,交易,,,0,1265
富时罗素,交易,,,0,1183
地方国资改革,改革,,,0,1175
标普道琼斯A股,交易,,,1,1087
深股通,交易,,,1,933
沪股通,交易,,,1,594
华为,知名企业,,,1,580
MSCI,交易,,,1,572
新能源汽车,行业,汽车,Y,1,555
半年报预增,交易,,,1,466
军工,行业,,Y,1,454
央企国资改革,改革,,,0,430
新股与次新股,交易,,,1,418
专精特新,政策,,Y,1,386
光伏,行业,电力,Y,1,356
芯片,行业,芯片,Y,1,331
锂电池,行业,汽车,Y,1,306
一带一路,政策,,Y,1,299
5G,行业,通信,Y,1,298
机器人,行业,制造业,Y,1,294
比亚迪,知名企业,,,1,289
新材料,政策,制造业,Y,1,286
电子商务,电子+,消费,Y,1,278
创投,交易,,,1,277
人民币贬值受益,交易,,,1,254
物联网,行业,计算机,Y,1,251
大数据,行业,计算机,Y,1,247
储能,行业,电力,Y,1,239
区块链,行业,计算机,Y,1,236
节能环保,政策,环保,Y,1,234
医疗器械,产品,生物医药,,1,231
证金持股,交易,,,1,227
智慧城市,智能+,计算机,,1,217
特斯拉,知名企业,,,1,206
人工智能,行业,计算机,Y,1,206
工业4.0,政策,制造业,Y,1,200
风电,行业,电力,Y,1,197
高端装备,政策,制造业,Y,1,193
雄安新区,区域,,,1,186
国产软件,行业+,计算机,,1,186
文化传媒,行业,消费,,1,183
汽车电子,行业,汽车,Y,1,182
虚拟现实,行业,计算机,Y,1,182
云计算,云计算,计算机,Y,1,179
宁德时代,知名企业,,,1,177
创业板重组松绑,交易,,,1,176
注册制次新股,交易,,,1,172
乡村振兴,政策,,Y,1,170
新能源,政策,电力,,0,169
生物医药,行业,生物医药,,1,169
参股新三板,交易,,,1,169
数据中心,行业,计算机,,1,169
PPP,行业,建筑,,1,169
氢能源,行业,电力,Y,1,168
集成电路,行业,芯片,Y,1,165
充电桩,产品,电力,Y,1,160
口罩,产品,生物医药,,0,159
工业互联网,互联网+,制造业,Y,1,156
燃料电池,行业,电力,,1,156
污水处理,行业,环保,,1,156
新零售,政策,消费,Y,1,155
中医药,行业,生物医药,,0,146
ST板块,交易,,,1,146
智能电网,智能+,电力,,1,144
养老金持股,交易,,,0,139
送转填权,交易,,,1,138
核电,行业,电力,,1,137
碳中和,政策,,Y,1,132
参股银行,交易,,,1,132
军民融合,政策,,Y,1,130
轨道交通,行业,交运,,0,130
医保目录,事件,生物医药,,0,129
消费电子,行业,芯片,Y,1,129
小金属,行业,,,0,128
粤港澳大湾区,区域,,,1,127
互联网金融,互联网+,,,1,123
绿色电力,政策,电力,Y,1,121
国产替代,政策,,Y,1,121
小米,知名企业,,,1,121
科创次新股,交易,,,1,121
元宇宙,行业,计算机,Y,1,121
参股券商,交易,,,1,120
股权转让,交易,,,1,120
新型城镇化,政策,建筑,,1,118
电子信息,电子+,计算机,,0,118
OLED,产品,芯片,,1,116
无人驾驶,行业,汽车,Y,1,113
苹果,知名企业,,,1,110
涉矿,事件,,,0,110
天然气,产品,能源,Y,1,110
肝炎,行业,生物医药,,1,109
广东国资改革,区域,,,0,109
冷链物流,行业,交运,,1,109
智能家居,智能+,建筑,,1,107
网络安全,行业+,计算机,Y,1,107
大消费,政策,消费,Y,1,105
腾讯,知名企业,,,1,105
独角兽,交易,,,1,105
新冠检测,事件,生物医药,,1,104
阿里巴巴,知名企业,,,1,103
固废处理,行业,环保,,1,103
无人机,产品,制造业,,1,103
创新药,事件,生物医药,,0,102
冬奥会,事件,,,0,102
健康中国,政策,生物医药,,1,100
水利,行业,电力,,1,99
边缘计算,行业+,计算机,,1,96
在线教育,行业,,,1,96
三胎,政策,,,1,94
跨境电商,行业,消费,,1,94
新基建,政策,,,1,92
车联网,行业,汽车,,1,92
网络直播,行业,消费,,1,92
长三角一体化,区域,,,1,91
垃圾分类,行业,环保,,1,91
养老,政策,,,1,90
超清视频,行业,消费,,1,90
抗癌,行业,生物医药,,0,88
工业机器人,行业,制造业,,0,88
参股民营银行,交易,,,0,87
安防,行业,,,1,87
抖音,知名企业,,,1,85
参股保险,交易,,,1,84
