所属行业,一级行业,二级行业,三级行业
有色金属-小金属-稀土,有色金属,小金属,稀土
有色金属-小金属-小金属,有色金属,小金属,小金属
有色金属-小金属-能源金属,有色金属,小金属,能源金属
有色金属-金属新材料-金属新材料,有色金属,金属新材料,金属新材料
有色金属-金属新材料-磁性材料,有色金属,金属新材料,磁性材料
有色金属-贵金属-贵金属,有色金属,贵金属,贵金属
有色金属-工业金属-铜,有色金属,工业金属,铜
有色金属-工业金属-铅锌,有色金属,工业金属,铅锌
有色金属-工业金属-铝,有色金属,工业金属,铝
银行-银行-农商行,银行,银行,农商行
银行-银行-国有大型银行,银行,银行,国有银行
银行-银行-股份制银行,银行,银行,股份制银行
银行-银行-城商行,银行,银行,城商行
医药生物-中药-中药,医药,中药,中药
医药生物-医药商业-医药商业,医药,医药商业,医药商业
医药生物-医疗器械-医疗设备,医药,医疗器械,医疗设备
医药生物-医疗器械-医疗耗材,医药,医疗器械,医疗耗材
医药生物-医疗器械-体外诊断,医药,医疗器械,体外诊断
医药生物-医疗服务-医疗研发外包,医药,医疗服务,医疗研发
医药生物-医疗服务-医疗服务,医药,医疗服务,医疗服务
医药生物-生物-疫苗,医药,生物,疫苗
医药生物-生物-血液,医药,生物,血液
医药生物-生物-生物,医药,生物,生物
医药生物-化学制药-原料药,医药,化学制药,原料药
医药生物-化学制药-化学制剂,医药,化学制药,化学制剂
通信-通信设备-通信终端及配件,通信,通信设备,通信终端
通信-通信设备-通信线缆及配套,通信,通信设备,通信线缆
通信-通信设备-通信网络设备及器件,通信,通信设备,网络设备
通信-通信设备-通信设备,通信,通信设备,通信设备
通信-通信服务-通信服务,通信,通信服务,通信服务
食品饮料-饮料-软饮料,食品饮料,饮料,软饮料
食品饮料-饮料-酒类,食品饮料,饮料,酒类
食品饮料-饮料-啤酒,食品饮料,饮料,啤酒
食品饮料-饮料-白酒,食品饮料,饮料,白酒
食品饮料-食品加工-休闲食品,食品饮料,食品加工,休闲食品
食品饮料-食品加工-乳品,食品饮料,食品加工,乳品
食品饮料-食品加工-肉,食品饮料,食品加工,肉品
食品饮料-食品加工-食品,食品饮料,食品加工,食品
食品饮料-食品加工-调味发酵品,食品饮料,调味,发酵
石油石化-油气开采-油气开采,石油石化,油气开采,油气开采
石油石化-油气开采-油服工程,石油石化,油气开采,油服工程
石油石化-石油加工贸易-油品石化贸易,石油石化,石油加工,石油贸易
石油石化-石油加工贸易-石油加工,石油石化,石油,天然气
社会服务-社会服务-体育,社会服务,社会服务,体育
社会服务-酒店及餐饮-酒店,社会服务,酒店,酒店
社会服务-酒店及餐饮-餐饮,社会服务,酒店,餐饮
社会服务-景点及旅游-自然景点,社会服务,,景点
