股票代码,股票简称,沪深指数,风格指数,行业指数
688401.SH,路维光电,,,
301330.SZ,熵基科技,,,
301021.SZ,英诺激光,,,"电子指数,制造指数"
300856.SZ,科思股份,中证1000,,"制造指数,化学指数"
300421.SZ,力星股份,,,"通用指数,制造指数"
301312.SZ,智立方,,,制造指数
301278.SZ,快可电子,,,
688071.SH,华依科技,,,工业指数
688398.SH,赛特新材,,,工业指数
300982.SZ,苏文电能,创业300,"中小创新,创业基础",建筑指数
300382.SZ,斯莱克,"创业300,中证1000","中小创新,创业基础","制造指数,专用指数"
300806.SZ,斯迪克,创业300,"中小创新,创业基础","橡胶指数,制造指数"
688630.SH,芯碁微装,上证150,中型综指,工业指数
688001.SH,华兴源创,中证1000,,工业指数
300219.SZ,鸿利智汇,"创业300,中证1000","中小创新,创业基础","电子指数,制造指数"
688020.SH,方邦股份,中证1000,,工业指数
301051.SZ,信濠光电,,中小创新,制造指数
002630.SZ,华西能源,,中小综指,"通用指数,制造指数"
002662.SZ,京威股份,中证1000,"中小创新,中小基础,中小综指","汽车指数,制造指数"
002564.SZ,天沃科技,,中小综指,建筑指数
000605.SZ,渤海股份,,,水电指数
002363.SZ,隆基机械,,中小综指,"汽车指数,制造指数"
002221.SZ,东华能源,"中证800,中证700,中证500","中创400,中小综指,中创500,中小300,中小基础",批零指数
000045.SZ,深纺织A,,,"电子指数,制造指数"
600774.SH,汉商集团,,中型综指,商业指数
002345.SZ,潮宏基,,中小综指,"制造指数,其他指数"
600107.SH,美尔雅,上证150,中型综指,工业指数
002926.SZ,华西证券,"中证800,中证700,中证500","中创400,中小综指,中小基础,中创500,中小300,中小100",金融指数
002334.SZ,英威腾,,中小综指,"电气指数,制造指数,SME创新"
002825.SZ,纳尔股份,,中小综指,"橡胶指数,制造指数"
002150.SZ,通润装备,,中小综指,"金属指数,制造指数"
002272.SZ,川润股份,,中小综指,"通用指数,制造指数"
603289.SH,泰瑞机器,上证150,中型综指,工业指数
603126.SH,中材节能,,,工业指数
002090.SZ,金智科技,,中小综指,"电气指数,制造指数"
002553.SZ,南方精工,,中小综指,"通用指数,制造指数"
000810.SZ,创维数字,中证1000,"科技100,中小创新","电子指数,制造指数"
002768.SZ,国恩股份,中证1000,"中小创新,中小基础,中小综指","橡胶指数,制造指数"
600537.SH,亿晶光电,,,综合指数
600633.SH,浙数文化,,,工业指数
000728.SZ,国元证券,"中证800,中证700,中证500",,金融指数
002405.SZ,四维图新,中证1000,"中创400,科技100,中小综指,中小基础,中创500,中小300,中小100","IT指数,SME创新"
003021.SZ,兆威机电,中证1000,"中小创新,中小基础,中小综指","电气指数,制造指数"
002993.SZ,奥海科技,中证1000,"中小创新,中创400,中小综指,中创500,中小300,中小基础","电子指数,制造指数"
601869.SH,长飞光纤,"中证800,中证700,上证380,中证500",,工业指数
002140.SZ,东华科技,,中小综指,建筑指数
002843.SZ,泰嘉股份,,中小综指,"金属指数,制造指数"
603389.SH,亚振家居,,,综合指数
002350.SZ,北京科锐,,中小综指,"电气指数,制造指数"
002606.SZ,大连电瓷,,中小综指,"电气指数,制造指数"
002469.SZ,三维化学,,中小综指,"制造指数,化学指数"
603530.SH,神马电力,中证1000,中型综指,工业指数
002364.SZ,中恒电气,,"中小创新,中小基础,中小综指","电气指数,制造指数,SME创新"
001289.SZ,龙源电力,"中证800,沪港深300,沪深300",300 ESG,水电指数
603693.SH,江苏新能,中证1000,,工业指数
603507.SH,振江股份,上证150,中型综指,工业指数
002308.SZ,威创股份,,中小综指,"电子指数,制造指数"
603305.SH,旭升股份,"上证100,上证380,中证1000","上证中小,上证小盘",工业指数
002965.SZ,祥鑫科技,,中小综指,"金属指数,制造指数"
001339.SZ,智微智能,,,
002868.SZ,绿康生化,,中小综指,"制造指数,医药指数"
002921.SZ,联诚精密,,中小综指,"金属指数,制造指数"
603212.SH,赛伍技术,中证1000,,工业指数
000049.SZ,德赛电池,中证1000,中小创新,"电气指数,创新龙头,创新引擎,制造指数"
605288.SH,凯迪股份,,,工业指数
002823.SZ,凯中精密,,中小综指,"电气指数,制造指数"
600889.SH,南京化纤,,中型综指,工业指数
600644.SH,乐山电力,,,公用指数
002159.SZ,三特索道,,中小综指,公共指数
