股票代码,股票简称,所属行业,一级行业,二级行业,三级行业
603182.SH,嘉华股份,农林牧渔-农产品加工-粮油加工,农林牧渔,农产品加工,粮油加工
301349.SZ,信德新材,电力设备-电力设备-电池,电力设备,电力设备,电池
688114.SH,华大智造,医药生物-医疗器械-医疗设备,医药生物,医疗器械,医疗设备
301339.SZ,通行宝,计算机-计算机设备-计算机设备Ⅲ,计算机,计算机设备,计算机设备Ⅲ
831152.BJ,昆工科技,有色金属-金属新材料-其他金属新材料,有色金属,金属新材料,其他金属新材料
001283.SZ,豪鹏科技,电力设备-电力设备-电池,电力设备,电力设备,电池
839790.BJ,联迪信息,计算机-计算机应用-IT服务,计算机,计算机应用,IT服务
301321.SZ,翰博高新,电子-光学光电子-面板,电子,光学光电子,面板
301328.SZ,维峰电子,电子-其他电子-其他电子Ⅲ,电子,其他电子,其他电子Ⅲ
301231.SZ,荣信文化,传媒-传媒-出版,传媒,传媒,出版
301276.SZ,嘉曼服饰,纺织服装-服装家纺-服装,纺织服装,服装家纺,服装
688401.SH,路维光电,电子-半导体及元件-半导体材料,电子,半导体及元件,半导体材料
301330.SZ,熵基科技,计算机-计算机设备-计算机设备Ⅲ,计算机,计算机设备,计算机设备Ⅲ
301021.SZ,英诺激光,机械设备-自动化设备-激光设备,机械设备,自动化设备,激光设备
300856.SZ,科思股份,美容护理-美容护理-化妆品,美容护理,美容护理,化妆品
300421.SZ,力星股份,机械设备-通用设备-金属制品,机械设备,通用设备,金属制品
301312.SZ,智立方,机械设备-自动化设备-工控设备,机械设备,自动化设备,工控设备
301278.SZ,快可电子,电力设备-电力设备-光伏设备,电力设备,电力设备,光伏设备
688071.SH,华依科技,机械设备-专用设备-其他专用设备,机械设备,专用设备,其他专用设备
688398.SH,赛特新材,基础化工-化学制品-其他化学制品,基础化工,化学制品,其他化学制品
300982.SZ,苏文电能,建筑装饰-建筑装饰-基础建设,建筑装饰,建筑装饰,基础建设
300382.SZ,斯莱克,机械设备-专用设备-其他专用设备,机械设备,专用设备,其他专用设备
300806.SZ,斯迪克,基础化工-化工合成材料-膜材料,基础化工,化工合成材料,膜材料
688630.SH,芯碁微装,机械设备-专用设备-其他专用设备,机械设备,专用设备,其他专用设备
688001.SH,华兴源创,机械设备-专用设备-其他专用设备,机械设备,专用设备,其他专用设备
300219.SZ,鸿利智汇,电子-光学光电子-LED,电子,光学光电子,LED
688020.SH,方邦股份,电子-电子化学品-电子化学品Ⅲ,电子,电子化学品,电子化学品Ⅲ
301051.SZ,信濠光电,电子-消费电子-消费电子零部件及组装,电子,消费电子,消费电子零部件及组装
002630.SZ,华西能源,电力设备-电力设备-其他电源设备,电力设备,电力设备,其他电源设备
002662.SZ,京威股份,交运设备-汽车零部件-汽车零部件Ⅲ,交运设备,汽车零部件,汽车零部件Ⅲ
002564.SZ,天沃科技,建筑装饰-建筑装饰-基础建设,建筑装饰,建筑装饰,基础建设
000605.SZ,渤海股份,环保-环保-水务及水治理,环保,环保,水务及水治理
002363.SZ,隆基机械,交运设备-汽车零部件-汽车零部件Ⅲ,交运设备,汽车零部件,汽车零部件Ⅲ
002221.SZ,东华能源,石油石化-石油加工贸易-石油加工,石油石化,石油加工贸易,石油加工
000045.SZ,深纺织A,电子-光学光电子-面板,电子,光学光电子,面板
600774.SH,汉商集团,医药生物-化学制药-化学制剂,医药生物,化学制药,化学制剂
002345.SZ,潮宏基,轻工制造-家用轻工-饰品,轻工制造,家用轻工,饰品
600107.SH,美尔雅,纺织服装-服装家纺-服装,纺织服装,服装家纺,服装
002926.SZ,华西证券,非银金融-证券-证券Ⅲ,非银金融,证券,证券Ⅲ
002334.SZ,英威腾,机械设备-自动化设备-工控设备,机械设备,自动化设备,工控设备
002825.SZ,纳尔股份,基础化工-化工合成材料-其他塑料制品,基础化工,化工合成材料,其他塑料制品
002150.SZ,通润装备,机械设备-通用设备-金属制品,机械设备,通用设备,金属制品
002272.SZ,川润股份,机械设备-专用设备-工程机械,机械设备,专用设备,工程机械
603289.SH,泰瑞机器,机械设备-专用设备-其他专用设备,机械设备,专用设备,其他专用设备
603126.SH,中材节能,环保-环保-固废治理,环保,环保,固废治理
002090.SZ,金智科技,电力设备-电力设备-电气自控设备,电力设备,电力设备,电气自控设备
002553.SZ,南方精工,交运设备-汽车零部件-汽车零部件Ⅲ,交运设备,汽车零部件,汽车零部件Ⅲ
000810.SZ,创维数字,家用电器-黑色家电-其他黑色家电,家用电器,黑色家电,其他黑色家电
002768.SZ,国恩股份,基础化工-化工合成材料-改性塑料,基础化工,化工合成材料,改性塑料
600537.SH,亿晶光电,电力设备-电力设备-光伏设备,电力设备,电力设备,光伏设备
600633.SH,浙数文化,传媒-传媒-游戏,传媒,传媒,游戏
000728.SZ,国元证券,非银金融-证券-证券Ⅲ,非银金融,证券,证券Ⅲ
002405.SZ,四维图新,计算机-计算机应用-软件开发,计算机,计算机应用,软件开发
003021.SZ,兆威机电,电力设备-电力设备-电机,电力设备,电力设备,电机
002993.SZ,奥海科技,电子-消费电子-消费电子零部件及组装,电子,消费电子,消费电子零部件及组装
601869.SH,长飞光纤,通信-通信设备-通信线缆及配套,通信,通信设备,通信线缆及配套
002140.SZ,东华科技,建筑装饰-建筑装饰-专业工程,建筑装饰,建筑装饰,专业工程
002843.SZ,泰嘉股份,机械设备-通用设备-金属制品,机械设备,通用设备,金属制品
603389.SH,亚振家居,轻工制造-家用轻工-家具,轻工制造,家用轻工,家具
002350.SZ,北京科锐,电力设备-电力设备-输变电设备,电力设备,电力设备,输变电设备
002606.SZ,大连电瓷,电力设备-电力设备-线缆部件及其他,电力设备,电力设备,线缆部件及其他
002469.SZ,三维化学,基础化工-化学原料-其他化学原料,基础化工,化学原料,其他化学原料
603530.SH,神马电力,电力设备-电力设备-线缆部件及其他,电力设备,电力设备,线缆部件及其他
002364.SZ,中恒电气,电力设备-电力设备-其他电源设备,电力设备,电力设备,其他电源设备
001289.SZ,龙源电力,公用事业-电力-新能源发电,公用事业,电力,新能源发电
603693.SH,江苏新能,公用事业-电力-新能源发电,公用事业,电力,新能源发电
603507.SH,振江股份,电力设备-电力设备-风电设备,电力设备,电力设备,风电设备
002308.SZ,威创股份,计算机-计算机设备-计算机设备Ⅲ,计算机,计算机设备,计算机设备Ⅲ
603305.SH,旭升股份,交运设备-汽车零部件-汽车零部件Ⅲ,交运设备,汽车零部件,汽车零部件Ⅲ
002965.SZ,祥鑫科技,交运设备-汽车零部件-汽车零部件Ⅲ,交运设备,汽车零部件,汽车零部件Ⅲ
001339.SZ,智微智能,计算机-计算机设备-计算机设备Ⅲ,计算机,计算机设备,计算机设备Ⅲ
002868.SZ,绿康生化,农林牧渔-农业服务-动物保健,农林牧渔,农业服务,动物保健
