股票代码,股票简称,主营
603182.SH,嘉华股份,
300374.SZ,中铁装配,"装配式建筑服务,建筑结构材料(装配式建筑部品部件）,装配式建筑,装配式建筑及服务,装配式建筑集成,装配式建筑项目,贸易,装配式建筑部品部件及集成服务"
301033.SZ,迈普医学,"人工硬脑（脊）膜补片,颅颌面修补,颅颌面修补系统,D打印设备,植入医疗器械"
301349.SZ,信德新材,
688114.SH,华大智造,"销售仪器设备试剂及耗材,提供服务,实验室自动化,基因测序"
301339.SZ,通行宝,
002524.SZ,光正眼科,"燃气油品,白内障项目,能源,视光服务项目,医疗,天然气油品,眼前段项目,租赁,屈光项目,眼后段项目,钢结构制作安装,入户安装,天然气油品销售,大健康,钢结构"
600970.SH,中材国际,"工程技术服务,环保,板块间抵消,生产运营管理,运维服务,生产运营,装备制造,抵消,工程建设"
601990.SH,南京证券,"期货经纪,证券及期货经纪,资管及投资管理,证券自营,投资银行,分部间抵销,证券投资,证券经纪,资产管理"
000759.SZ,中百集团,"百货,商品销售,超市,抵销"
002647.SZ,仁东控股,"服务业,金融业,批发零售业,保理,批发零售,融资租赁,机具销售,供应链,第三方支付,信息服务,小额贷款,融资租赁业"
001288.SZ,运机集团,"通用带式输送机及配套,输送机设备,水平转弯带式输送机及配套,管状带式输送机及配套,管状带式输送机"
002379.SZ,宏创控股,"铝箔,废品,出售投资性房地产,铸轧卷,有色金属,出售持有待售的非流动资产（投资性房地产）,铸轧铝板带,租赁,材料,铝颗粒,有色金属加工,冷轧卷,冷轧铝板带,再生铝液"
002282.SZ,博深股份,"电动工具及配件,涂附磨具业,薄膜基涂附磨具,机械制造业,布基涂附磨具,纸基涂附磨具,金刚石工具,电动工具,动车组闸片,合金工具,五金工具,租赁业,砂布,轨交装备零部件,砂纸,涂附磨具"
000755.SZ,山西路桥,"高速公路收费,高速公路,高速公路特许经营权项目,高速公路特许经营项目,收费,高速收费"
002976.SZ,瑞玛精密,"精密金属结构件,精密结构件,电力电气结构件,汽车结构件,电力电气零部件,精密金属零部件,移动通信零部件,通讯,汽车零部件,精密模具,汽车,电子电气,模具,移动通信结构件,通讯设备,移动通讯,制造业,汽车电子"
002173.SZ,创新医疗,医疗服务
002987.SZ,京北方,"软件及数字化转型服务,流程外包,数据处理,呼叫,信息技术服务,流程外包服务,软件及解决方案,IT基础设施服务,数据处理及综合,软件与解决方案,银,软件开发与测试,综合,客户服务及数字化营销,数据处理及处理"
001331.SZ,胜通能源,"成品油,运输服务,LNG销售"
603208.SH,江山欧派,"橱柜,经销渠道,大宗渠道,夹板模压门,柜,实木复合门,家具制造业"
002791.SZ,坚朗五金,"门窗五金系统,家居,门控五金系统,建筑五金业,点支承玻璃幕墙构配件,不锈钢护栏构配件,门窗配套件"
003002.SZ,壶化股份,"导爆索,爆破服务,工业雷管,炸药起爆器材销售,工业炸药,中继起爆具,起爆器材"
002616.SZ,长青集团,"供电,供热,厨电&阀门,垃圾处理费,环保产业,户外及取暖用品,热电联产&垃圾处理,制造业"
002314.SZ,南山控股,"房地产物业管理,产城综合开发,制造:销售,房地产,房地产商品房销售,仓储物流,产城综合开发:综合园区开发,制造业,仓储物流:堆存(仓储)"
002271.SZ,东方雨虹,"防水涂料,防水卷材,材料销售,防水工程施工,防水施工,防水材料销售"
002192.SZ,融捷股份,"锂精矿,有色金属冶炼及压延加工,锂盐销售,锂盐,锂矿采选,动力电池设备销售,消费电池设备销售,锂盐加工及冶炼,锂电设备制造,锂盐加工,锂精矿销售,精密设备制造,锂电设备,有色金属矿采选,专用设备制造"
001316.SZ,润贝航科,"航材分销,航空化学品,地面支持设备,航空油料,自研,分销"
000503.SZ,国新健康,"服务业,医保基金综合管理服务,医疗质量安全服务,药品及医疗器械招标代理,数字医保,数字医药,数字医疗,药械监管服务"
600763.SH,通策医疗,"医疗服务,分部间抵销,管理服务,销售,综合服务费"
002800.SZ,天顺股份,"国际铁路物流,物流园区经营,国际航空物流,物流园区管理,第三方物流服务,国际航空物流服务,第三方物流,国际铁路物流服务,现代物流业,供应链管理"
600272.SH,开开实业,"商业,医药,工业,医药板块医药零售,医疗服务,医药批发,医药板块医药批发,医药板块医疗服务,服装板块服装零售,服装,服装板块服装批发,医药零售,服装批发,服装零售"
000042.SZ,中洲控股,"房地产,内部抵消,物业服务,分部间相互抵减,施工,酒店,建筑施工,酒店餐饮,服务"
600165.SH,新日恒力,"化学原料及化学制品制造,长链二元酸,活性炭,分部间抵销,贸易"
002162.SZ,悦心健康,"玻化砖-抛光砖,瓷砖-瓷片,瓷砖-大理石,瓷砖-仿古砖,釉面砖-水晶釉,大健康(康养/医疗),医疗,大健康（医疗养老）,负离子健康材料,瓷砖-抛釉砖,建材-瓷砖及生态建材,医疗养老,瓷砖-玻化石,生态建材,玻化砖-非抛光砖,生态健康建材（高性能装饰板材）,仓库租赁,瓷砖"
002622.SZ,融钰集团,"软件开关,保理,医疗口腔,实业电气,全渠道数字化零售管理解决方案及,金融服务,广告服务,咨询服务,医疗口腔服务,电气开关,租赁,实业开关,软件开发,征信大数据软件服务"
000797.SZ,中国武夷,"工程承包,物业管理,建筑,物业服务,商业贸易,房地产开发,劳务技术服务,商品房"
600996.SH,贵广网络,"有线电视服务,增值,基本收视,数据,工程及安装,有线电视,节目传输,商品销售"
002589.SZ,瑞康医药,"药品,药品器械,移动医疗,租赁,器械"
000863.SZ,三湘印象,"房地产销售,文化演艺,房屋租赁,建筑施工"
000416.SZ,民生控股,"典当,保险经纪"
688271.SH,联影医疗,"提供维修,软件,销售医学影像诊断设备及放射治疗设备"
300348.SZ,长亮科技,"金融核心解决方案,大数据解决方案,系统集成,大数据应用系统解决方案,软件,集成,互联网金融解决方案,软件开发,维护,维护服务,全面价值管理解决方案,数字金融解决方案,以与解决方案为基础的创新型技术服务,全财务价值链管理解决方案"
603737.SH,三棵树,"防水卷材,建筑装饰,家装木器漆,工程墙面漆,基材与辅材,装饰施工,家装墙面漆,胶黏剂,工业木器漆,精细化工小计,防水卷材(�O),精细化工,防水卷材（m）"
300911.SZ,亿田智能,"吸油烟机,燃气灶,集成灶,烤箱,家电厨卫,集成水槽"
601155.SH,新城控股,"设计咨询,房地产物业销售,住宅销售,综合体销售,合营及联营项目管理费,商业物业出租及管理,物业出租及管理,酒店运营,房地产开发销售"
300338.SZ,ST开元,"仪器仪表,教育板块,职业教育,图书,学历中介,教育培训"
601567.SH,三星医疗,"融资租赁保理及咨询服务,医疗服务业,融资租赁,材料及废料,智能配用电,金融服务,医疗服务,分部间抵销,租赁,融资租赁及咨询服务,制造业"
603383.SH,顶点软件,"定制软件,系统集成,化软件,运维服务,应用软件服务业"
603801.SH,志邦家居,"木门,整体厨柜,家具制造业,定制衣柜"
600836.SH,上海易连,"商业,商业-分部,印刷包装,公司内各分部相互抵消,工业,房地产,商贸服务,房地产业,工业-分部,商贸服务业,房地产开发,房地产-分部,彩印包装装潢"
001914.SZ,招商积余,"基础物业管理,物业管理,平台增值服务,物业餐饮服务业,非住宅,商业运营,物业服务,房地产开发与经营,房地产业,建筑业（楼宇工程）,住宅,专业化服务,楼宇工程,专业增值服务,持有物业出租及经营,资产管理"
603816.SH,顾家家居,"家具制造,运输费用,信息技术服务,软件使用服务费,集成,家居制造,红木家具,沙发,定制,运输费,床,定制家具,配套"
000736.SZ,中交地产,"代建项目管理费,地产销售,房产租赁,物业管理,房地产销售,房地产开发,租赁与物业管理"
002541.SZ,鸿路钢构,"桥梁钢结构,智能机械车库,建筑轻钢结构,钢结构件,重钢结构,装配式建筑,钢结构围护,设备钢结构,智能车库,轻钢结构,围护,建筑重钢结构,钢结构,空间钢结构"
300710.SZ,万隆光电,"软件平台及物联网设备,有线电视光纤传输设备,前端系统,有线电视电缆传输设备,智能化监控设备,数据通信系统,电信增值服务,软件和信息技术服务业"
300285.SZ,国瓷材料,"催化材料板块,工业,汇总,分部间抵销,生物医疗材料板块,新能源事业部,电子材料板块,精密陶瓷事业部"
300149.SZ,睿智医药,"微生态营养制剂,终端微生态营养品,生物CRO,低聚半乳糖-健康配料,医药研发服务及生产外包,医药研发服务与生产,化学CRO,低聚果糖-健康配料,微生态健康,小分子CMO,大分子CDMO"
600576.SH,祥源文化,".互联网推广,.充值,电影电视,.游戏,.技术服务,充值,影视制作,.信息服务,游戏运营,动漫及其衍生,.动漫衍生"
688659.SH,元琛科技,"口罩及熔喷布防护用品,专用设备,脱硝催化剂,防护用品,滤袋"
002389.SZ,航天彩虹,"无人机及相关,电容膜,航空航天制造,光学膜,技术服务,电子元器件制品,背材膜及绝缘材料"
002372.SZ,伟星新材,"PE管材管件,PPR管材管件,制造业,PVC管材管件"
603008.SH,喜临门,"影视业,民用家具,家具,影视,木质家具,沙发,软床及其配套,软床及配套,家具制造业,酒店家具,床垫"
688331.SH,荣昌生物,"销售商品,出售材料,技术授权,提供劳务,租赁"
002532.SZ,天山铝业,"销售外购铝锭,贸易铝锭,机械制造业,销售氧化铝,智能成套供水设备,水泵,销售高纯铝,销售阳极碳块,铝,自产铝锭,空压机,销售自产铝制品,销售自产铝锭"
002426.SZ,胜利精密,",新能源,消费电子,移动终端,智能制造,汽车零部件"
300986.SZ,志特新材,"铝模,装配式预制件,外销,铝模及防护平台,防护平台,租赁,内销,废料"
300737.SZ,科顺股份,"防水涂料,防水卷材,减隔震,防水工程施工,防水涂料销售,防水卷材销售,防水材料销售"
003037.SZ,三和管桩,"混凝土预制构件,桩,水泥建材"
000786.SZ,北新建材,"防水涂料,防水卷材,防水工程,建材,龙骨,防水建材,石膏板,轻质建材"
603180.SH,金牌厨柜,"整体厨柜,整体衣柜,木门,衣柜,定制家具,厨柜"
002761.SZ,浙江建投,"纺织,服装,互联网及相关,工业制造,建筑施工,被芯,夏凉家饰,套件"
000949.SZ,新乡化纤,"化纤,氨纶纤维,粘胶短纤维,生物质纤维素长丝,粘胶长丝"
600233.SH,圆通速递,"货代服务,航空,国际快递及包裹服务,国内时效,仓储服务,增值服务,货代,快递,小包裹服务,国际快递"
301128.SZ,强瑞技术,"治具,设备,专用设备制造业"
301300.SZ,远翔新材,"粗粉,混炼胶,硅橡胶用二氧化硅,化工,细粉,制造业"
688677.SH,海泰新光,"高清荧光内窥镜器械-摄像适配器/适配镜头,高清白光内窥镜器械-光源模组,内窥镜器械维修,销售商品,高清白光内窥镜器械,高清白光内窥镜,光学,高清荧光内窥镜器械,高清荧光内窥镜器械-光源模组,租赁,高清白光内窥镜器械-内窥镜器械配件,技术服务,医用光学,内窥镜器械维修服务,医用内窥镜器械,医疗内窥镜,高清白光内窥镜器械-内窥镜,高清白光内窥镜器械-摄像适配器/适配镜头,工业及激光光学,生物识别,医疗器械制造,高清荧光内窥镜,高清荧光内窥镜器械-内窥镜,高清荧光内窥镜器械-内窥镜器械配件"
300595.SZ,欧普康视,"普通框架镜销售,护理,医疗,普通角膜接触镜,医疗服务,角膜塑形镜（梦戴维DreamVision）,硬性角膜接触镜,角膜塑形镜"
301035.SZ,润丰股份,"除草剂,-杀虫剂,杀虫剂,化工,-杀菌剂,杀菌剂,副及材料销售,-除草剂"
603388.SH,元成股份,"规划设计,绿色环保,休闲旅游,规划设计-分部,工程施工及绿化养护,苗木销售-分部,生态景观,苗木销售,信息服务,工程施工及绿化养护-分部,工程施工"
688686.SH,奥普特,"视觉控制系统,机器视觉,光源控制器,光源,配件,相机,镜头"
002918.SZ,蒙娜丽莎,"陶瓷板薄型陶瓷砖,建筑陶瓷制品制造,非瓷质有釉砖,瓷质有釉砖,瓷质无釉砖"
002572.SZ,索菲亚,"橱柜及其配件,木门,家具家品,衣柜及其配件,家具制造业,衣柜及其配套"
301000.SZ,肇民科技,"精密注塑件-家用电器,精密注塑件,汽车部件,精密注塑模具,精密注塑件-汽车部件,橡胶和塑料制品业,家用电器"
600153.SH,建发股份,"房地产,房地产分部,住宅地产,供应链运营分部,供应链运营,房地产开发,冶金原材料,农林"
603833.SH,欧派家居,"橱柜,衣柜及配套家具,木门,卫浴,衣柜,家具制造业,厨柜"
301153.SZ,中科江南,"支付电子化解决方案,预算单位财务服务平台,软件业,财政预算管理一体化解决方案,运维服务,软件开发与销售,技术服务"
603106.SH,恒银科技,"服务业,现金自助设备,销售与技术服务分部,物业服务分部,服务及软件,信息服务分部,非现金设备及服务,非现金自助设备,移动支付,分部间抵销,现金设备及服务,软件开发分部,系统集成分部,制造业,销售与服务分部,设备配件"
002289.SZ,宇顺电子,"液晶显示屏及模组,触控显示模组,触控显示屏,液晶显示屏及模块"
300633.SZ,开立医疗,"医疗器械,内窥镜及镜下治疗器具,B超,彩超"
688161.SH,威高骨科,"手术器械OEM手术器械,脊柱,医疗器械制造,关节,手术器械,创伤"
300015.SZ,爱尔眼科,"白内障项目,屈光手术,视光服务项目,医疗,眼前段手术,眼前段项目,白内障手术,眼后段手术,视光服务,屈光项目,眼后段项目"
002244.SZ,滨江集团,"房产销售,房产租赁,房地产业,酒店业,酒店管理服务,房产项目管理服务"
688273.SH,麦澜德,
600383.SH,金地集团,"物业管理,物业出租,房地产开发"
600446.SH,金证股份,"银行软件,软件,非金融,金融,定制软件,资管机构软件,系统维护技术服务,定制及系统集成服务,综合金融软件,科技园租赁,定制服务,建安工程,数字经济,IT设备分销,硬件,系统集成,自制软件销售,证券经纪软件,计算机信息服务,商品销售"
