股票代码,股票简称,风险评分,风险项,风险项数量,风险详情
300614.SZ,百川畅银,75.0,业绩公告预警;清仓式减持,2.0,预计公司2022年01-12月归属于上市公司股东的净利润为3800万元至5500万元，与上年同期相比变动幅度为-65.14%至-49.55%。;合计持股5%以上股东TXT:    上海建新创业投资中心（有限合伙）（以下简称“上海建新”）、广州力鼎恒益投资有限合伙企业（有限合伙）（以下简称“广州力鼎”）、宿迁钟山天翊力鼎创业投资中心（有限合伙）（以下简称“宿迁力鼎”）为一致行动人，合计持有本公司股份8184363股（占本公司总股本比例5.1014%），现上海建新、广州力鼎、宿迁力鼎计划在本减持计划公告之日起3个交易日后的6个月内以大宗交易方式和（或）本减持计划公告之日起15个交易日后的6个月内以集中竞价方式减持本公司股份不超过8184363股（占本公司总股本比例不超过5.1014%）
300499.SZ,高澜股份,95.0,扣非亏损,1.0,该公司最新财报显示净利润为正，但扣非净利润为负
000825.SZ,太钢不锈,72.0,净利润陡降风险;业绩公告预警;关联交易风险,3.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为13000万元至16500万元，与上年同期相比变动幅度为-97.94%至-97.39%。;业务单一且大量关联方交易(关联交易方占净利润156.30%)
300136.SZ,信维通信,100.0,,,
300504.SZ,天邑股份,77.0,最大客户占营收比过高;清仓式减持,2.0,根据该公司20211231的数据：第一大客户占公司全部营业收入比例73.64%;股东TXT:    四川天邑康和通信股份有限公司（以下简称“公司”或“本公司”）实际控制人之一李俊霞的一致行动人横琴广金美好基金管理有限公司－广金美好费米四号私募证券投资基金（以下简称“费米四号”）截至本公告日，持有公司股份486万股，占公司总股本比例1.78%。公司2022年8月26日收到费米四号的《关于股份减持计划的告知函》（以下简称“告知函”），费米四号计划通过大宗交易减持不超过486万股，即不超过公司总股本的1.78%，自减持计划公告之日起三个交易日后六个月内实施（在此期间若有派息、送股、资本公积金转增股本、增发、配股等除权除息事项，减持股份数将相应进行调整）。
600088.SH,中视传媒,76.0,业绩公告预警;业绩变脸风险;财报亏损;存货同比大幅增加;关联交易风险,5.0,预计公司2022年01-12月归属于母公司所有者的净利润为-7052万元，与上年同期相比变动幅度为-3266.27%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-6932.45万;截止至20220930，该公司存货超过2亿且超过本期收入的1/3，存货相对去年同比增幅大于100%;业务单一且大量关联方交易(关联交易方占净利润449.09%)
000426.SZ,兴业矿业,70.0,短期负债风险;流动性风险;诉讼风险;被频繁问询监管;交易所公开谴责,5.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2022-09-30，流动比率小于1，速动比率小于0.5;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止至2023-03-14，公司近一年内问询监管次数大于3次;于2022-10-10公布关于对内蒙古兴业集团股份有限公司给予公开谴责处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2022-10-12_000426101613.pdf
603826.SH,坤彩科技,94.0,短期负债风险,1.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3
002639.SZ,雪人股份,80.0,扣非亏损;财务粉饰;业绩公告预警;业绩变脸风险,4.0,该公司最新财报显示净利润为正，但扣非净利润为负;截止至2022-09-30，非经常性损益5001万>3*净利润1214万、净利润1214万>500万;预计公司2022年01-12月归属于上市公司股东的净利润为-23000万元至-17000万元，与上年同期相比变动幅度为-103.03%至-50.07%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损
300860.SZ,锋尚文化,85.0,扣非亏损;业绩公告预警,2.0,该公司最新财报显示净利润为正，但扣非净利润为负;预计公司2022年01-12月归属于上市公司股东的净利润为1000万元至1500万元，与上年同期相比变动幅度为-89.15%至-83.72%。
