股票代码,股票简称,美股@最新价,美股@最新涨跌幅,美股@gics行业(三级),美股@所属概念,美股@总市值[20240308],美股@gics行业(一级),美股@gics行业(二级),美股@gics行业(四级),美股@上市日期,美股@总股本[20240308],美股@流通股[20240308],美股@上市板块,market_code,code
MSFT.O,微软,406.220,-0.714,软件,"AR概念股[US],云计算[US],人工智能[US],机器人[US],AI终端[US],多模态 AI(Sora)[US],ESG概念[US],智能穿戴[US],网络游戏[US],云办公[US],SaaS概念[US],ChatGPT[US],人脸识别[US],特朗普概念[US],特朗普税改[US],AIGC概念[US],搜索引擎[US],智慧城市[US],科技股[US],互联网+[US],智能家居[US],明星股[US],高分红概念[US],华为海外供应商[US],盖茨持股[US],信息技术板块",3018391804944.4,信息技术,软件与服务,系统软件,19860313,7430436229.0,7430436229.0,Nasdaq Global Select Market,185,MSFT
AAPL.O,苹果,170.730,1.024,电脑与外围设备,"智能穿戴[US],人工智能[US],数字音乐[US],AR概念股[US],AI终端[US],元宇宙[US],无线充电[US],芯片概念[US],人脸识别[US],流媒体[US],特朗普税改[US],虚拟现实[US],指纹技术[US],无人驾驶[US],科技股[US],BIT概念[US],5G[US],智能家居[US],消费电子[US],明星股[US],高分红概念[US],科技巨头概念[US],巴菲特持股[US],信息技术板块",2636392343130.0,信息技术,技术硬件与设备,电脑硬件、储存设备及电脑周边,19801212,15441881000.0,15441881000.0,Nasdaq Global Select Market,185,AAPL
NVDA.O,英伟达,875.280,-5.548,半导体产品与设备,"大数据[US],区块链[US],半导体[US],多模态 AI(Sora)[US],AI终端[US],ESG概念[US],元宇宙[US],先进封装[US],无人机[US],数据中心[US],ChatGPT[US],人工智能[US],AIGC概念[US],物联网[US],科技股[US],明星股[US],美股概念板块",2188200000000.0,信息技术,半导体产品与设备,半导体产品,19990122,2500000000.0,2500000000.0,Nasdaq Global Select Market,185,NVDA
AMZN.O,亚马逊,175.350,-0.831,多品类零售,"人工智能[US],电子商务[US],云计算[US],智能穿戴[US],元宇宙[US],无人机[US],新零售[US],流媒体[US],科技股[US],智能家居[US],明星股[US],巴菲特持股[US],科技巨头概念[US],平台经济[US],工业互联网[US],互联网板块",1821427309376.8,非日常生活消费品,非必需消费品分销和零售,多品类零售,19970515,10387381291.0,10387381291.0,Nasdaq Global Select Market,185,AMZN
GOOG.O,谷歌C,136.290,0.776,互动媒体与服务,"搜索引擎[US],量子通信[US],网络视频[US],元宇宙[US],云办公[US],ChatGPT[US],AIGC概念[US],科技股[US],明星股[US],科技巨头概念[US],互联网板块",1694493570000.0,通讯业务,媒体与娱乐,互动媒体与服务,20140403,12433000000.0,12433000000.0,Nasdaq Global Select Market,185,GOOG
GOOGL.O,谷歌A,135.410,0.767,互动媒体与服务,"人工智能[US],无人驾驶[US],AI终端[US],多模态 AI(Sora)[US],人形机器人[US],流媒体[US],特朗普税改[US],虚拟现实[US],AIGC概念[US],智能穿戴[US],AR概念股[US],科技股[US],BIT概念[US],智能家居[US],明星股[US],工业互联网[US],机器人,互联网板块",1683552530000.0,通讯业务,媒体与娱乐,互动媒体与服务,20040819,12433000000.0,12433000000.0,Nasdaq Global Select Market,185,GOOGL
META.O,Meta,505.950,-1.218,互动媒体与服务,"人工智能[US],移动互联网[US],虚拟现实[US],多模态 AI(Sora)[US],MR（混合现实）[US],元宇宙[US],云办公[US],人脸识别[US],流媒体[US],AIGC概念[US],科技股[US],互联网+[US],区块链[US],社交媒体[US],工业互联网[US],明星股[US],科技巨头概念[US],互联网板块",1289871513380.7,通讯业务,媒体与娱乐,互动媒体与服务,20120518,2549405106.0,2549405106.0,Nasdaq Global Select Market,185,META
BRK.A.N,伯克希尔哈撒韦 A,608922.250,0.692,金融服务,"明星股[US],金融板块",878335314070.39,金融,金融服务,多领域控股,19881129,1440488.0053,1440488.0053,主板,169,BRK.A
BRK.B.N,伯克希尔哈撒韦 B,403.150,0.189,金融服务,"明星股[US],金融板块",871099109025.2,金融,金融服务,多领域控股,19960509,2160732008.0,2160732008.0,主板,169,BRK.B
TSM.N,台积电,146.420,-1.897,半导体产品与设备,"明星股[US],半导体[US],集成电路[US],先进封装[US],苹果概念股[US],台资中概股[US],科技股[US],中概股指数[US],高分红概念[US],热门中概股[US],华为海外供应商[US],信息技术板块",759135446454.0,信息技术,半导体产品与设备,半导体产品,19971008,5186414200.0,5186414200.0,主板,169,TSM
