股票代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占净资产比例,资产负债率,扣非PEG,扣非市赚率,市赚率
601988.SH,中国银行,6.11,6.18,0.61,6.52,7.16,,5.92,29.98,,39.2,0.41,1.64,0.09,91.56,3.76,0.95,0.85
601288.SH,农业银行,5.83,6.03,0.65,7.26,8.09,,6.34,29.98,,39.85,3.42,1.29,0.05,93.09,4.69,0.83,0.72
601398.SH,工商银行,6.07,6.01,0.61,6.99,7.33,,6.41,29.98,,43.18,0.28,-3.82,,91.89,-1.58,0.86,0.83
002966.SZ,苏州银行,5.2,5.82,0.69,8.85,9.64,,6.04,25.5,,46.61,13.55,1.1,,92.54,5.31,0.66,0.54
002117.SZ,东港股份,41.57,47.07,3.3,5.04,5.45,4.63,3.04,36.99,32.0,10.34,-43.37,-12.07,0.18,28.16,-3.9,9.34,7.63
002132.SZ,恒星科技,167.75,220.9,1.15,0.38,0.5,0.83,,658.95,9.97,0.5,826.56,12.1,0.03,55.4,18.26,587.35,335.49
600426.SH,华鲁恒升,12.66,13.34,1.67,10.25,10.15,9.1,2.17,28.64,20.01,13.03,5.35,30.16,,30.36,0.44,1.3,1.25
601083.SH,锦江航运,13.51,17.74,1.57,8.36,8.74,8.86,2.3,44.87,25.36,17.21,9.74,7.79,,18.02,2.28,2.12,1.55
603708.SH,家家悦,29.75,116.25,3.07,6.2,7.42,3.11,1.45,40.76,23.26,1.3,-18.06,1.78,9.99,82.0,65.18,18.75,4.01
002149.SZ,西部材料,46.83,68.63,2.92,3.39,4.64,3.04,0.95,51.06,22.23,7.43,-23.66,-5.55,,48.62,-12.37,20.24,10.09
600163.SH,中闽能源,20.44,16.65,1.7,6.01,6.35,5.03,1.14,11.13,53.91,39.58,5.05,-0.9,,41.04,-18.52,2.77,3.22
688186.SH,广大特材,28.75,68.13,0.91,1.22,2.22,2.06,0.33,25.04,15.53,3.29,-39.96,0.13,0.54,63.42,524.48,56.03,12.95
301116.SZ,益客食品,31.4,-163.51,3.22,7.32,7.83,5.52,,30.24,4.89,1.39,783.99,-7.3,,61.67,扣非亏损,扣非转亏,4.01
600016.SH,民生银行,4.23,5.28,0.31,4.84,4.84,,5.78,25.33,,30.21,-9.26,-4.37,,91.6,-1.21,1.09,0.87
600335.SH,国机汽车,24.58,-387.21,0.9,1.87,2.77,1.37,0.06,15.06,7.33,1.12,8.68,-12.99,,69.38,扣非亏损,扣非转亏,8.87
600714.SH,金瑞矿业,82.1,126.64,3.46,3.16,3.22,3.27,,263.62,19.4,9.47,214.52,35.42,,10.38,3.58,40.01,25.5
601628.SH,中国人寿,9.93,12.62,2.44,20.39,19.95,,1.52,14.77,,24.79,173.24,54.84,,91.09,0.23,0.62,0.5
603275.SH,众辰科技,24.18,29.96,1.88,5.07,5.89,5.75,0.35,9.53,41.22,32.52,-4.48,5.42,,10.19,5.53,5.9,4.11
603719.SH,良品铺子,207.37,-89.89,2.22,-0.13,0.79,1.11,1.04,417.94,26.84,0.3,-102.59,-8.66,0.02,45.61,扣非亏损,扣非亏损,262.5
603933.SH,睿能科技,40.65,50.23,2.5,4.18,4.66,3.24,0.64,12.0,24.55,4.21,42.1,4.15,7.46,41.39,12.11,12.03,8.72
001207.SZ,联科科技,16.67,17.73,2.43,11.08,11.26,8.73,2.93,16.3,19.27,12.24,75.74,15.59,,30.47,1.14,1.6,1.48
300140.SZ,节能环境,25.28,33.56,1.62,4.82,4.94,3.46,,42.52,37.8,15.86,220.98,-8.49,1.3,54.42,-3.95,6.97,5.12
301551.SZ,无线传媒,107.03,,11.12,8.29,9.54,8.2,,29.88,53.0,41.27,,-7.08,,7.63,,,11.22
600517.SH,国网英大,18.1,21.38,1.64,6.95,6.98,5.73,1.51,19.97,14.88,39.7,26.59,4.64,0.56,43.77,4.61,3.08,2.59
600188.SH,兖矿能源,10.64,10.51,2.65,14.35,14.75,6.61,7.52,30.51,34.62,15.56,-22.45,-21.5,0.24,64.19,-0.49,0.73,0.72
603337.SH,杰克股份,17.3,21.5,3.14,12.75,13.99,8.38,2.31,33.38,32.22,13.35,52.67,14.79,,40.31,1.45,1.69,1.24
688075.SH,安旭生物,28.44,-187.92,1.0,0.38,2.62,2.6,0.99,44.08,42.11,33.66,-80.45,27.56,,11.21,扣非亏损,扣非转亏,10.86
688548.SH,广钢气体,56.05,52.81,2.33,2.93,3.14,2.67,0.58,40.81,27.94,12.25,-23.65,10.54,9.61,26.49,5.01,18.04,17.85
834058.BJ,华洋赛车,26.45,26.34,4.82,13.22,13.56,8.46,8.58,62.98,22.6,11.52,73.35,40.69,,45.3,0.65,1.99,1.95
000623.SZ,吉林敖东,17.78,16.43,0.76,4.29,4.41,4.03,3.96,44.5,39.12,63.81,0.92,-18.88,,11.05,-0.87,3.83,4.03
000726.SZ,鲁泰A,13.82,12.22,0.58,3.79,3.1,2.85,2.01,48.2,24.4,6.78,15.87,1.33,0.21,29.92,9.2,3.23,4.46
002745.SZ,木林森,26.19,27.82,0.98,2.69,2.68,2.01,3.9,203.66,27.95,2.97,18.41,-4.38,13.62,45.95,-6.36,10.34,9.77
300430.SZ,诚益通,36.99,40.31,2.17,4.23,4.44,3.46,0.39,8.17,40.54,12.14,-24.09,-14.32,23.24,36.5,-2.81,9.54,8.33
301039.SZ,中集车辆,17.43,20.24,1.4,5.67,5.74,4.3,,72.33,15.77,5.42,-41.72,-19.14,3.02,39.46,-1.06,3.57,3.04
301261.SZ,恒工精密,28.45,33.14,2.33,4.87,6.31,4.74,0.97,32.37,24.89,12.86,-1.97,18.5,,47.1,1.79,6.81,4.51
600062.SH,华润双鹤,12.07,15.24,2.21,11.81,12.39,9.96,1.38,9.93,58.46,16.52,23.91,1.18,8.34,34.19,12.9,1.29,0.97
