涨停日期,一字板,涨停数,跌停数,开板数,开板率,连板数,最高 连板,两市 总成交,两市 总涨幅,涨停 总成交,涨停 总封单,涨停 最大封单,涨停封单,涨停 最大成交,涨停成交额,当日题材,连板股,反包股,长腿股,开板股,趋势股,大成交股,page
"2022-09-27
周二
涨停明细",5,69,1,19,21.60%,9,3,6668亿,1.67%,166.56亿,32.87亿,2.61亿,"2.61亿公元股份, 2.22亿汇通能源, 1.06亿海鸥住工, 1.03亿博迁新材, 1.02亿新筑股份",13亿,"13亿万和电气, 12.8亿通策医疗, 11.4亿日出东方, 7.4亿华天酒店, 7.3亿川润股份",装修建材/纺织服装/家电行业/商业百货/装修装饰/酿酒行业/旅游酒店,"3板公元股份, 2板联发股份/双成药业/汇通能源/海鸥住工/日出东方/兰州黄河/华天酒店/万和电气",汇绿生态/同兴环保,19.28%华康医疗/19.19%华大智造/17.96%C恩威/17.29%正帆科技/17.13%新莱应材/16.87%万和电气/16.84%丽江股份/16.24%万马科技/15.33%佳禾食品/15.30%威高骨科/15.04%星华新材/14.71%华天酒店,"6板彩虹集团(5.26%), 2板众信旅游(7.87%), 2板登云股份(7.85%), 1板西安旅游(8.53%), 1板源飞宠物(5.25%), 1板鱼跃医疗(9.95%)","98天华电国际, 95天振芯科技, 95天川仪股份, 95天坤恒顺维, 94天大唐发电, 93天新日股份, 91天科士达, 89天长飞光纤, 87天亿晶光电, 87天科林电气",59亿五 粮 液/54亿贵州茅台/50亿宁德时代/42亿天齐锂业/31亿中国中免/27亿东方财富/26亿阳光电源/25亿通威股份/23亿爱尔眼科/23亿比亚迪/22亿TCL中环/22亿迈瑞医疗,
"2022-09-26
周一
涨停明细",3,37,9,14,27.40%,1,2,6681亿,-0.80%,131.47亿,20.19亿,2.08亿,"2.08亿汇通能源, 1.78亿英维克, 1.13亿京泉华, 1.09亿日出东方, 0.87亿壶化股份",13.11亿,"13.1亿德业股份, 11.5亿浙江世宝, 8.8亿海汽集团, 8.6亿万和电气, 7.9亿贵广网络",装修建材/家电行业/房地产开/专用设备/汽车零部/通用设备/电池,2板公元股份,彩虹集团/天房发展/日出东方/万和电气,23.22%福立旺/22.52%同飞股份/21.83%新风光/20.00%邦德股份/19.47%嘉亨家化/19.03%安科瑞/17.23%*ST光一/15.70%万和电气/14.50%昆工科技/14.39%英杰电气,"6板同兴环保(3.33%), 4板东易日盛(6.46%), 2板建艺集团(-0.58%), 1板中兴商业(6.97%), 1板汇绿生态(7.29%), 1板银轮股份(8.38%)","97天华电国际, 94天振芯科技, 94天川仪股份, 94天坤恒顺维, 93天大唐发电, 92天新日股份, 90天科士达, 88天长飞光纤, 86天亿晶光电, 86天科林电气",81亿宁德时代/66亿贵州茅台/42亿紫金矿业/40亿阳光电源/39亿比亚迪/34亿五 粮 液/34亿中国中免/32亿天齐锂业/30亿东方财富/26亿传艺科技/26亿通威股份/25亿隆基绿能,
"2022-09-23
周五
涨停明细",1,22,14,20,47.60%,3,4,6684亿,-0.82%,88.14亿,13.68亿,3.45亿,"3.45亿浙江正特, 1.14亿龙洲股份, 1.09亿赛隆药业, 0.98亿锡装股份, 0.78亿亿晶光电",15.5亿,"15.5亿亿晶光电, 14.6亿宝馨科技, 11.4亿北化股份, 5.7亿同兴环保, 4.8亿锡装股份",环保行业/装修装饰/化学制品/装修建材/专用设备/光伏设备/电网设备,"4板同兴环保, 3板东易日盛, 2板北化股份",宝馨科技,17.46%泰林生物/15.85%邦德股份/14.33%东易日盛,"4板彩虹集团(-4.36%), 2板洪兴股份(0%), 2板金时科技(1.55%), 1板美好置业(3.68%), 1板英洛华(6.83%), 1板炬申股份(5.16%)","101天国恩股份, 97天鲁阳节能, 96天华电国际, 94天恺英网络, 93天振芯科技, 93天川仪股份, 93天坤恒顺维, 92天大唐发电, 91天新日股份, 89天科士达",52亿贵州茅台/50亿宁德时代/45亿天齐锂业/31亿东方财富/29亿通威股份/27亿钒钛股份/27亿阳光电源/24亿云天化/22亿中国软件/21亿比亚迪/21亿南都电源/21亿招商南油,
"2022-09-22
周四
涨停明细",4,38,3,22,36.70%,5,5,6398亿,-0.55%,130.94亿,25.29亿,2.5亿,"2.5亿锡装股份, 2.44亿浙江正特, 2.21亿南天信息, 1.99亿亿晶光电, 1.13亿洪兴股份",34.06亿,"34.1亿钒钛股份, 17.1亿中国软件, 5.7亿润贝航科, 5.5亿南天信息, 4.7亿广汇物流",家电行业/环保行业/房地产服/装修装饰/化学制品/互联网服/软件开发,"5板利仁科技, 3板同兴环保/中天服务, 2板彩虹集团/东易日盛",,18.35%西力科技/18.23%利仁科技/17.92%新动力/15.79%则成电子/15.76%创耀科技/15.54%新华联/15.01%嘉华股份/14.50%东方中科/14.49%元琛科技,"2板华控赛格(2.81%), 2板弘业期货(9.2%), 2板宝馨科技(-3.13%), 2板招商南油(8.19%), 1板平潭发展(5.86%), 1板新华联(4.51%), 1板国城矿业(7.95%)","100天国恩股份, 100天奥特维, 96天鲁阳节能, 95天华电国际, 93天恺英网络, 92天振芯科技, 92天川仪股份, 92天坤恒顺维, 91天大唐发电, 90天新日股份",42亿贵州茅台/40亿天齐锂业/40亿宁德时代/37亿东方财富/34亿钒钛股份/31亿招商南油/29亿五 粮 液/28亿中通客车/26亿传艺科技/26亿华阳股份/26亿通威股份/25亿比亚迪,
"2022-09-21
周三
涨停明细",2,43,4,11,20.40%,8,4,6382亿,-0.42%,175.61亿,28.38亿,3.77亿,"3.77亿浙江正特, 2.1亿中通客车, 1.65亿五矿稀土, 1.28亿宝馨科技, 1.23亿传艺科技",14.9亿,"14.9亿中通客车, 14.5亿中远海能, 14.1亿五矿稀土, 11.6亿招商南油, 11.6亿传艺科技",家电行业/商业百货/环保行业/房地产服/通用设备/消费电子/电网设备,"4板利仁科技, 3板人人乐, 2板同兴环保/申科股份/金龙羽/我爱我家/中天服务/传艺科技",彩虹集团/维科技术,30.82%则成电子/22.25%优机股份/21.79%联得装备/17.62%志晟信息/16.81%人人乐/15.67%派特尔/14.18%中通客车,"2板新金路(6.33%), 2板三湘印象(1.37%), 2板扬子新材(5.14%), 1板泰慕士(4.52%), 1板兴民智通(3.05%), 1板山东章鼓(5.73%)","100天普源精电, 99天国恩股份, 99天奥特维, 95天鲁阳节能, 94天华电国际, 92天恺英网络, 91天振芯科技, 91天华联综超, 91天川仪股份, 91天坤恒顺维",45亿天齐锂业/44亿东方财富/39亿贵州茅台/37亿宁德时代/30亿长安汽车/29亿北方稀土/27亿迈瑞医疗/25亿三安光电/24亿中矿资源/23亿比亚迪/22亿阳光电源/22亿中国中免,
"2022-09-20
周二
涨停明细",1,58,1,35,37.60%,7,5,6517亿,0.46%,178.32亿,31.8亿,1.89亿,"1.89亿新金路, 1.78亿巨轮智能, 1.23亿川能动力, 1.21亿传艺科技, 1.08亿广东鸿图",12.05亿,"12.1亿钧达股份, 10.1亿新华联, 9.5亿宝丰能源, 9.3亿百润股份, 9.2亿丰元股份",房地产开/汽车零部/仪器仪表/家电行业/通用设备/商业百货/酿酒行业,"5板新华联, 4板浙江世宝, 3板利仁科技/东方中科, 2板人人乐/百润股份/华东重机",传艺科技/中兴商业,27.52%盖世食品/26.61%昆工科技/21.58%澄天伟业/20.25%邦德股份/19.01%新元科技/16.23%派特尔/15.97%利仁科技/15.77%德众汽车/14.89%东方中科,"3板光洋股份(5.82%), 3板萃华珠宝(1.34%), 2板华天酒店(2.32%), 2板襄阳轴承(9.93%), 2板亚星客车(1.77%), 1板南 玻Ａ(8.35%), 1板中原传媒(8.06%), 1板华联股份(3.89%)","113天ST红太阳, 99天普源精电, 98天国恩股份, 98天奥特维, 94天鲁阳节能, 93天华电国际, 91天恺英网络, 91天博实股份, 90天振芯科技, 90天华联综超",78亿天齐锂业/70亿宁德时代/35亿阳光电源/35亿东方财富/33亿隆基绿能/32亿赣锋锂业/32亿三安光电/31亿通威股份/31亿比亚迪/31亿五 粮 液/27亿贵州茅台/25亿亿纬锂能,
"2022-09-19
周一
涨停明细",1,33,19,18,35.30%,7,4,6660亿,-0.41%,114.13亿,17.81亿,2.04亿,"2.04亿合盛硅业, 1.02亿华东重机, 0.95亿通达股份, 0.93亿华西能源, 0.81亿兰州黄河",12.18亿,"12.2亿通达股份, 9.8亿新华联, 8.4亿浙江世宝, 7.6亿合盛硅业, 6.9亿中化岩土",房地产开/汽车零部/珠宝首饰/仪器仪表/电网设备/家电行业/装修装饰,"4板新华联, 3板浙江世宝, 2板萃华珠宝/东方中科/利仁科技/光洋股份/通达股份",华东重机,29.53%贝仕达克/28.21%邦德股份/22.22%新华联/16.49%浙江世宝/15.73%优机股份/15.05%华天酒店/14.87%昆工科技/14.33%人人乐/14.10%园城黄金,"3板南天信息(-4.03%), 2板通程控股(8.63%), 2板中百集团(2.72%), 2板同为股份(6.37%), 1板苏常柴Ａ(4.91%), 1板中兴商业(6.19%), 1板粤 传 媒(6.11%)","112天ST红太阳, 98天普源精电, 97天国恩股份, 97天奥特维, 93天鲁阳节能, 92天华电国际, 90天恺英网络, 90天博实股份, 89天振芯科技, 89天华联综超",58亿宁德时代/54亿东方财富/35亿贵州茅台/30亿比亚迪/29亿天齐锂业/29亿隆基绿能/28亿五 粮 液/26亿亿纬锂能/26亿长安汽车/26亿赣锋锂业/24亿中国软件/23亿立讯精密,
"2022-09-16
周五
涨停明细",1,25,22,10,28.60%,4,3,8001亿,-2.30%,121.88亿,12.73亿,1.65亿,"1.65亿嘉华股份, 1.31亿青岛金王, 1.11亿南天信息, 1.02亿通程控股, 0.96亿恒宝股份",28.51亿,"28.5亿中国软件, 10.3亿浙江世宝, 9.7亿新华联, 8.7亿南天信息, 8.6亿通达股份",房地产开/汽车零部/软件开发/美容护理/家电行业/商业百货/通信设备,"3板新华联, 2板青岛金王/南天信息/浙江世宝",,29.12%联迪信息/28.19%邦德股份/24.05%派特尔/23.97%昆工科技/23.41%方大新材/22.26%中百集团/22.14%华依科技/17.14%三友科技/15.60%骏创科技/14.10%联盛化学,"4板伟隆股份(-10.02%), 2板奥飞娱乐(5.25%), 2板栖霞建设(0%), 1板数源科技(8.31%), 1板证通电子(7.99%), 1板华东重机(4.2%)","111天ST红太阳, 97天东尼电子, 97天普源精电, 96天国恩股份, 96天奥特维, 92天鲁阳节能, 92天联化科技, 91天华电国际, 89天恺英网络, 89天博实股份",137亿东方财富/62亿宁德时代/50亿天齐锂业/45亿贵州茅台/36亿中信证券/35亿海康威视/32亿阳光电源/31亿亿纬锂能/31亿通威股份/31亿招商银行/30亿陕西煤业/29亿隆基绿能,
"2022-09-15
周四
涨停明细",1,27,42,12,30.80%,5,3,9192亿,-1.63%,115.51亿,20.68亿,3.03亿,"3.03亿嘉华股份, 2.51亿长青集团, 1.54亿中交地产, 1.29亿南天信息, 1.15亿青岛金王",12.73亿,"12.7亿中交地产, 7.6亿京北方, 7.5亿沙河股份, 7.1亿中洲控股, 6.8亿南天信息",通用设备/房地产开/专用设备/纺织服装/电网设备/装修装饰/软件开发,"3板伟隆股份, 2板山东墨龙/新华联/美邦服饰/沙河股份",全筑股份,15.28%农尚环境/14.49%贝仕达克/14.45%*ST文化,"4板胜通能源(-3.23%), 3板亚星客车(6.57%), 2板维科技术(-0.61%), 1板中核科技(5.24%), 1板佳电股份(2.25%), 1板奥飞娱乐(3.07%)","110天ST红太阳, 96天东尼电子, 96天普源精电, 95天国恩股份, 95天奥特维, 91天鲁阳节能, 91天联化科技, 90天华电国际, 88天恺英网络, 88天博实股份",107亿宁德时代/66亿天齐锂业/61亿隆基绿能/48亿招商银行/45亿阳光电源/43亿亿纬锂能/43亿通威股份/41亿比亚迪/40亿五 粮 液/39亿贵州茅台/39亿长安汽车/37亿TCL中环,
"2022-09-14
周三
涨停明细",2,34,6,13,27.70%,10,4,7227亿,-1.03%,132.06亿,23.56亿,3.94亿,"3.94亿南 玻Ａ, 1.89亿中百集团, 1.65亿嘉华股份, 1.27亿中远海特, 1.19亿浙江永强",9.88亿,"9.9亿智微智能, 7.6亿派克新材, 7.2亿中远海特, 7.1亿徐家汇, 7亿民生控股",商业百货/贸易行业/多元金融/专用设备/包装材料/纺织服装/通用设备,"4板中百集团/润贝航科, 3板民生控股, 2板神开股份/环球印务/胜通能源/伟隆股份/上海港湾/美尔雅/亚星客车",,18.69%新诺威/16.11%聚胶股份/16.02%民生控股/15.89%华大智造/14.56%准油股份/14.24%维科技术,"2板兰州黄河(5.15%), 2板人人乐(6.78%), 2板国光连锁(0.86%), 1板三湘印象(4.01%), 1板农心科技(6.03%), 1板国创高新(6.54%)","109天ST红太阳, 103天派能科技, 95天东尼电子, 95天普源精电, 94天国恩股份, 94天奥特维, 90天鲁阳节能, 90天联化科技, 89天华电国际, 87天创维数字",114亿宁德时代/50亿天齐锂业/31亿亿纬锂能/31亿药明康德/30亿贵州茅台/29亿比亚迪/26亿东方雨虹/25亿西藏矿业/25亿通威股份/24亿东方财富/23亿长安汽车/23亿五 粮 液,
